"","ResponseId","Day","Article_Num","Category","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_False","FC_True","FC_CND","Education_Score","Income_Score","Q_Ideology","Dig_Lit_Score","Ideology_Score","True_Dummy","Article_day","FC_Eval","Treatment"
"1","R_0qznybEFNQxbgOt","Day_1","4","True",6,3,46,0,4,1,0,4,1,"Conservative",36,2,1,"Day_1_4","FM",0
"2","R_10HKlUuSWljvrqp","Day_1","2","True",6,3,28,1,0,5,0,4,1,"Extremely Liberal",43,-3,1,"Day_1_2","True",0
"3","R_117sQcp0GuxoSJi","Day_1","3","True",5,4,42,0,3,0,2,4,1,"Moderate: Middle of the road",60,0,1,"Day_1_3","FM",0
"4","R_12i5eDf0NB2NI5K","Day_1","1","Misl",3,2,38,1,4,1,0,4,1,"Extremely Conservative",61,3,0,"Day_1_1","FM",0
"5","R_1BPYLTwEiMWtkb1","Day_1","4","True",6,3,30,1,4,1,0,4,1,"Moderate: Middle of the road",44,0,1,"Day_1_4","FM",0
"6","R_1C6ZKwgBj0StJwU","Day_1","4","True",6,4,25,1,4,1,0,4,2,"Slightly Conservative",39,1,1,"Day_1_4","FM",0
"7","R_1CyjFN08tCtRUPM","Day_1","5","True",6,4,52,0,0,5,0,4,3,"Haven't thought much about it",58,0,1,"Day_1_5","True",0
"8","R_1EgtX4AKhOHU7SY","Day_1","2","Coul",4,3,23,1,0,5,0,2,2,"Moderate: Middle of the road",51,0,0,"Day_1_2","True",0
"9","R_1ePP6M0xrILmcje","Day_1","1","Misl",6,1,35,1,4,1,0,3,1,"Slightly Liberal",64,-1,0,"Day_1_1","FM",0
"10","R_1f1lcPfCp1Os9c1","Day_1","1","Misl",2,1,32,1,4,1,0,4,1,"Liberal",53,-2,0,"Day_1_1","FM",0
"11","R_1i4LXivIpu7vdr1","Day_1","3","True",6,4,65,1,3,0,2,4,1,"Conservative",40,2,1,"Day_1_3","FM",0
"12","R_1iebICloigpJcNG","Day_1","3","True",5,3,39,1,3,0,2,2,1,"Slightly Conservative",57,1,1,"Day_1_3","FM",0
"13","R_1K9F5L3BKUsOua6","Day_1","1","Coul",5,4,46,0,4,1,0,2,2,"Conservative",28,2,0,"Day_1_1","FM",0
"14","R_1lfB5upbU8O7YfV","Day_1","4","Misl",3,2,30,0,4,1,0,4,1,"Conservative",57,2,0,"Day_1_4","FM",0
"15","R_1luiNDjHNMxyf6l","Day_1","4","Misl",5,3,40,1,4,1,0,4,3,"Conservative",55,2,0,"Day_1_4","FM",0
"16","R_1LwmPqsZ3VU1MCY","Day_1","5","True",6,4,39,1,0,5,0,4,2,"Slightly Conservative",58,1,1,"Day_1_5","True",0
"17","R_1mJc44O1JoTUv3O","Day_1","3","True",7,4,47,1,3,0,2,4,1,"Extremely Liberal",65,-3,1,"Day_1_3","FM",0
"18","R_1MQkyKlJCdcOCfL","Day_1","3","True",5,3,44,0,3,0,2,2,1,"Liberal",58,-2,1,"Day_1_3","FM",0
"19","R_1mVhYD2WrwXJKJ9","Day_1","4","Misl",3,2,39,0,4,1,0,4,2,"Slightly Liberal",53,-1,0,"Day_1_4","FM",0
"20","R_1mVKCgBSFndXcNM","Day_1","1","Misl",2,2,29,1,4,1,0,4,2,"Extremely Liberal",50,-3,0,"Day_1_1","FM",0
"21","R_1OgcarKXnozj8Hf","Day_1","5","True",4,3,22,0,0,5,0,5,2,"Moderate: Middle of the road",46,0,1,"Day_1_5","True",0
"22","R_1OrWwRmUOtbPgMp","Day_1","3","Misl",6,1,49,0,3,0,2,3,1,"Moderate: Middle of the road",60,0,0,"Day_1_3","FM",0
"23","R_1P0Q5sxtr30wamF","Day_1","1","Misl",1,1,42,1,4,1,0,4,2,"Liberal",59,-2,0,"Day_1_1","FM",0
"24","R_1pFr2EgT5XEN885","Day_1","1","Misl",1,1,43,1,4,1,0,5,2,"Liberal",57,-2,0,"Day_1_1","FM",0
"25","R_1QuU671mMTHeSVk","Day_1","2","Coul",4,2,52,0,0,5,0,4,1,"Moderate: Middle of the road",55,0,0,"Day_1_2","True",0
"26","R_22KXG1ASfl9xfEz","Day_1","5","True",7,4,50,0,0,5,0,4,1,"Moderate: Middle of the road",59,0,1,"Day_1_5","True",0
"27","R_22t2HIeTMqiaiCa","Day_1","2","Misl",1,1,35,0,0,5,0,2,1,"Conservative",48,2,0,"Day_1_2","True",0
"28","R_22ViTzEFVSwllnP","Day_1","3","Misl",1,1,33,0,3,0,2,2,1,"Extremely Liberal",56,-3,0,"Day_1_3","FM",0
"29","R_23fvz3TGpwRq52c","Day_1","1","Misl",2,1,24,0,4,1,0,4,3,"Extremely Liberal",50,-3,0,"Day_1_1","FM",0
"30","R_23UHYgIKYY7beZ8","Day_1","3","True",6,3,31,0,3,0,2,4,2,"Liberal",63,-2,1,"Day_1_3","FM",0
"31","R_263dRvfYsdO8jbd","Day_1","5","True",7,4,41,0,0,5,0,4,3,"Liberal",61,-2,1,"Day_1_5","True",0
"32","R_26mQdc8Zux3gJHh","Day_1","5","True",7,4,50,1,0,5,0,5,4,"Conservative",52,2,1,"Day_1_5","True",0
"33","R_27BUxX1hrag93bU","Day_1","4","True",3,4,35,0,4,1,0,4,2,"Liberal",56,-2,1,"Day_1_4","FM",0
"34","R_27mzK8fKw0Cbyo4","Day_1","4","Misl",3,2,33,0,4,1,0,3,1,"Conservative",54,2,0,"Day_1_4","FM",0
"35","R_2AN0WJrztQOAllS","Day_1","2","Misl",5,3,60,1,0,5,0,4,1,"Extremely Liberal",66,-3,0,"Day_1_2","True",0
"36","R_2aQwDG2A895VYak","Day_1","3","Misl",3,2,40,0,3,0,2,3,1,"Extremely Liberal",50,-3,0,"Day_1_3","FM",0
"37","R_2axn6JVgiduOlyF","Day_1","4","True",6,4,25,1,4,1,0,2,2,"Liberal",51,-2,1,"Day_1_4","FM",0
"38","R_2B2I0tfdYLLWaDz","Day_1","5","True",5,4,33,1,0,5,0,4,1,"Extremely Liberal",59,-3,1,"Day_1_5","True",0
"39","R_2bPMGVyo9T9t8oP","Day_1","2","True",7,4,32,1,0,5,0,3,1,"Liberal",60,-2,1,"Day_1_2","True",0
"40","R_2CNwGybcIQnEktJ","Day_1","4","True",5,4,28,1,4,1,0,2,1,"Moderate: Middle of the road",53,0,1,"Day_1_4","FM",0
"41","R_2COKghWcJFaG2QY","Day_1","2","Misl",3,2,56,0,0,5,0,4,4,"Conservative",42,2,0,"Day_1_2","True",0
"42","R_2CrKC2o8rkGy5sI","Day_1","4","True",6,4,50,1,4,1,0,5,2,"Slightly Liberal",64,-1,1,"Day_1_4","FM",0
"43","R_2dMFbNQkjManOjV","Day_1","2","Coul",3,2,32,1,0,5,0,4,2,"Liberal",64,-2,0,"Day_1_2","True",0
"44","R_2E0RrGQFeT7j4zk","Day_1","5","True",7,4,38,1,0,5,0,4,4,"Moderate: Middle of the road",66,0,1,"Day_1_5","True",0
"45","R_2PAnNpcbbNdhqR0","Day_1","3","True",4,3,32,1,3,0,2,4,3,"Moderate: Middle of the road",42,0,1,"Day_1_3","FM",0
"46","R_2pPQAmaWmPwb2LX","Day_1","2","True",7,4,35,1,0,5,0,4,2,"Moderate: Middle of the road",60,0,1,"Day_1_2","True",0
"47","R_2qq6C028YMrog23","Day_1","5","True",7,4,66,1,0,5,0,5,2,"Extremely Conservative",48,3,1,"Day_1_5","True",0
"48","R_2QxtMjA6QsrBSDr","Day_1","3","Misl",4,2,32,1,3,0,2,2,2,"Extremely Liberal",62,-3,0,"Day_1_3","FM",0
