"","Article_day","Pariticipant_1_Eval","Pariticipant_2_Eval","Pariticipant_3_Eval","Pariticipant_4_Eval","Pariticipant_5_Eval","Pariticipant_6_Eval","Study","FC_Count","F_Count","T_Count","Prop_F","Prop_T","Robust_Prop_F","Robust_Prop_T"
"1","dec 10_1","f","f","c","f","f","c","1,2,3",6,4,0,0.666666666666667,0,0.5,-0.166666666666667
"2","dec 10_2","f","t","f","c","f","c","1,2,3",6,3,1,0.5,0.166666666666667,0.333333333333333,0
"3","dec 10_3","t","t","t","t","t","c","1,2,3",6,0,5,0,0.833333333333333,-0.166666666666667,0.666666666666667
"4","dec 10_4","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"5","dec 10_5","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"6","dec 11_1","f","f","f","f","f","t","1,2,3",6,5,1,0.833333333333333,0.166666666666667,0.666666666666667,0
"7","dec 11_2","t","t","t","t","t","f","1,2,3",6,1,5,0.166666666666667,0.833333333333333,0,0.666666666666667
"8","dec 11_3","f","f","t","c","c","f","1,2,3",6,3,1,0.5,0.166666666666667,0.333333333333333,0
"9","dec 11_4","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"10","dec 11_5","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"11","dec 12_1","f","f","f","none","t","f","1,2,3",5,4,1,0.8,0.2,0.6,0
"12","dec 12_2","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"13","dec 12_3","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"14","dec 12_4","t","t","f","none","t","t","1,2,3",5,1,4,0.2,0.8,0,0.6
"15","dec 12_5","t","t","t","none","t","f","1,2,3",5,1,4,0.2,0.8,0,0.6
"16","dec 16_1","f","t","f","f","f","t","1,2,3",6,4,2,0.666666666666667,0.333333333333333,0.5,0.166666666666667
"17","dec 16_2","t","t","t","f","t","f","1,2,3",6,2,4,0.333333333333333,0.666666666666667,0.166666666666667,0.5
"18","dec 16_3","f","t","t","t","t","f","1,2,3",6,2,4,0.333333333333333,0.666666666666667,0.166666666666667,0.5
"19","dec 16_4","t","t","t","t","t","f","1,2,3",6,1,5,0.166666666666667,0.833333333333333,0,0.666666666666667
"20","dec 16_5","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"21","dec 17_1","t","f","f","f","f","c","1,2,3",6,4,1,0.666666666666667,0.166666666666667,0.5,0
"22","dec 17_2","t","t","c","c","t","c","1,2,3",6,0,3,0,0.5,-0.166666666666667,0.333333333333333
"23","dec 17_3","c","t","c","t","c","c","1,2,3",6,0,2,0,0.333333333333333,-0.166666666666667,0.166666666666667
"24","dec 17_4","t","t","t","t","t","f","1,2,3",6,1,5,0.166666666666667,0.833333333333333,0,0.666666666666667
"25","dec 17_5","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"26","dec 18_1","f","f","t","t","f","f","1,2,3",6,4,2,0.666666666666667,0.333333333333333,0.5,0.166666666666667
"27","dec 18_2","t","t","t","t","t","c","1,2,3",6,0,5,0,0.833333333333333,-0.166666666666667,0.666666666666667
"28","dec 18_3","f","f","t","t","t","c","1,2,3",6,2,3,0.333333333333333,0.5,0.166666666666667,0.333333333333333
"29","dec 18_4","t","t","f","t","f","t","1,2,3",6,2,4,0.333333333333333,0.666666666666667,0.166666666666667,0.5
"30","dec 18_5","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"31","dec 19_1","f","t","f","none","t","f","1,2,3",5,3,2,0.6,0.4,0.4,0.2
"32","dec 19_2","t","t","t","none","t","c","1,2,3",5,0,4,0,0.8,-0.2,0.6
"33","dec 19_3","f","t","t","none","t","c","1,2,3",5,1,3,0.2,0.6,0,0.4
"34","dec 19_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"35","dec 19_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"36","dec 2_1","t","t","t","t","none","t","1,2,3",5,0,5,0,1,-0.2,0.8
"37","dec 2_2","c","t","c","f","none","f","1,2,3",5,2,1,0.4,0.2,0.2,0
"38","dec 2_3","f","f","f","f","none","f","1,2,3",5,5,0,1,0,0.8,-0.2
"39","dec 2_4","f","t","t","c","none","t","1,2,3",5,1,3,0.2,0.6,0,0.4
"40","dec 2_5","t","t","t","t","none","t","1,2,3",5,0,5,0,1,-0.2,0.8
"41","dec 3_1","f","t","f","none","f","f","1,2,3",5,4,1,0.8,0.2,0.6,0
"42","dec 3_2","f","f","c","none","f","c","1,2,3",5,3,0,0.6,0,0.4,-0.2
"43","dec 3_3","t","t","f","none","t","c","1,2,3",5,1,3,0.2,0.6,0,0.4
"44","dec 3_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"45","dec 3_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"46","dec 4_1","f","f","f","f","c","c","1,2,3",6,4,0,0.666666666666667,0,0.5,-0.166666666666667
"47","dec 4_2","f","t","t","f","f","f","1,2,3",6,4,2,0.666666666666667,0.333333333333333,0.5,0.166666666666667
"48","dec 4_3","c","f","c","f","t","f","1,2,3",6,3,1,0.5,0.166666666666667,0.333333333333333,0
"49","dec 4_4","t","f","t","f","t","t","1,2,3",6,2,4,0.333333333333333,0.666666666666667,0.166666666666667,0.5
"50","dec 4_5","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"51","dec 5_1","f","t","none","f","t","t","1,2,3",5,2,3,0.4,0.6,0.2,0.4
"52","dec 5_2","t","t","none","c","t","c","1,2,3",5,0,3,0,0.6,-0.2,0.4
"53","dec 5_3","t","t","none","c","t","c","1,2,3",5,0,3,0,0.6,-0.2,0.4
"54","dec 5_4","t","t","none","t","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"55","dec 5_5","t","t","none","t","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"56","dec 9_1","t","f","t","t","f","t","1,2,3",6,2,4,0.333333333333333,0.666666666666667,0.166666666666667,0.5
"57","dec 9_2","f","t","t","c","t","t","1,2,3",6,1,4,0.166666666666667,0.666666666666667,0,0.5
"58","dec 9_3","t","f","t","t","t","t","1,2,3",6,1,5,0.166666666666667,0.833333333333333,0,0.666666666666667
"59","dec 9_4","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"60","dec 9_5","t","t","t","t","t","t","1,2,3",6,0,6,0,1,-0.166666666666667,0.833333333333333
"61","feb 4_1","f","f","c","none","f","c","1,2,3",5,3,0,0.6,0,0.4,-0.2
"62","feb 4_2","f","t","c","none","f","c","1,2,3",5,2,1,0.4,0.2,0.2,0
"63","feb 4_3","f","f","f","none","f","c","1,2,3",5,4,0,0.8,0,0.6,-0.2
"64","feb 4_4","t","t","t","none","f","t","1,2,3",5,1,4,0.2,0.8,0,0.6
"65","feb 4_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"66","feb 5_1","none","f","f","none","f","f","1,2,3",4,4,0,1,0,0.75,-0.25
"67","feb 5_2","none","t","t","none","t","t","1,2,3",4,0,4,0,1,-0.25,0.75
"68","feb 5_3","none","f","f","none","f","t","1,2,3",4,3,1,0.75,0.25,0.5,0
"69","feb 5_4","none","t","t","none","t","t","1,2,3",4,0,4,0,1,-0.25,0.75
"70","feb 5_5","none","t","t","none","t","t","1,2,3",4,0,4,0,1,-0.25,0.75
"71","feb 6_1","t","f","c","none","c","f","1,2,3",5,2,1,0.4,0.2,0.2,0
"72","feb 6_2","f","f","c","none","t","f","1,2,3",5,3,1,0.6,0.2,0.4,0
"73","feb 6_3","f","f","f","none","f","f","1,2,3",5,5,0,1,0,0.8,-0.2
"74","feb 6_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"75","feb 6_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"76","jan 13_1","f","f","t","none","f","c","1,2,3",5,3,1,0.6,0.2,0.4,0
"77","jan 13_2","f","f","f","none","f","f","1,2,3",5,5,0,1,0,0.8,-0.2
"78","jan 13_3","t","t","t","none","t","f","1,2,3",5,1,4,0.2,0.8,0,0.6
"79","jan 13_4","t","t","t","none","t","f","1,2,3",5,1,4,0.2,0.8,0,0.6
"80","jan 13_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"81","jan 14_1","t","f","f","none","t","t","1,2,3",5,2,3,0.4,0.6,0.2,0.4
"82","jan 14_2","t","t","c","none","f","c","1,2,3",5,1,2,0.2,0.4,0,0.2
"83","jan 14_3","f","t","t","none","t","c","1,2,3",5,1,3,0.2,0.6,0,0.4
"84","jan 14_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"85","jan 14_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"86","jan 15_1","f","t","c","none","c","c","1,2,3",5,1,1,0.2,0.2,0,0
"87","jan 15_2","t","t","t","none","t","f","1,2,3",5,1,4,0.2,0.8,0,0.6
"88","jan 15_3","t","t","t","none","t","f","1,2,3",5,1,4,0.2,0.8,0,0.6
"89","jan 15_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"90","jan 15_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"91","jan 21_1","f","f","f","none","f","f","1,2,3",5,5,0,1,0,0.8,-0.2
"92","jan 21_2","t","t","t","none","t","f","1,2,3",5,1,4,0.2,0.8,0,0.6
"93","jan 21_3","f","f","c","none","f","f","1,2,3",5,4,0,0.8,0,0.6,-0.2
"94","jan 21_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"95","jan 21_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"96","jan 22_1","none","f","f","none","c","c","1,2,3",4,2,0,0.5,0,0.25,-0.25
"97","jan 22_2","none","t","c","none","f","t","1,2,3",4,1,2,0.25,0.5,0,0.25
"98","jan 22_3","none","f","f","none","c","t","1,2,3",4,2,1,0.5,0.25,0.25,0
"99","jan 22_4","none","t","t","none","t","t","1,2,3",4,0,4,0,1,-0.25,0.75
"100","jan 22_5","none","t","t","none","t","t","1,2,3",4,0,4,0,1,-0.25,0.75
"101","jan 23_1","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"102","jan 23_2","t","f","t","none","f","c","1,2,3",5,2,2,0.4,0.4,0.2,0.2
"103","jan 23_3","t","t","t","none","t","c","1,2,3",5,0,4,0,0.8,-0.2,0.6
"104","jan 23_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"105","jan 23_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"106","jan 27_1","t","t","f","none","t","t","1,2,3",5,1,4,0.2,0.8,0,0.6
"107","jan 27_2","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"108","jan 27_3","f","f","f","none","f","t","1,2,3",5,4,1,0.8,0.2,0.6,0
"109","jan 27_4","f","t","f","none","c","c","1,2,3",5,2,1,0.4,0.2,0.2,0
"110","jan 27_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"111","jan 28_1","f","t","f","none","c","f","1,2,3",5,3,1,0.6,0.2,0.4,0
"112","jan 28_2","f","t","c","none","t","c","1,2,3",5,1,2,0.2,0.4,0,0.2
"113","jan 28_3","t","t","f","none","t","c","1,2,3",5,1,3,0.2,0.6,0,0.4
"114","jan 28_4","t","t","f","none","t","t","1,2,3",5,1,4,0.2,0.8,0,0.6
"115","jan 28_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"116","jan 6_1","f","f","f","none","f","f","1,2,3",5,5,0,1,0,0.8,-0.2
"117","jan 6_2","f","t","t","none","f","t","1,2,3",5,2,3,0.4,0.6,0.2,0.4
"118","jan 6_3","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"119","jan 6_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"120","jan 6_5","t","t","t","none","t","f","1,2,3",5,1,4,0.2,0.8,0,0.6
"121","jan 7_1","none","t","t","none","t","t","1,2,3",4,0,4,0,1,-0.25,0.75
"122","jan 7_2","none","t","t","none","f","c","1,2,3",4,1,2,0.25,0.5,0,0.25
"123","jan 7_3","none","t","t","none","t","c","1,2,3",4,0,3,0,0.75,-0.25,0.5
"124","jan 7_4","none","t","t","none","t","t","1,2,3",4,0,4,0,1,-0.25,0.75
"125","jan 7_5","none","t","t","none","t","t","1,2,3",4,0,4,0,1,-0.25,0.75
"126","jan 8_1","f","f","f","none","f","c","1,2,3",5,4,0,0.8,0,0.6,-0.2
"127","jan 8_2","t","t","t","none","f","t","1,2,3",5,1,4,0.2,0.8,0,0.6
"128","jan 8_3","t","f","f","none","t","t","1,2,3",5,2,3,0.4,0.6,0.2,0.4
"129","jan 8_4","f","f","f","none","f","f","1,2,3",5,5,0,1,0,0.8,-0.2
"130","jan 8_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"131","jan 9_1","t","f","t","none","t","t","1,2,3",5,1,4,0.2,0.8,0,0.6
"132","jan 9_2","f","f","c","none","t","t","1,2,3",5,2,2,0.4,0.4,0.2,0.2
"133","jan 9_3","f","t","t","none","t","t","1,2,3",5,1,4,0.2,0.8,0,0.6
"134","jan 9_4","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"135","jan 9_5","t","t","t","none","t","t","1,2,3",5,0,5,0,1,-0.2,0.8
"136","nov 13_1","f","c","f","c","c","c","1,2,3",6,2,0,0.333333333333333,0,0.166666666666667,-0.166666666666667
