ResponseId,Day,Article_day,Category,True_Dummy,Seven_Ordinal,Four_Ordinal,Age,Gender,FC_Eval,Dummy_Ideology,Ideo_Congruence,Income_Score,Education_Score,Dig_Lit_Score,Article_Lean,Headline_Link,Search_Term
R_10pkUNEtcV6OMCU,Day_1,Day_1_1,Coul,0,5,3,35,1,FM,Liberal,0,1,2,41,Conservative,0,arizona state senator recall election audit
R_10pkUNEtcV6OMCU,Day_1,Day_1_3,TRUE,1,6,4,35,1,FM,Liberal,0,1,2,41,Neutral,0,mrna inventor viral thread robert malone
R_11aKu0pnwMoF1XB,Day_1,Day_1_3,Misl,0,3,2,56,0,FM,Liberal,0,1,2,53,Neutral,0,Dr. Robert Malone COVID vaccinated
R_12u7hC5r2XVRlBD,Day_1,Day_1_3,TRUE,1,6,4,42,1,FM,Liberal,0,3,4,49,Neutral,0,most-vaccinated countries in the world are experiencing  a surge in COVID-19 cases
R_12u7hC5r2XVRlBD,Day_1,Day_1_4,Coul,0,4,3,42,1,FM,Liberal,0,3,4,49,Neutral,0,Arizona Election audit will show Trump won
R_1Cr6QLqQcjGmEWV,Day_1,Day_1_1,TRUE,1,5,3,53,0,FM,Liberal,0,2,4,57,Conservative,1,AZ State Senator Demands Biden Electors Be Recalled%2C New Election Be Held After Shocking Audit Revelations
R_1Cr6QLqQcjGmEWV,Day_1,Day_1_3,Misl,0,2,1,53,0,FM,Liberal,0,2,4,57,Neutral,1,mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries
R_1Cr6QLqQcjGmEWV,Day_1,Day_1_3,Misl,0,2,1,53,0,FM,Liberal,0,2,4,57,Neutral,1,%22This Is Worrying Me Quite A Bit%22%3A mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries
R_1Cr6QLqQcjGmEWV,Day_1,Day_1_4,TRUE,1,6,3,53,0,FM,Liberal,0,2,4,57,Neutral,0,Majority of Arizona Republicans believe election audit will show Trump won%2C poll shows
R_1DFFHZYvfjimmAl,Day_1,Day_1_3,TRUE,1,5,3,36,0,FM,Liberal,0,3,4,57,Neutral,0,covid surge in vaccinated countries
R_1DFFHZYvfjimmAl,Day_1,Day_1_3,TRUE,1,5,3,36,0,FM,Liberal,0,3,4,57,Neutral,0,Robert Malone coronavirus surge
R_1f9gtWqvqX7DD4y,Day_1,Day_1_3,Misl,0,1,1,31,1,FM,Liberal,0,2,4,65,Neutral,1,mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries
R_1f9gtWqvqX7DD4y,Day_1,Day_1_4,TRUE,1,7,3,31,1,FM,Liberal,0,2,4,65,Neutral,0,AZ State Senator Demands Biden Electors Be Recalled
R_1f9gtWqvqX7DD4y,Day_1,Day_1_4,TRUE,1,7,3,31,1,FM,Liberal,0,2,4,65,Neutral,0,Majority of Arizona Republicans believe election audit will show Trump won
R_1fjF8uhJM4Mkvek,Day_1,Day_1_4,TRUE,1,5,3,27,0,FM,Liberal,0,1,2,58,Neutral,0,did arizona election audit find evidence of voter fraud%3F
R_1fjF8uhJM4Mkvek,Day_1,Day_1_4,TRUE,1,5,3,27,0,FM,Liberal,0,1,2,58,Neutral,0,do arizona republicans really believe the audit will prove voter fraud%3F
R_1Gv8iAs1HEqGuUe,Day_1,Day_1_1,Misl,0,1,1,35,1,FM,Liberal,0,2,4,66,Conservative,0,arizona republicans maricopa county audit
R_1Gv8iAs1HEqGuUe,Day_1,Day_1_1,Misl,0,1,1,35,1,FM,Liberal,0,2,4,66,Conservative,0,arizona republicans maricopa county election audit
R_1Gv8iAs1HEqGuUe,Day_1,Day_1_1,Misl,0,1,1,35,1,FM,Liberal,0,2,4,66,Conservative,0,arizona election audit vote fraud case
R_1Gv8iAs1HEqGuUe,Day_1,Day_1_4,TRUE,1,7,4,35,1,FM,Liberal,0,2,4,66,Neutral,0,arizona republicans maricopa county audit
R_1Gv8iAs1HEqGuUe,Day_1,Day_1_4,TRUE,1,7,4,35,1,FM,Liberal,0,2,4,66,Neutral,0,arizona election audit results
R_1Gv8iAs1HEqGuUe,Day_1,Day_1_4,TRUE,1,7,4,35,1,FM,Liberal,0,2,4,66,Neutral,0,arizona republicans maricopa county audit survey
R_1ILDrpPAAn0CdBx,Day_1,Day_1_4,TRUE,1,7,4,45,1,FM,Liberal,0,1,2,63,Neutral,0,poll republicans arizona election audit
R_1ILDrpPAAn0CdBx,Day_1,Day_1_4,TRUE,1,7,4,45,1,FM,Liberal,0,1,2,63,Neutral,0,wendy rogers biden electors recall
R_1Iowj4KY95icjDS,Day_1,Day_1_3,TRUE,1,6,4,33,0,FM,Moderate,0,1,4,66,Neutral,1,%22This Is Worrying Me Quite A Bit%22%3A mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries
R_1lbmIBPO0dpwTtU,Day_1,Day_1_4,Misl,0,1,1,76,0,FM,Liberal,0,1,4,53,Neutral,0,arizona audit no fraud
R_1M650C4SP13LBzM,Day_1,Day_1_1,Misl,0,3,2,28,1,FM,Moderate,0,2,4,49,Conservative,0,arizona audit
R_1M650C4SP13LBzM,Day_1,Day_1_3,TRUE,1,5,4,28,1,FM,Moderate,0,2,4,49,Neutral,0,hms queen elizabeth covid
R_1M650C4SP13LBzM,Day_1,Day_1_3,TRUE,1,5,4,28,1,FM,Moderate,0,2,4,49,Neutral,0,emirates covid 19
R_1M650C4SP13LBzM,Day_1,Day_1_3,TRUE,1,5,4,28,1,FM,Moderate,0,2,4,49,Neutral,0,coronavirus increase in vaccinated communities
R_1M650C4SP13LBzM,Day_1,Day_1_3,TRUE,1,5,4,28,1,FM,Moderate,0,2,4,49,Neutral,0,increase in covid in vaccinated countries
R_1M650C4SP13LBzM,Day_1,Day_1_3,TRUE,1,5,4,28,1,FM,Moderate,0,2,4,49,Neutral,0,emirates covid 19 increase after vaccination
R_1o4FTl5RChDyGzY,Day_1,Day_1_3,Misl,0,6,2,58,0,FM,Liberal,0,2,5,64,Neutral,0,do vaccinations prevent COVID surges
R_1o4FTl5RChDyGzY,Day_1,Day_1_3,Misl,0,6,2,58,0,FM,Liberal,0,2,5,64,Neutral,0,covid surges in high vax countries
R_20M3irK9yP7zOGl,Day_1,Day_1_3,Misl,0,1,1,29,0,FM,Liberal,0,1,4,64,Neutral,0,robert malone covid vaccine
R_20M3irK9yP7zOGl,Day_1,Day_1_3,Misl,0,1,1,29,0,FM,Liberal,0,1,4,64,Neutral,0,robert malone covid vaccine
R_20M3irK9yP7zOGl,Day_1,Day_1_3,Misl,0,1,1,29,0,FM,Liberal,0,1,4,64,Neutral,0,robert malone covid vaccine
R_20M3irK9yP7zOGl,Day_1,Day_1_4,Misl,0,3,2,29,0,FM,Liberal,0,1,4,64,Neutral,0,arizona 2020 election audit
