"","day","Article","Latency_Mode","Article_day"
"1","nov 18","1","FM","nov 18_1"
"2","dec 4","1","CND","dec 4_1"
"3","dec 16","1","FM","dec 16_1"
"4","jan 8","1","FM","jan 8_1"
"5","jan 22","1","FM","jan 22_1"
"6","feb 6","1","FM","feb 6_1"
"7","nov 19","1","FM","nov 19_1"
"8","dec 5","1","T","dec 5_1"
"9","dec 17","1","No Mode!","dec 17_1"
"10","jan 9","1","T","jan 9_1"
"11","jan 23","1","T","jan 23_1"
"12","nov 20","1","FM","nov 20_1"
"13","dec 9","1","FM","dec 9_1"
"14","dec 18","1","FM","dec 18_1"
"15","jan 13","1","FM","jan 13_1"
"16","jan 27","1","T","jan 27_1"
"17","nov 21","1","FM","nov 21_1"
"18","dec 10","1","FM","dec 10_1"
"19","dec 19","1","T","dec 19_1"
"20","jan 14","1","T","jan 14_1"
"21","jan 28","1","FM","jan 28_1"
"22","dec 2","1","T","dec 2_1"
"23","dec 11","1","FM","dec 11_1"
"24","jan 6","1","FM","jan 6_1"
"25","jan 15","1","No Mode!","jan 15_1"
"26","feb 4","1","CND","feb 4_1"
"27","dec 3","1","T","dec 3_1"
"28","dec 12","1","T","dec 12_1"
"29","jan 7","1","T","jan 7_1"
"30","jan 21","1","FM","jan 21_1"
"31","feb 5","1","No Mode!","feb 5_1"
"32","nov 18","2","T","nov 18_2"
"33","dec 4","2","CND","dec 4_2"
"34","dec 16","2","T","dec 16_2"
"35","jan 8","2","T","jan 8_2"
"36","jan 22","2","T","jan 22_2"
"37","feb 6","2","T","feb 6_2"
"38","nov 19","2","CND","nov 19_2"
"39","dec 5","2","T","dec 5_2"
"40","dec 17","2","No Mode!","dec 17_2"
"41","jan 9","2","T","jan 9_2"
"42","jan 23","2","No Mode!","jan 23_2"
"43","nov 20","2","T","nov 20_2"
"44","dec 9","2","T","dec 9_2"
"45","dec 18","2","T","dec 18_2"
"46","jan 13","2","FM","jan 13_2"
"47","jan 27","2","No Mode!","jan 27_2"
"48","nov 21","2","T","nov 21_2"
"49","dec 10","2","No Mode!","dec 10_2"
"50","dec 19","2","T","dec 19_2"
"51","jan 14","2","No Mode!","jan 14_2"
"52","jan 28","2","T","jan 28_2"
"53","dec 2","2","T","dec 2_2"
"54","dec 11","2","T","dec 11_2"
"55","jan 6","2","T","jan 6_2"
"56","jan 15","2","T","jan 15_2"
"57","feb 4","2","CND","feb 4_2"
"58","dec 3","2","CND","dec 3_2"
"59","dec 12","2","T","dec 12_2"
"60","jan 7","2","CND","jan 7_2"
"61","jan 21","2","T","jan 21_2"
"62","feb 5","2","T","feb 5_2"
"63","nov 18","3","T","nov 18_3"
"64","dec 4","3","CND","dec 4_3"
"65","dec 16","3","T","dec 16_3"
"66","jan 8","3","FM","jan 8_3"
"67","jan 22","3","No Mode!","jan 22_3"
"68","feb 6","3","FM","feb 6_3"
"69","nov 19","3","T","nov 19_3"
"70","dec 5","3","T","dec 5_3"
"71","dec 17","3","T","dec 17_3"
"72","jan 9","3","FM","jan 9_3"
"73","jan 23","3","T","jan 23_3"
"74","nov 20","3","FM","nov 20_3"
"75","dec 9","3","T","dec 9_3"
"76","dec 18","3","T","dec 18_3"
"77","jan 13","3","T","jan 13_3"
"78","jan 27","3","FM","jan 27_3"
"79","nov 21","3","FM","nov 21_3"
"80","dec 10","3","T","dec 10_3"
"81","dec 19","3","T","dec 19_3"
"82","jan 14","3","T","jan 14_3"
"83","jan 28","3","T","jan 28_3"
"84","dec 2","3","FM","dec 2_3"
"85","dec 11","3","FM","dec 11_3"
"86","jan 6","3","T","jan 6_3"
"87","jan 15","3","T","jan 15_3"
"88","feb 4","3","FM","feb 4_3"
"89","dec 3","3","FM","dec 3_3"
"90","dec 12","3","T","dec 12_3"
"91","jan 7","3","T","jan 7_3"
"92","jan 21","3","FM","jan 21_3"
"93","feb 5","3","FM","feb 5_3"
"94","nov 18","4","T","nov 18_4"
"95","dec 4","4","CND","dec 4_4"
"96","dec 16","4","T","dec 16_4"
"97","jan 8","4","FM","jan 8_4"
"98","jan 22","4","T","jan 22_4"
"99","feb 6","4","T","feb 6_4"
"100","nov 19","4","T","nov 19_4"
"101","dec 5","4","T","dec 5_4"
"102","dec 17","4","T","dec 17_4"
"103","jan 9","4","T","jan 9_4"
"104","jan 23","4","T","jan 23_4"
"105","nov 20","4","FM","nov 20_4"
