"","ResponseId","Article_day","True_Dummy","Treat_Search","Age","Dummy_Congruence","Education_Score","Gender","Income_Score","Dig_Lit_Avg","Article","X","Search_Online"
"1","R_01Zhq9rDCzLZq5r","dec 5_2",0,0,26,0,3,1,0,"3.7","2",6220,0
"2","R_070WvBg2oFljr5D","dec 9_1",0,0,60,0,1,0,2,"3.6","1",11374,0
"3","R_070WvBg2oFljr5D","dec 9_2",0,0,60,0,1,0,2,"3.6","2",6302,0
"4","R_0BNISvqUluGLi1P","dec 9_1",0,0,31,0,1,0,0,"4.2","1",1332,0
"5","R_0BNISvqUluGLi1P","dec 9_2",0,0,31,1,1,0,0,"4.2","2",11476,0
"6","R_0BNISvqUluGLi1P","dec 9_3",1,0,31,0,1,0,0,"4.2","3",6404,0
"7","R_0CApfgxLIo87BBf","jan 6_2",1,0,64,1,3,0,0,"4.4","2",12642,0
"8","R_0cWU6jv5sjcSO1H","jan 7_1",1,0,63,0,1,1,0,"3.3","1",7707,1
"9","R_0cWU6jv5sjcSO1H","jan 7_3",1,0,63,0,1,1,0,"3.3","3",2635,1
"10","R_0H7wrHyZUA8JFUl","dec 3_3",0,0,29,0,1,1,0,"2.5","3",887,1
"11","R_0IDcg3a5zbuBSZH","dec 9_1",0,0,68,0,4,1,1,"3.7","1",1229,0
"12","R_0IDcg3a5zbuBSZH","dec 9_2",0,0,68,0,4,1,1,"3.7","2",6301,0
"13","R_0O3pDpz5noeeuOt","dec 11_2",0,0,30,0,2,1,0,"2.1","2",1599,0
"14","R_0PP5WNIqnaM0qPv","jan 6_3",0,0,24,0,1,0,2,"4.1","3",7582,0
"15","R_0Sqx2u12JB3VKM1","dec 9_1",0,0,36,1,1,1,1,"4.4","1",6387,0
"16","R_0Sqx2u12JB3VKM1","dec 9_2",0,0,36,0,1,1,1,"4.4","2",11459,0
"17","R_0TK35lTcQgEaUyl","jan 6_2",1,0,30,1,3,1,1,"4.3","2",12679,0
"18","R_10HOVa6ocybyCGM","nov 20_2",1,0,71,1,3,1,1,"4.5","2",417,0
"19","R_10IvgCy9JZ1HuO9","dec 3_3",0,0,39,0,4,1,3,"3.8","3",838,0
"20","R_10Jcpo11MUN4GjG","jan 6_2",0,0,66,0,1,1,0,"2.3","2",12638,0
"21","R_10Jcpo11MUN4GjG","jan 6_3",1,0,66,0,1,1,0,"2.3","3",7566,0
"22","R_10oTnVvzpopUnpj","jan 6_3",0,0,24,0,3,1,1,"5","3",12601,0
"23","R_10rbun1QOs4ov7O","dec 11_2",0,0,33,1,2,1,0,"2.3","2",11744,0
"24","R_10YKZtyX1S8gL4s","nov 20_2",0,0,42,0,3,1,3,"4.4","2",321,0
"25","R_11WVWDSMqJEAGLi","nov 20_2",1,0,28,0,1,1,1,"3.2","2",465,0
"26","R_11ZzGi20SLPy1Gy","nov 21_2",1,0,46,0,4,0,3,"2.7","2",578,0
"27","R_125p0lKA2ok7rhx","dec 10_3",0,0,40,0,4,0,1,"3.1","3",6482,0
"28","R_125WuHufGPZLiGh","nov 20_2",0,0,35,0,5,1,2,"4.3","2",5533,0
"29","R_12bCz5fGzm1cwP3","dec 11_2",0,0,32,0,1,1,2,"4","2",1581,0
"30","R_12bhvpWF2cJfZCi","nov 20_2",1,0,48,1,3,1,1,"4.1","2",5505,0
"31","R_12eVaHGOTOilupf","dec 9_1",1,0,30,0,1,1,0,"2","1",6403,0
"32","R_12eVaHGOTOilupf","dec 9_3",1,0,30,0,1,1,0,"2","3",11475,0
