"","ResponseId","Article_day","True_Dummy","Treat_Search","Age","Dummy_Congruence","Education_Score","Gender","Income_Score","Dig_Lit_Avg","Article","X","Search_Online"
"1","R_01Zhq9rDCzLZq5r","dec 5_4",0,0,26,0,3,1,0,"3.7","4",1148,0
"2","R_01Zhq9rDCzLZq5r","dec 5_5",1,0,26,0,3,1,0,"3.7","5",11292,0
"3","R_070WvBg2oFljr5D","dec 9_5",1,0,60,0,1,0,2,"3.6","5",1230,0
"4","R_09uyw3yZry6h2mJ","dec 11_4",1,0,34,0,3,1,1,"3.7","4",11730,0
"5","R_0CApfgxLIo87BBf","jan 6_5",1,0,64,1,3,0,0,"4.4","5",7570,0
"6","R_0cWU6jv5sjcSO1H","jan 7_5",1,0,63,0,1,1,0,"3.3","5",12779,1
"7","R_0GtCowOGFvyDmYV","dec 4_5",1,0,70,0,3,0,2,"4","5",11106,0
"8","R_0H7wrHyZUA8JFUl","dec 3_5",1,0,29,0,1,1,0,"2.5","5",5959,0
"9","R_0IDcg3a5zbuBSZH","dec 9_5",1,0,68,0,4,1,1,"3.7","5",11373,0
"10","R_0JNFsrSL0BD1g3v","nov 20_4",1,0,35,0,1,1,0,"4.6","4",10613,0
"11","R_0JNFsrSL0BD1g3v","nov 20_5",1,0,35,0,1,1,0,"4.6","5",5541,0
"12","R_0O3pDpz5noeeuOt","dec 11_4",0,0,30,0,2,1,0,"2.1","4",11743,0
"13","R_0PP5WNIqnaM0qPv","jan 6_5",1,0,24,0,1,0,2,"4.1","5",2510,0
"14","R_0PxwamhY2wFdYQN","nov 21_5",1,0,33,0,1,0,1,"2.4","5",10717,0
"15","R_0qQj31mrWbsIjBv","dec 4_4",1,0,23,0,1,1,1,"3.8","4",11162,0
"16","R_0qQj31mrWbsIjBv","dec 4_5",1,0,23,0,1,1,1,"3.8","5",6090,0
"17","R_0Sqx2u12JB3VKM1","dec 9_5",1,0,36,0,1,1,1,"4.4","5",1315,0
"18","R_0TK35lTcQgEaUyl","jan 6_4",1,0,30,0,3,1,1,"4.3","4",7607,0
"19","R_0V4AX8v85KcCIUh","nov 21_4",0,0,41,0,2,1,1,"3.8","4",607,0
"20","R_0V4AX8v85KcCIUh","nov 21_5",1,0,41,0,2,1,1,"3.8","5",10751,0
"21","R_0vSFXyHk9SG9bup","dec 4_5",1,0,32,0,1,1,0,"3.6","5",11187,0
"22","R_10Gf8cwhGVwsZg4","dec 10_4",0,0,44,0,1,1,1,"4","4",1427,0
"23","R_10Gf8cwhGVwsZg4","dec 10_5",1,0,44,0,1,1,1,"4","5",11571,0
"24","R_10HOVa6ocybyCGM","nov 20_5",1,0,71,0,3,1,1,"4.5","5",5489,0
"25","R_10HuPszL4bIE6LN","dec 10_4",1,0,30,0,3,1,0,"4.5","4",1407,0
"26","R_10IvgCy9JZ1HuO9","dec 3_4",0,0,39,0,4,1,3,"3.8","4",5910,0
"27","R_10oTnVvzpopUnpj","jan 6_5",1,0,24,1,3,1,1,"5","5",2457,0
"28","R_10qunMtdQFHz6cO","nov 20_4",1,0,36,0,5,1,3,"2.6","4",446,0
"29","R_10qunMtdQFHz6cO","nov 20_5",1,0,36,0,5,1,3,"2.6","5",5518,0
"30","R_10rbun1QOs4ov7O","dec 11_4",1,0,33,0,2,1,0,"2.3","4",1600,0
"31","R_10YGtQzVs6upA90","dec 3_4",0,0,56,0,2,0,1,"4.5","4",764,0
"32","R_10YKZtyX1S8gL4s","nov 20_4",1,0,42,0,3,1,3,"4.4","4",10465,0
"33","R_10YKZtyX1S8gL4s","nov 20_5",1,0,42,0,3,1,3,"4.4","5",5393,0
"34","R_10Yqt32zh0pn1ei","dec 10_5",1,0,63,0,1,1,0,"2.7","5",11500,0
"35","R_110GW2T6h9DRAiB","nov 21_5",1,0,31,0,2,1,2,"3.2","5",5554,0
"36","R_11WVWDSMqJEAGLi","nov 20_4",1,0,28,0,1,1,1,"3.2","4",5537,0
"37","R_11WVWDSMqJEAGLi","nov 20_5",1,0,28,0,1,1,1,"3.2","5",10609,0
"38","R_11ZzGi20SLPy1Gy","nov 21_4",1,0,46,0,4,0,3,"2.7","4",5650,0
"39","R_123iGElyYZVB033","dec 11_4",1,0,23,0,1,1,0,"2.9","4",11710,0
"40","R_123iGElyYZVB033","dec 11_5",1,0,23,0,1,1,0,"2.9","5",6638,0
"41","R_125WuHufGPZLiGh","nov 20_4",1,0,35,0,5,1,2,"4.3","4",10605,0
"42","R_12bCz5fGzm1cwP3","dec 11_5",0,0,32,0,1,1,2,"4","5",11725,0
"43","R_12bvRiWHll1zGJW","nov 21_4",1,0,49,0,1,1,2,"3.7","4",10750,0
"44","R_12bvRiWHll1zGJW","nov 21_5",1,0,49,0,1,1,2,"3.7","5",606,0
"45","R_12DPr6HThhuRsFu","dec 4_5",1,0,75,0,4,0,2,"4","5",6057,0
"46","R_12eVaHGOTOilupf","dec 9_4",1,0,30,0,1,1,0,"2","4",1331,0
