"","Likert_Evaluation","Susc_FN","Treat_Search","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Article_day","ResponseId"
"1",1,0,1,3,34,0,2,0,0,"nov 20_1","R_2sda1PgBrFFmqIq"
"2",NA,NA,1,4,49,0,0,0,0,"nov 20_1","R_4Ypjow0hK960ILf"
"3",NA,NA,1,2,34,0,0,1,0,"nov 20_1","R_eYeQl14FWwnJu3D"
"4",5,0,1,4,40,0,3,1,0,"nov 20_1","R_wYU8neHYrJaBz0Z"
"5",NA,NA,1,2,41,0,0,0,0,"nov 20_1","R_yQKfFGY8xwD4WRj"
"6",4,0,1,1,42,0,1,NA,0,"nov 20_1","R_qwpiWzLwsFFxE9H"
"7",NA,NA,1,1,64,0,1,1,0,"nov 20_1","R_1f32K890CV1X0Pw"
"8",5,0,1,2,44,0,2,1,0,"nov 20_1","R_3FKFC2mTNk6UGq4"
"9",NA,NA,1,3,56,0,1,1,0,"nov 20_1","R_3oX8x9yRntJ2NAB"
"10",NA,NA,1,3,26,0,2,0,0,"nov 20_1","R_PTcdqcO7swnzoK5"
"11",NA,NA,1,3,29,1,1,1,0,"nov 20_1","R_3DwtlCBfvmedrd3"
"12",NA,NA,1,2,41,0,0,0,0,"nov 20_1","R_1q84vQK9hL5B4Vj"
"13",NA,NA,1,5,68,0,1,0,0,"nov 20_1","R_ZlgmeVQm9BMpBkt"
"14",7,0,1,1,32,0,0,1,1,"nov 20_1","R_1HhIJDDqhpRJAz0"
"15",4,0,1,1,31,0,1,0,0,"nov 20_1","R_3nUxTujveoJCTe0"
"16",5,1,1,2,37,0,0,0,0,"nov 20_1","R_2vZJMQypiREE9oi"
"17",2,0,1,1,57,0,0,0,0,"nov 20_1","R_2scm5FXWePFKfdt"
"18",1,0,1,2,49,0,0,0,0,"nov 20_1","R_1qf7sE4l3O6DUuN"
"19",7,1,1,1,46,0,1,1,0,"nov 20_1","R_2U9s20aJLExQV2z"
"20",NA,NA,1,4,29,1,1,1,0,"nov 20_1","R_1gvcmk6e1flyqTY"
"21",5,1,1,2,56,0,0,0,0,"nov 20_1","R_r90nCRjjvZnisuJ"
"22",NA,NA,1,1,76,1,0,1,0,"nov 20_1","R_3dYUIgObxgUTjjE"
"23",NA,NA,1,3,23,1,0,0,0,"nov 20_1","R_1lcokRxWowZDdre"
"24",5,1,1,3,59,1,0,0,1,"nov 20_1","R_WqYH2oFVEthHO01"
"25",4,0,1,3,68,1,0,1,0,"nov 20_1","R_2uqZyTWEH5C8f7C"
"26",5,1,1,3,23,0,1,0,0,"nov 20_1","R_3ExIgNpyxwcIBWR"
"27",NA,NA,1,3,49,1,3,0,0,"nov 20_1","R_1MmXhgSiGfvBAPf"
"28",NA,NA,1,2,55,1,0,0,0,"nov 20_1","R_1FmhQQqLwiXpNKP"
"29",3,0,1,4,32,1,1,0,0,"nov 20_1","R_272PGyk5lpLOuQX"
"30",NA,NA,1,2,39,0,0,0,0,"nov 20_1","R_2awwziIsQ1TcczS"
"31",NA,NA,1,3,45,0,1,0,0,"nov 20_1","R_23VR7tHi05xIhuU"
"32",6,1,1,3,76,0,1,0,0,"nov 20_1","R_1r0y48Bf9bezcRK"
"33",5,0,1,3,62,0,0,0,0,"nov 20_1","R_1DIKJlyWUpvmxzB"
"34",7,1,1,2,37,0,0,1,1,"nov 20_1","R_3rP3tb6NFx3NoEJ"
"35",NA,NA,1,3,23,0,1,1,0,"nov 20_1","R_T1VrUiUwKSENlq9"
"36",NA,NA,1,3,69,0,0,NA,0,"nov 20_1","R_2ZO0C7DfRye1KYv"
"37",6,1,1,3,37,0,2,0,1,"nov 20_1","R_21pU6tclddSHnFA"
"38",7,1,1,1,66,1,1,0,0,"nov 20_1","R_1jxjcXcWvtX6Nf3"
"39",NA,NA,1,2,70,1,1,0,0,"nov 20_1","R_D0MK4LW8IO6XhIJ"
"40",5,1,1,1,31,1,1,0,0,"nov 20_1","R_2z8F8ilkdovV3LY"
"41",NA,NA,1,3,31,1,0,0,0,"nov 20_1","R_12ybd7LFNoTDsIH"
"42",5,0,1,1,39,0,1,0,1,"nov 20_1","R_1jlA1fMJiD0MK5o"
"43",3,0,1,2,45,1,0,0,0,"nov 20_1","R_3MhhL2XUCCxF3Nb"
"44",6,1,1,1,61,1,0,0,0,"nov 20_1","R_2RVqZIjq1nbKa6w"
"45",NA,NA,1,1,35,1,0,0,0,"nov 20_1","R_3M6cvm4Lal93FNa"
"46",2,0,1,1,40,0,0,1,0,"nov 20_1","R_11ZJteCzsfMmN5E"
"47",4,0,1,1,63,0,0,1,1,"nov 20_1","R_1f6MQRIIJJds42e"
"48",5,1,1,2,44,0,1,0,0,"nov 20_1","R_2q8ebnSjAmY2Dyk"
"49",2,0,1,1,46,0,1,0,0,"nov 20_1","R_2ByCPoHjG8Pin19"
"50",NA,NA,1,3,23,1,1,0,0,"nov 20_1","R_1FRkhf8pgFbfAmq"
"51",7,1,1,1,46,0,0,NA,1,"nov 20_1","R_1Dw1pcnk24SpAC0"
"52",NA,NA,1,2,34,0,3,1,0,"nov 20_1","R_2ebAQEWVB5vgTdJ"
"53",2,0,1,1,26,0,1,0,0,"nov 20_1","R_1o6xtbMiNoClIiT"
"54",5,0,1,1,27,0,0,0,0,"nov 20_1","R_3oLpfcBD75yg36g"
"55",5,0,1,2,27,0,0,1,0,"nov 20_1","R_Zk28pugdMQiL1Ml"
"56",NA,NA,1,1,34,0,1,1,0,"nov 20_1","R_1CknXpoZ9ZSTHRa"
"57",4,0,1,3,57,0,2,1,0,"nov 20_1","R_RUniGUBvdFZXaUh"
"58",NA,NA,1,4,38,0,2,0,0,"nov 20_1","R_1IlU7mxAghN7p26"
"59",2,0,1,3,43,0,2,0,1,"nov 20_1","R_3yOwF3O2VLb2PYd"
"60",6,1,1,4,68,1,3,0,1,"nov 20_1","R_3n9pmi8pe3V9lJO"
"61",4,0,1,1,26,0,0,0,0,"nov 20_1","R_1Ley7KhbwTJ15FI"
"62",4,0,1,3,23,0,0,1,0,"nov 20_1","R_1Ld8icqsP0SugcB"
"63",1,0,1,3,48,0,0,0,0,"nov 20_1","R_pzaEJ7WHqva1idX"
"64",2,0,1,2,45,0,1,0,0,"nov 20_1","R_1MKtqyYtDD7ok6B"
"65",NA,NA,1,3,54,1,1,1,0,"nov 20_1","R_3qeUKcbo3MzW7HO"
"66",2,0,1,3,19,1,2,0,0,"nov 20_1","R_UmvoNpM0mdEEgJr"
"67",NA,NA,1,1,40,1,1,NA,0,"nov 20_1","R_1g1MFICMyEOlv9K"
"68",NA,NA,1,1,25,0,2,0,0,"nov 20_1","R_30pE9gqMF7PXv5j"
"69",NA,NA,1,1,27,0,1,1,0,"nov 20_1","R_26xpr6LdKcdoQsV"
"70",NA,NA,1,3,39,0,0,0,0,"nov 20_1","R_RqKpyAxOEMfmy6B"
"71",NA,NA,1,1,41,1,0,0,0,"nov 20_1","R_1eCqLOVyWhyjSo6"
"72",5,1,1,1,54,1,1,1,0,"nov 20_1","R_2Ckq146BlkEribe"
"73",1,0,1,1,50,0,0,0,0,"nov 20_1","R_3PsIiuiXydZ7God"
"74",NA,NA,1,4,28,1,1,1,0,"nov 20_1","R_1EYw77NNW197cNC"
"75",5,0,1,4,36,0,3,0,0,"nov 20_1","R_svVSYWH3768p4Bz"
"76",NA,NA,1,1,25,0,0,NA,0,"nov 20_1","R_QnCiWjOY7W3Jq6Z"
"77",6,1,1,3,30,0,1,1,1,"nov 20_1","R_3Jm9inEQaSLrTK0"
"78",1,0,1,4,72,1,1,0,0,"nov 20_1","R_1P039Jmbhi24oOC"
"79",NA,NA,1,1,55,1,0,1,0,"nov 20_1","R_3PouAPQ96MGwChe"
"80",NA,NA,1,3,53,0,1,0,0,"nov 20_1","R_22VmyXVskUqlLON"
"81",NA,NA,1,1,36,0,0,0,0,"nov 20_1","R_1pJM3YiNsCoNcFH"
"82",NA,NA,1,2,26,0,0,1,0,"nov 20_1","R_PNBZYe7D7ieyw4p"
"83",7,1,1,3,32,0,1,1,1,"nov 20_1","R_3FXxH69o5tuveYs"
"84",4,0,1,1,41,0,0,0,0,"nov 20_1","R_1pWsd11muOFPObS"
"85",NA,NA,1,3,38,0,2,0,0,"nov 20_1","R_1hGpiDGZCuQtPxH"
"86",3,0,1,4,29,0,2,0,0,"nov 20_1","R_bf3kHo9IPvgwJs5"
"87",NA,NA,1,3,52,0,1,1,0,"nov 20_1","R_21BAVSk4SVfTlHm"
"88",5,0,1,3,73,0,1,0,0,"nov 20_1","R_3JIWguRermWSTUF"
"89",NA,NA,1,3,74,0,0,0,0,"nov 20_1","R_3L54GeNRN3VCX1U"
"90",4,0,1,4,24,0,1,0,0,"nov 20_1","R_7a0WEDTWuoEsp3z"
"91",1,0,1,1,18,0,0,0,0,"nov 20_1","R_6MxseTB4LQ5oqpr"
"92",5,0,1,1,26,0,0,0,1,"nov 20_1","R_3EjLsdMchUkUN7H"
"93",NA,NA,1,4,70,0,1,1,0,"nov 20_1","R_2DV68GkKppqWfji"
"94",7,1,1,2,21,0,1,0,0,"nov 20_1","R_3OhyePg0KCMt1mN"
"95",NA,NA,1,1,19,0,1,1,0,"nov 20_1","R_xAerN4PZu66l3KV"
"96",NA,NA,1,2,38,0,1,0,0,"nov 20_1","R_1ikcWMvYocZRiVi"
"97",NA,NA,1,2,65,0,0,0,0,"nov 20_1","R_z10Z9sZk5vku0ff"
"98",7,1,1,1,68,0,0,0,1,"nov 20_1","R_cASFE3hnNpGlbeV"
"99",NA,NA,1,1,55,0,0,1,0,"nov 20_1","R_1HeEq1U5t81R3Lx"
"100",NA,NA,1,4,45,0,1,0,0,"nov 20_1","R_UMI22zdrr991hyV"
"101",5,1,1,5,78,0,3,0,1,"nov 20_1","R_1GOcUsaU4FaXx32"
"102",NA,NA,1,1,31,0,0,0,0,"nov 20_1","R_DHoCa4fHnM9fcMV"
"103",5,1,1,1,40,1,0,0,0,"nov 20_1","R_2Ui1tNEHkFZPxDg"
"104",3,0,1,1,63,1,0,0,0,"nov 20_1","R_2ziKueEh2ng1U3u"
"105",7,1,1,1,62,1,1,0,1,"nov 20_1","R_3smlvlAdvNXZewp"
"106",5,1,1,3,41,0,0,0,0,"nov 20_1","R_1MSyRMskYhoOPxS"
"107",NA,NA,1,3,51,1,0,0,0,"nov 20_1","R_2YKUpmLIBcavku5"
"108",NA,NA,1,0,55,1,0,1,0,"nov 20_1","R_2zd3EcqSfKxT9tZ"
"109",5,0,1,3,39,1,0,1,0,"nov 20_1","R_3PT8FQWEufmJD0E"
"110",4,0,1,2,29,1,1,0,0,"nov 20_1","R_1gMgmwmmXDn1Ngl"
"111",NA,NA,1,1,31,1,2,1,0,"nov 20_1","R_1Cx4qFqzqYPfDBL"
"112",1,0,1,1,55,0,0,0,0,"nov 20_1","R_2drL9hb05OYL3IT"
"113",4,0,1,3,61,0,0,0,1,"nov 20_1","R_2qrqQeT7iorhXvW"
"114",3,0,1,3,24,1,0,0,0,"nov 20_1","R_1psdm9b9ixc1GpT"
"115",NA,NA,1,2,44,1,0,1,0,"nov 20_1","R_3McKpp3MyrUesJ7"
"116",NA,NA,1,2,40,1,0,1,0,"nov 20_1","R_3qBUlG9fhxtpcHX"
"117",1,0,1,1,27,0,0,1,0,"nov 20_1","R_1psdpLvRCpw1UDO"
"118",NA,NA,1,3,33,0,1,0,0,"nov 20_1","R_es6TsFjrpFoxwEp"
"119",5,1,1,2,66,1,0,0,1,"nov 20_1","R_3G3eaEbsHSPkgLy"
"120",NA,NA,1,3,40,1,2,0,0,"nov 20_1","R_1K3gGiyBIT9tifG"
"121",5,1,1,3,52,1,2,1,0,"nov 20_1","R_1DNe6fighBVj04e"
"122",4,0,1,1,56,1,1,0,0,"nov 20_1","R_1qe28ptoohkIjEb"
"123",4,0,1,4,35,1,1,0,0,"nov 20_1","R_20MAJCVZ9CxVVbi"
"124",NA,NA,1,1,20,1,1,0,0,"nov 20_1","R_2dildAkhaZ9hQFl"
"125",1,0,1,3,28,1,1,0,0,"nov 20_1","R_2upTJuBTthEAM8w"
"126",NA,NA,1,3,66,1,0,1,0,"nov 20_1","R_1r9CdFkbO2hEFn1"
"127",7,1,1,3,30,1,1,0,0,"nov 20_1","R_V4KRJJGnnFCnoGd"
"128",1,0,1,1,41,1,0,1,0,"nov 20_1","R_3J2fKXFzoVgmLTG"
"129",4,0,1,3,76,1,0,0,0,"nov 20_1","R_1osZsg3euJSNxcv"
