"","ResponseId","Article_day","True_Dummy","Likert_Evaluation","Treat_Search","Age","Dummy_Congruence","Education_Score","Gender","Income_Score","Dig_Lit_Avg","X","Search_Online"
"1","R_06O7V38CHNVfRwl","jan 8_4",1,7,0,2.5,0,3,0,1,"4.9",12973,1
"2","R_06t6J9UZHjYNvAl","dec 19_1",1,5,0,2.4,0,3,1,1,"3.5",12536,0
"3","R_0dehvNG9GDZvooV","dec 18_1",0,2,0,6.8,1,3,0,0,"4.4",12325,0
"4","R_0H7wrHyZUA8JFUl","dec 3_1",1,4,0,2.9,0,1,1,0,"2.5",11031,0
"5","R_0HDlVS4JRJ60CKB","jan 13_1",1,5,0,4.5,NA,3,1,0,"2.8",13335,0
"6","R_0J8LpXXThtQaOrf","feb 4_3",1,5,0,2.3,0,0,0,0,"3.9",14807,0
"7","R_0JNPe4JxtvUgq8F","jan 8_4",0,2,0,5.8,0,0,0,1,"4.1",12901,0
"8","R_0O3sKg20Ejuuxq1","dec 2_3",0,4,0,6,0,3,0,1,"4.2",10823,0
"9","R_0oFDHsU8cbPuvJv","dec 12_1",0,2,0,3.8,1,4,0,1,"3.7",11861,0
"10","R_0PP5WNIqnaM0qPv","jan 6_1",1,6,0,2.4,1,1,0,2,"4.1",12654,0
"11","R_0PRPmgw6Gr2WSxr","jan 13_1",1,7,0,6.8,0,1,0,0,"3.8",13269,0
"12","R_0ukbmZymy4Jw3ex","jan 13_2",0,3,0,4.5,0,3,0,2,"4.7",13217,0
"13","R_0xOszIIueBptfHP","jan 27_3",0,6,0,6.8,0,3,0,1,"3.3",14452,0
"14","R_10HOVa6ocybyCGM","nov 20_1",0,3,0,7.1,0,3,1,1,"4.5",10561,0
"15","R_10HuPszL4bIE6LN","dec 10_2",1,5,0,3,0,3,1,0,"4.5",11551,0
"16","R_10IvgCy9JZ1HuO9","dec 3_2",0,4,0,3.9,1,4,1,3,"3.8",10982,0
"17","R_10pVjzwY1pcvN8r","dec 2_3",0,4,0,7.5,0,4,0,2,"2.8",10788,0
"18","R_10qunMtdQFHz6cO","nov 20_3",0,4,0,3.6,0,5,1,3,"2.6",10590,0
"19","R_10SPi5OT7vBFcjC","jan 28_1",0,4,0,6.1,0,2,0,1,"3.5",14603,0
"20","R_10uU4MMAF0X4NNI","feb 6_3",0,3,0,4.7,1,2,1,0,"4.4",15144,0
"21","R_10uW6ViMoB7vNaq","feb 4_3",0,4,0,5.8,0,1,0,0,"3.4",14851,0
"22","R_10YGtQzVs6upA90","dec 3_1",1,5,0,5.6,0,2,0,1,"4.5",10908,0
"23","R_10YhgMsRMl07Ezy","dec 17_1",0,4,0,7.1,0,1,1,1,"3.5",12191,0
"24","R_110erfVpWYWmwLX","dec 12_1",1,5,0,5.9,0,3,0,1,"3.8",11839,0
"25","R_110GW2T6h9DRAiB","nov 21_1",0,4,0,3.1,0,2,1,2,"3.2",10626,0
"26","R_11gqAPjigTmSIJf","feb 6_2",0,6,0,6.8,0,5,1,1,"3.8",15210,0
"27","R_11Xd8atQevAPfyI","jan 27_3",0,4,0,6.5,0,3,0,1,"4.5",14416,0
"28","R_11Xz59MycnyBUBb","feb 4_1",0,1,0,3.6,0,1,0,1,"5",14761,0
"29","R_11YdMuwiOUGOnY9","feb 4_3",1,7,0,6.8,0,1,0,0,"1.4",14757,0
"30","R_11ZzGi20SLPy1Gy","nov 21_3",0,3,0,4.6,0,4,0,3,"2.7",10722,0
"31","R_125p0lKA2ok7rhx","dec 10_2",0,4,0,4,0,4,0,1,"3.1",11554,0
"32","R_12bhvpWF2cJfZCi","nov 20_1",0,2,0,4.8,0,3,1,1,"4.1",10577,0
"33","R_12DPr6HThhuRsFu","dec 4_2",0,1,0,7.5,0,4,0,2,"4",11129,0
"34","R_12eWRdWTB476HCS","feb 5_1",1,6,0,3.8,1,3,1,3,"4.4",15029,0
"35","R_12Fvp4PgcMWzCsp","nov 21_1",0,4,0,2.2,0,1,0,0,"4.5",10762,0
"36","R_12g7scb16suqJym","dec 10_2",0,2,0,3.5,NA,1,1,0,"3.6",11576,0
"37","R_12hWQl0wCSjRX8j","dec 19_1",1,6,0,3.3,NA,3,1,1,"4.6",12539,0
"38","R_12mzrjtYGYe0ToT","jan 21_1",1,5,0,5.2,1,1,1,3,"3.8",13813,0
"39","R_12Qo1JpUQtGft0T","dec 10_1",1,6,0,3.9,0,3,0,3,"3.7",11579,0
"40","R_12ShoD1y8ntOH49","dec 16_1",0,4,0,2.8,1,3,0,1,"4.1",11943,0
"41","R_1BQm4GHxCNkQc4b","jan 28_1",0,2,0,3.5,0,2,1,2,"4.1",14683,0
"42","R_1BQVCdhxZd33hUu","dec 10_2",1,4,0,3.3,0,1,1,1,"3.5",11516,0
"43","R_1BReylJxXHVlhNU","dec 11_3",1,7,0,2.1,0,1,1,0,"4.6",11735,0
"44","R_1C1Sph8apyNjufJ","dec 11_3",1,5,0,3.5,0,3,0,1,"4.6",11694,0
"45","R_1C7M55bv29nbX7W","dec 11_3",0,4,0,6.6,0,4,0,1,"3.7",11768,0
"46","R_1C7MBNuSgC2OB5g","jan 8_4",1,7,0,3.5,0,4,0,1,"4.3",12902,0
"47","R_1C9eOn8p0E6dNxX","dec 3_2",0,2,0,7.8,0,3,0,2,"3",11062,0
"48","R_1CdQGsp9CtV73yu","jan 13_2",0,1,0,7.3,0,1,1,0,"2.3",13253,0
"49","R_1CgaojrdAvn0ZIb","dec 4_2",0,3,0,6.8,0,1,0,1,"1.6",11083,0
"50","R_1CIJqwJBsQA6SYl","feb 4_3",0,3,0,6.3,0,2,0,1,"4.1",14846,0
"51","R_1cS7vCtG96WCSme","dec 3_2",0,3,0,4.9,0,2,1,1,"4.5",11035,0
"52","R_1cTVFuDulGlGaeL","jan 21_3",0,3,0,6.2,0,1,1,0,"4.5",13844,1
"53","R_1cUO5R34XBgzvu8","dec 11_1",0,4,0,5.9,1,3,0,1,"3.4",11753,0
"54","R_1Cv8p9lUGpeuoku","nov 21_3",0,3,0,3.4,0,1,1,0,"3",10755,0
"55","R_1Cw3uozhokWAMkY","feb 5_1",0,3,0,7.1,1,1,0,0,"4",14910,0
"56","R_1Cymh7ZPP5sM3hc","jan 8_4",1,4,0,2.9,1,2,0,0,"4.6",12923,0
"57","R_1d15GRNBFLSmw8u","jan 27_3",0,4,0,7.3,0,4,0,1,"3.4",14511,0
"58","R_1d3JJkcTJXDckvL","dec 16_1",0,7,0,3.9,0,3,0,1,"4.2",12008,0
"59","R_1d3NoFlGJOSCbze","jan 27_3",1,4,0,4.8,0,1,1,2,"4.6",14512,1
"60","R_1d4RkBFybLjF1eI","dec 3_1",1,7,0,3.9,0,4,1,0,"4.8",11011,0
"61","R_1d5dk6ofyA1bxki","dec 2_3",0,4,0,4.5,0,3,0,1,"4.5",10824,0
"62","R_1dA0opz4KMu27Vq","nov 21_1",0,3,0,5.9,0,4,1,3,"4.8",10665,1
"63","R_1dFCPBqQJF8MChP","dec 3_1",0,4,0,7.5,0,3,0,1,"4.9",10940,0
"64","R_1dgLqfoYc52l5ok","feb 5_3",1,7,0,4.6,0,3,1,0,"3.8",15027,0
