"","ResponseId","Article_day","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","CRT_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Ideology_Score","Treat_Search","True_Dummy","Article","X","Search_Online"
"1","R_070WvBg2oFljr5D","dec 9_1","5299","0","CND",4,1,60,0,2,"4",0,"0","758","3.6","0",0,0,"1",11374,0
"2","R_070WvBg2oFljr5D","dec 9_1","2101","0","Misl/False",4,1,60,0,2,"4",0,"0","758","3.6","0",1,0,"1",11374,0
"3","R_0BNISvqUluGLi1P","dec 9_2","5346","0","CND",4,1,31,0,0,"0",1,"0","889","4.2","-3",0,0,"2",11476,0
"4","R_0BNISvqUluGLi1P","dec 9_2","2148","0","CND",4,1,31,0,0,"0",1,"0","889","4.2","-3",1,0,"2",11476,0
"5","R_0CApfgxLIo87BBf","jan 6_2","6149","0","T",6,3,64,0,0,"3",1,"1","1368","4.4","-2",0,1,"2",12642,0
"6","R_0CApfgxLIo87BBf","jan 6_2","2951","0","CND",6,3,64,0,0,"3",1,"1","1368","4.4","-2",1,0,"2",12642,0
"7","R_0cSkyeeeNC4cW8F","dec 16_2","2543","1","True",7,2,40,0,0,"0",1,"0","2444","4","-2",1,1,"2",11977,0
"8","R_0cSkyeeeNC4cW8F","dec 16_2","5741","0","T",7,2,40,0,0,"0",1,"0","2444","4","-2",0,1,"2",11977,0
"9","R_0dlSfuFNdZ7Wm1b","jan 21_2","670","0","CND",4,2,44,0,1,"0",0,"0","1151","4","0",1,0,"2",13790,0
"10","R_0dlSfuFNdZ7Wm1b","jan 21_2","3868","0","FM",2,2,44,0,1,"0",0,"0","1151","4","0",0,0,"2",13790,0
"11","R_0ewQ39lb6bWmSFb","jan 23_1","899","1","True",6,3,22,1,0,"1",0,"1","1930","3.4","-2",1,1,"1",14297,0
"12","R_0ewQ39lb6bWmSFb","jan 23_1","4097","0","T",5,3,22,1,0,"1",0,"1","1930","3.4","-2",0,1,"1",14297,0
"13","R_0ilm8GyerAgVl2p","jan 14_3","3622","0","T",6,1,66,0,0,"2",0,"1","1205","1","1",0,1,"3",13435,0
