"","ResponseId","Article_day","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","CRT_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Ideology_Score","Treat_Search","True_Dummy","Article","X","Search_Online"
"1","R_00NMMIs81T3S9CF","dec 12_5","2525","0","Misl/False",4,4,37,0,2,"0",NA,"0","437","1",NA,1,0,"5",11873,0
"2","R_00NMMIs81T3S9CF","dec 12_5","5723","0","FM",4,4,37,0,2,"0",NA,"0","437","1",NA,0,0,"5",11873,0
"3","R_01Zhq9rDCzLZq5r","dec 5_5","5282","0","T",5,3,26,1,0,"0",0,"0","1212","3.7","0",0,1,"5",11292,0
"4","R_01Zhq9rDCzLZq5r","dec 5_5","2084","1","True",6,3,26,1,0,"0",0,"0","1212","3.7","0",1,1,"5",11292,0
"5","R_03eyFK6CzO6fD9L","dec 2_4","1763","1","True",5,3,64,0,2,"3",0,"0","973","2.8","3",1,1,"4",10893,0
"6","R_03eyFK6CzO6fD9L","dec 2_4","4961","0","CND",5,3,64,0,2,"3",0,"0","973","2.8","3",0,0,"4",10893,0
"7","R_09uyw3yZry6h2mJ","dec 11_4","5574","0","T",7,3,34,1,1,"3",0,"1","1936","3.7","-2",0,1,"4",11730,0
"8","R_09uyw3yZry6h2mJ","dec 11_4","2376","1","True",6,3,34,1,1,"3",0,"1","1936","3.7","-2",1,1,"4",11730,0
"9","R_0cWU6jv5sjcSO1H","jan 7_5","3211","0","T",7,1,63,1,0,"0",0,"0","2286","3.3","0",0,1,"5",12779,1
"10","R_0cWU6jv5sjcSO1H","jan 7_5","13","1","True",4,1,63,1,0,"0",0,"0","2286","3.3","0",1,1,"5",12779,1
"11","R_0GtCowOGFvyDmYV","dec 4_5","1920","1","True",7,3,70,0,2,"2",0,"1","1143","4","-2",1,1,"5",11106,0
"12","R_0GtCowOGFvyDmYV","dec 4_5","5118","0","T",7,3,70,0,2,"2",0,"1","1143","4","-2",0,1,"5",11106,0
"13","R_0IDcg3a5zbuBSZH","dec 9_5","5410","0","T",5,4,68,1,1,"0",0,"0","948","3.7","0",0,1,"5",11373,0
