"","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","CRT_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search","True_Dummy","Article"
"1","1","1","True",4,1,37,1,0,"2",0,"0","540","3.8","jan 7_5","R_WfcQWNTHOHIdjWh","0",1,1,"5"
"2","2","1","True",5,1,31,1,0,"1",0,"1","1655","4.5","jan 7_5","R_Wjl3XivLTFpRxjX","0",1,1,"5"
"3","3","0","Misl/False",4,1,31,1,1,"3",0,"0","690","3.7","jan 7_5","R_3e2MjEVsODriloO","0",1,0,"5"
"4","4","1","True",7,1,66,0,0,"1",1,"1","1197","3.7","jan 7_5","R_2yel3jkB5KLoP5K","-2",1,1,"5"
"5","5","1","True",7,2,47,0,0,"1",1,"0","1062","3","jan 7_5","R_sZHcDe1DwZXIWyd","-2",1,1,"5"
"6","6","1","True",7,1,31,0,0,"4",1,"1","1481","4","jan 7_5","R_2DSt4YcGIikmFzA","-3",1,1,"5"
"7","7","0","CND",4,1,67,1,0,"0",0,"0","1972","1.7","jan 7_5","R_1MJQ5bePs0FzfGp","0",1,0,"5"
"8","8","1","True",6,1,66,0,0,"1",1,"1","1402","3.2","jan 7_5","R_cUUdQUGVCv8cnIt","-3",1,1,"5"
"9","9","0","Misl/False",3,1,69,1,0,"3",1,"0","1620","3.5","jan 7_5","R_BEe2agRklwcccaB","-2",1,0,"5"
"10","10","1","True",7,1,63,1,1,"1",1,"1","1531","4.6","jan 7_5","R_1erxTDx7zqkJUlu","-2",1,1,"5"
"11","11","0","CND",3,1,38,0,0,"1",0,"0","1931","2.5","jan 7_5","R_2EiTxBXD7ECeDFO","0",1,0,"5"
"12","12","1","True",7,1,65,0,0,"3",1,"1","5413","3.4","jan 7_5","R_3mfwgvMvOrMWEHP","-1",1,1,"5"
"13","13","1","True",4,1,63,1,0,"0",0,"0","2286","3.3","jan 7_5","R_0cWU6jv5sjcSO1H","0",1,1,"5"
"14","14","1","True",6,1,63,0,1,"3",1,"0","877","2.9","jan 7_5","R_2bIfYbPxlCSm3R8","-2",1,1,"5"
"15","15","1","True",5,4,32,0,1,"3",0,"0","6876","3.9","jan 7_5","R_3lAe86zAXOWzWL6","1",1,1,"5"
"16","16","1","True",6,1,38,0,0,"2",0,"0","1070","4.6","jan 7_5","R_30l6JF4P3iOdq7i","0",1,1,"5"
"17","17","0","CND",5,1,46,0,0,"0",0,"1","685","3.4","jan 7_5","R_2rq0nIQR0ePT0jz","0",1,0,"5"
"18","18","1","True",6,1,53,1,0,"2",0,"0","772","2.8","jan 7_5","R_32QPuB3lmOQt3ZI","2",1,1,"5"
"19","19","1","True",5,3,29,1,1,"0",0,"0","1311","4.1","jan 7_5","R_2vcOu7LsmUNjlUg","1",1,1,"5"
"20","20","1","True",7,1,22,0,0,"1",1,"0","788","3.4","jan 7_5","R_1CHmg5Y2L8f6mpf","-3",1,1,"5"
"21","21","0","CND",4,4,28,1,1,"0",0,"0","5791","2.9","jan 7_5","R_28V77fTcLKRYcQw","3",1,0,"5"
"22","22","1","True",5,4,32,1,1,"0",0,"0","1172","3","jan 7_5","R_AaLB72szAstiHHb","2",1,1,"5"
"23","23","1","True",7,3,50,1,1,"2",0,"1","1819","4.1","jan 7_5","R_2z7wWTHLzZoMo8S","0",1,1,"5"
"24","24","1","True",7,4,63,1,2,"2",1,"1","1033","4.1","jan 7_5","R_9WAX3cLz8lRt5oR","-2",1,1,"5"
"25","25","1","True",7,3,50,0,0,"2",0,"1","4085","5","jan 7_5","R_2alSqYYHd1USqdo","0",1,1,"5"
"26","26","1","True",7,3,21,1,0,"1",0,"0","1553","4.5","jan 7_5","R_2R7YGXcy2Lt6FGT","0",1,1,"5"
"27","27","1","True",7,3,32,1,1,"3",1,"0","1289","3","jan 7_5","R_31NwQCcMMtROAfe","-2",1,1,"5"
"28","28","0","CND",5,3,28,1,0,"2",1,"0","618","3.4","jan 7_5","R_vfCRpP7OqElpnRD","-2",1,0,"5"
"29","29","1","True",5,3,60,1,0,"0",0,"0","846","4.5","jan 7_5","R_3qW1ftorVVkBNYy","2",1,1,"5"
"30","30","1","True",7,3,70,1,1,"3",1,"1","867","4","jan 7_5","R_Zska0zM6QGuRkS5","-2",1,1,"5"
"31","31","0","CND",4,3,39,1,3,"1",0,"0","1711","3.5","jan 7_5","R_3iWnNivRzmu2hby","1",1,0,"5"
"32","32","1","True",6,2,44,0,1,"1",0,"0","426","2.7","jan 8_2","R_2tgLVn27mKABq9U","1",1,1,"2"
"33","33","1","True",5,1,43,0,0,"0",1,"0","1006","3","jan 8_2","R_8G3RO4D0Y8FYY37","-3",1,1,"2"
"34","34","1","True",5,1,34,0,1,"0",0,"1","439","3.3","jan 8_2","R_1FhwBeOpUPcQne5","0",1,1,"2"
"35","35","0","CND",4,4,29,0,0,"0",1,"0","389","5","jan 8_2","R_3EYC0tLMQzYNNBF","-1",1,0,"2"
"36","36","1","True",6,1,36,1,1,"3",NA,"0","735","2.1","jan 8_2","R_1E9RT2POmKbwUpz",NA,1,1,"2"
"37","37","0","CND",3,1,49,1,0,"3",0,"0","1414","4.9","jan 8_2","R_Bxs8lnG1DrFmVEd","1",1,0,"2"
"38","38","0","CND",3,1,34,0,1,"0",0,"1","843","3.3","jan 8_2","R_eFdEVQVItHL7myR","3",1,0,"2"
"39","39","1","True",7,1,51,0,1,"1",0,"1","1422","3.4","jan 8_2","R_2wHu5gqbk5qHnPv","2",1,1,"2"
"40","40","1","True",5,1,27,0,0,"3",0,"1","1614","3.7","jan 8_2","R_3KSKLevawFetU8I","0",1,1,"2"
"41","41","1","True",6,1,68,1,2,"1",0,"1","1945","1.3","jan 8_2","R_2rwPMe13RwiG85U","2",1,1,"2"
"42","42","0","Misl/False",1,1,57,1,2,"1",0,"0","1824","4.2","jan 8_2","R_1oFMX8qbPPV51FT","0",1,0,"2"
"43","43","0","CND",3,1,74,1,0,"1",0,"1","2756","2.3","jan 8_2","R_2TmWt4yDfjpXgrn","2",1,0,"2"
"44","44","1","True",7,1,72,0,0,"0",0,"1","3034","3.7","jan 8_2","R_BJTnhSKZXxT8JGN","0",1,1,"2"
"45","45","1","True",7,1,66,1,1,"1",0,"1","1036","3.9","jan 8_2","R_5hAVTbD5hLpf69z","0",1,1,"2"
"46","46","1","True",7,1,66,1,0,"0",0,"1","2098","2.4","jan 8_2","R_3pnEtfl3zvHhAzg","2",1,1,"2"
"47","47","1","True",5,1,66,1,0,"3",1,"1","1798","4","jan 8_2","R_6V8A9VFuVrxTJLj","-1",1,1,"2"
"48","48","0","Misl/False",2,3,69,0,1,"4",1,"1","1464","4.8","jan 8_2","R_3dMnouz5f2ZkKac","-1",1,0,"2"
"49","49","0","CND",3,1,69,1,1,"0",1,"1","7901","3.4","jan 8_2","R_51EG7JnSMZDBh61","-2",1,0,"2"
"50","50","1","True",6,1,41,0,0,"0",1,"0","1962","4.3","jan 8_2","R_3sv4v6lU4chI12I","-1",1,1,"2"
"51","51","1","True",6,1,18,0,3,"3",0,"1","637","4.4","jan 8_2","R_1CC8wfvpMPR92xy","3",1,1,"2"
"52","52","0","Misl/False",4,1,60,1,0,"1",0,"1","1197","3.5","jan 8_2","R_2wajsD59TLsaDd0","2",1,0,"2"
"53","53","0","Misl/False",5,3,72,0,0,"2",0,"1","1814","3.2","jan 8_2","R_pShXNgs3rVBGDjb","0",1,0,"2"
"54","54","0","Misl/False",2,3,42,0,1,"3",0,"1","982","2.4","jan 8_2","R_YaYpKTVCe87fkeR","0",1,0,"2"
"55","55","0","CND",4,3,52,1,3,"2",0,"1","789","3.3","jan 8_2","R_ODcjrZY3ac0DADn","3",1,0,"2"
"56","56","0","Misl/False",2,4,50,0,3,"3",0,"0","812","5","jan 8_2","R_PNUq0crftLW04s9","2",1,0,"2"
"57","57","1","True",7,3,29,1,0,"2",1,"1","638","4.2","jan 8_2","R_22zQgnOnszEIuZI","-3",1,1,"2"
"58","58","1","True",7,3,43,1,1,"1",1,"1","818","4.5","jan 8_2","R_UMy439aAJnh7LCV","-1",1,1,"2"
"59","59","1","True",7,3,26,1,1,"3",1,"0","954","3.4","jan 8_2","R_3hm6ks9fUp6eFTP","-2",1,1,"2"
"60","60","0","Misl/False",3,3,48,1,1,"2",0,"1","1586","3.2","jan 8_2","R_2aepjN0fmCGspSO","2",1,0,"2"
"61","61","1","True",7,3,48,1,1,"3",0,"1","1629","4.5","jan 8_2","R_3NQHU3GybXWtB9P","0",1,1,"2"
"62","62","0","CND",4,3,33,1,2,"2",0,"0","574","3.7","jan 8_2","R_1i4cVOpcdLYQzxR","0",1,0,"2"
"63","63","0","CND",4,3,33,0,1,"0",0,"0","465","4.9","jan 8_3","R_2fwDZjrlUAzomK9","0",1,0,"3"
"64","64","0","CND",4,1,61,0,0,"0",0,"0","1477","2.7","jan 8_3","R_ZqQMneNkHqaBwEV","0",1,0,"3"
"65","65","1","True",7,3,41,0,0,"2",0,"0","1145","4.8","jan 8_3","R_21dMTvu6DEIYopV","-2",1,1,"3"
"66","66","0","CND",3,1,60,0,0,"1",0,"0","1007","2.8","jan 8_3","R_XigHDzAnAYyLE4x","2",1,0,"3"
"67","67","0","CND",5,1,60,1,1,"0",0,"0","1498","4.6","jan 8_3","R_3j9ysTbqDSJpUdg","3",1,0,"3"
"68","68","1","True",7,2,38,0,0,"0",0,"0","1031","1","jan 8_3","R_3dQD9qJXH7UyGAU","0",1,1,"3"
"69","69","1","True",7,4,32,0,0,"3",0,"0","1755","4.2","jan 8_3","R_1Q3EWfmOu6whwkH","-1",1,1,"3"
"70","70","0","Misl/False",4,5,30,1,1,"4",0,"0","1621","3","jan 8_3","R_232KJ21uH4q9SIm","-2",1,0,"3"
"71","71","1","True",7,4,45,0,3,"2",0,"0","1979","3","jan 8_3","R_2s7oCXveAjV2aue","0",1,1,"3"
"72","72","0","CND",4,2,72,0,1,"1",0,"0","951","2.2","jan 8_3","R_10B1Gr0ws5ErjTB","-1",1,0,"3"
"73","73","0","Misl/False",1,2,42,0,0,"2",0,"0","2843","4.6","jan 8_3","R_8J7r1wUUV2SQTEl","-3",1,0,"3"
"74","74","1","True",6,3,50,0,0,"1",0,"0","1151","4.9","jan 8_3","R_3jW2Z95sNA23277","1",1,1,"3"
"75","75","0","CND",4,1,55,1,1,"1",0,"0","1764","4.5","jan 8_3","R_2nvsI25LxDQBnNL","-2",1,0,"3"
"76","76","0","CND",4,3,28,0,1,"2",0,"0","1127","3.5","jan 8_3","R_22lvaxKcCuEHgx8","-3",1,0,"3"
"77","77","0","CND",1,1,55,1,0,"2",0,"0","2782","2.1","jan 8_3","R_24kibKZZbTeKNRU","0",1,0,"3"
"78","78","0","CND",4,1,65,1,0,"2",0,"0","3750","4.6","jan 8_3","R_2ePvFzrnaQ85KsW","3",1,0,"3"
"79","79","0","CND",5,1,50,0,0,"3",0,"0","3119","4","jan 8_3","R_2EAGXc9Lsn8Xst5","0",1,0,"3"
"80","80","0","CND",4,1,68,1,1,"1",0,"0","1039","3.4","jan 8_3","R_3DoUGFMUC5KuifG","1",1,0,"3"
"81","81","0","CND",4,3,71,0,1,"3",0,"0","946","1.4","jan 8_3","R_2a9c3g4xad70TJV","2",1,0,"3"
"82","82","0","CND",4,1,69,0,0,"1",0,"0","3420","2.6","jan 8_3","R_31bgXJU7B5Wglk5","2",1,0,"3"
"83","83","0","Misl/False",1,4,46,0,1,"2",0,"0","527","2.9","jan 8_3","R_1fg6Pnz5EDlTirZ","-3",1,0,"3"
"84","84","0","Misl/False",4,3,45,0,1,"2",0,"0","1338","4.4","jan 8_3","R_1mXClDS0IbdZaFt","0",1,0,"3"
"85","85","1","True",5,4,55,1,1,"3",0,"0","671","4.1","jan 8_3","R_1FmMegwf7x7vRkR","-3",1,1,"3"
"86","86","0","Misl/False",4,5,35,0,2,"3",0,"0","573","2.9","jan 8_3","R_3rZCdTq1Z5bWgwT","-1",1,0,"3"
"87","87","0","CND",4,4,64,0,2,"0",0,"0","671","3.4","jan 8_3","R_O8st9g8VTiLrgBj","2",1,0,"3"
"88","88","0","Misl/False",2,3,39,1,0,"3",0,"0","832","3.5","jan 8_3","R_3n72CNJ7eSOJo4x","-1",1,0,"3"
"89","89","1","True",5,4,40,1,2,"2",0,"0","1027","4.2","jan 8_3","R_3gZ2f64ZGacjdSf","-1",1,1,"3"
"90","90","0","CND",4,4,29,1,0,"1",0,"0","1030","4","jan 8_3","R_1g8CyUUmGE8nvTo","0",1,0,"3"
"91","91","1","True",7,2,48,0,2,"1",0,"1","555","3.7","jan 8_5","R_1IvgmAZyaNmS5Ko","-1",1,1,"5"
"92","92","1","True",5,1,36,0,1,"2",0,"1","693","4","jan 8_5","R_2WMv68HA3zHGtn5","0",1,1,"5"
"93","93","1","True",7,1,34,0,0,"1",0,"0","846","4.3","jan 8_5","R_1gA2I0fb4mVdAi0","-1",1,1,"5"
"94","94","1","True",7,1,56,1,1,"3",NA,"1","889","4.5","jan 8_5","R_2BzkPPfEb2C0v5N",NA,1,1,"5"
"95","95","1","True",4,3,34,0,1,"1",0,"0","694","3.6","jan 8_5","R_UuONFkkJZsYmZBD","0",1,1,"5"
"96","96","1","True",4,1,29,1,0,"0",0,"0","669","4.2","jan 8_5","R_27wLUiOgoT6lBiR","0",1,1,"5"
