"","ResponseId","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search","X","Search_Online"
"1","R_00zGzKWvNmzsV0Z","jan 13_1",1,5,25,4.2,1,0,"No",3,909,1,0,0,"Conservative","Neutral",0,1,0,11958,0
"2","R_023sWjrJ2CWcKSB","jan 21_1",0,5,54,3.4,0,3,"No",4,757,2,0,0,"Conservative","Conservative",1,0,0,14368,0
"3","R_08RhcOFktB5M4kp","feb 4_3",0,4,56,3,0,1,"Yes",1,1258,0,1,0,"Moderate","Neutral",0,0,0,13731,0
"4","R_0e6eyppHqIDi8ZH","jan 21_1",0,4,32,3.2,1,1,"No",1,1483,-3,1,0,"Liberal","Conservative",0,0,0,14442,0
"5","R_0f8tXqm73k7BgBP","nov 20_1",1,6,35,4,1,1,"Yes",3,2956,2,0,0,"Conservative","Conservative",1,1,0,11615,0
"6","R_0IDbKSYXIM98Wbf","jan 27_3",1,7,35,5,0,2,"Yes",3,620,-1,0,0,"Liberal","Neutral",0,1,0,12178,1
"7","R_0qWuzWugrqzD1Jf","jan 13_2",0,3,45,4.1,0,1,"Yes",2,876,-1,1,0,"Liberal","Liberal",1,0,0,12098,0
"8","R_0U4V7SopHDMcDMR","dec 11_3",1,7,27,4.7,1,3,"No",3,1005,-2,0,0,"Liberal","Conservative",0,1,0,13241,0
"9","R_0uH42OsyB5sFmZX","nov 20_1",1,7,35,3.4,3,1,"Yes",4,2510,-2,0,0,"Liberal","Conservative",0,1,0,11637,0
"10","R_0vWOybNrvRkQtrP","dec 2_3",1,5,74,4.1,1,2,"No",1,1438,0,1,0,"Moderate","Neutral",0,1,0,13177,0
"11","R_10MnrZEA113oKyP","nov 21_1",0,5,39,3,2,2,"No",3,692,3,1,0,"Conservative","Conservative",1,0,0,12406,0
"12","R_10o2x0A2csEui8g","jan 21_1",0,4,49,3,1,0,"No",3,5414,-2,1,0,"Liberal","Conservative",0,0,0,14405,0
"13","R_10o44r0HICZubmU","jan 21_1",1,6,64,3.5,2,1,"Yes",2,1925,0,1,0,"Moderate","Conservative",0,1,0,14470,0
"14","R_10rBPUzci4IZljz","dec 2_3",1,7,24,3.6,1,1,"No",3,521,0,0,0,"Moderate","Neutral",0,1,0,13087,0
"15","R_10TmXJJNXYDdgHw","jan 6_1",0,1,37,4,1,0,"Yes",3,768,-1,0,0,"Liberal","Conservative",0,0,0,13402,0
"16","R_10x4XLfKIbhMgJz","dec 11_3",0,4,30,4.1,2,3,"No",5,544,0,1,0,"Moderate","Conservative",0,0,0,13269,0
"17","R_10ZXBDFcorTmgRs","dec 18_1",0,5,42,4.4,2,2,"No",3,1236,2,0,0,"Conservative","Conservative",1,0,0,11830,0
"18","R_117ooLvBLZbVqBv","jan 21_1",0,5,30,2.8,1,1,"No",1,1262,0,1,0,"Moderate","Conservative",0,0,0,14435,0
"19","R_11bgcg8eAUlYaZ2","dec 10_1",1,6,40,3,1,3,"Yes",3,1611,-3,1,0,"Liberal","Conservative",0,1,0,12551,0
"20","R_11cP0IrbEllojli","jan 21_1",1,5,56,3.3,1,2,"No",1,1841,0,1,0,"Moderate","Conservative",0,1,0,14401,0
"21","R_11j4MUVdCsI6UvZ","nov 21_3",1,6,37,3,1,3,"Yes",3,976,2,1,0,"Conservative","Conservative",1,1,0,12417,0
"22","R_1290YapM4uGXgdj","jan 8_4",1,7,28,3.8,3,3,"Yes",5,935,3,0,0,"Conservative","Conservative",1,1,0,10263,1
"23","R_12f43QvQU1WMNJl","nov 21_1",0,4,56,4.6,0,2,"Yes",3,894,2,0,0,"Conservative","Conservative",1,0,0,12371,0
"24","R_12gs9AceDay9JbT","dec 16_1",1,7,50,2.9,0,2,"No",2,1535,-1,0,0,"Liberal","Conservative",0,1,0,10135,0
"25","R_12ifcBqcj0Jy5y4","dec 10_2",0,5,22,4.4,1,2,"No",3,527,0,0,0,"Moderate","Neutral",0,0,0,12423,0
"26","R_12imXEd6Q0SQUZA","jan 27_3",0,5,46,4.5,1,2,"Yes",1,1259,-1,0,0,"Liberal","Neutral",0,0,0,12185,0
"27","R_12M7rdpbI5fy8Wp","feb 6_3",1,7,49,3.6,1,0,"No",4,886,-1,1,0,"Liberal","Conservative",0,1,0,10683,0
"28","R_12oisTxxe82Uitu","jan 13_2",0,4,19,3.8,0,3,"No",1,1754,2,0,0,"Conservative","Liberal",0,0,0,11991,0
"29","R_12sC3Tz8L4sPVaE","dec 2_3",0,2,26,4.5,1,1,"No",3,924,-2,1,0,"Liberal","Neutral",0,0,0,13146,0
"30","R_12zovqRowLIWu3e","feb 5_3",0,3,44,4,1,2,"Not Sure",4,682,1,0,0,"Conservative","Neutral",0,0,0,14513,0
"31","R_1AIEI5x2LUfuI01","jan 8_1",1,7,45,5,1,0,"No",3,776,0,1,0,"Moderate","Conservative",0,1,0,10380,0
"32","R_1BPEh0h19MatOsD","dec 17_1",0,4,49,3.6,0,2,"No",1,856,-2,0,0,"Liberal","Conservative",0,0,0,11044,0
"33","R_1C1kPQFhlveXetW","dec 11_3",1,5,23,4.5,0,1,"No",2,1060,1,0,0,"Conservative","Conservative",1,1,0,13270,0
"34","R_1C9AW8gKDV6feMW","dec 11_1",1,5,62,3.8,1,0,"Yes",4,1918,3,0,0,"Conservative","Conservative",1,1,0,13318,0
"35","R_1CEcerGcnDuS9yX","dec 11_1",1,5,50,4.6,2,2,"Yes",2,1099,2,0,0,"Conservative","Conservative",1,1,0,13307,0
"36","R_1CEzyOpzjY6RSYJ","jan 21_1",0,4,18,4.4,0,2,"No",1,8213,-2,0,0,"Liberal","Conservative",0,0,0,14399,0
"37","R_1ClMicTSTLw2XIC","dec 17_1",0,1,37,4.3,0,0,"No",2,1044,-1,1,0,"Liberal","Conservative",0,0,0,11149,0
"38","R_1CwssJb30RSEGv1","dec 3_1",0,4,57,4.2,0,0,"Not Sure",1,1039,0,1,0,"Moderate","Neutral",0,0,0,13933,0
"39","R_1cZBznFIEsMvUCI","nov 21_3",0,4,39,2.6,3,3,"No",5,4663,2,1,0,"Conservative","Conservative",1,0,0,12422,1
"40","R_1d5qsjJA9hUTGai","jan 13_1",1,7,59,2.2,0,0,"No",1,1641,1,1,0,"Conservative","Neutral",0,1,0,12028,0
"41","R_1d7gJDP2Bq3RHAG","dec 19_1",1,7,67,4.2,3,2,"No",5,1307,-3,0,0,"Liberal","Conservative",0,1,0,12687,0
"42","R_1daG2ONQPKDyM46","dec 18_1",0,4,46,3.7,1,2,"No",2,1043,0,1,0,"Moderate","Conservative",0,0,0,11840,0
"43","R_1DAooUr2NVdLyxV","dec 18_1",0,4,62,3.8,0,2,"No",3,2282,-3,1,0,"Liberal","Conservative",0,0,0,11948,0
"44","R_1daYZu7QsReTG43","dec 2_3",1,6,18,3.1,1,3,"No",1,483,-1,0,0,"Liberal","Neutral",0,1,0,13112,0
"45","R_1djdnoZdUvxZ3Li","dec 10_2",1,4,50,4.3,2,1,"Yes",4,2286,2,0,0,"Conservative","Neutral",0,1,0,12488,0
"46","R_1djfeSDEsnZycI3","dec 11_3",1,5,33,4.5,3,3,"No",3,1930,-2,0,0,"Liberal","Conservative",0,1,0,13309,0
"47","R_1DokAmKqjxLVs4M","feb 4_3",0,1,35,1.9,0,2,"Yes",3,964,-2,1,0,"Liberal","Neutral",0,0,0,13694,0
"48","R_1DOrp3nEt6G8nG9","dec 19_1",0,4,36,3.9,0,1,"No",3,610,0,1,0,"Moderate","Conservative",0,0,0,12710,0
"49","R_1DqkVzPg05o9Coe","dec 4_2",1,5,49,4.2,3,1,"No",4,80392,1,1,0,"Conservative","Liberal",0,1,0,10075,0
"50","R_1dskVYrIPBisxJm","dec 2_3",0,4,63,5,2,1,"No",3,1102,0,1,0,"Moderate","Neutral",0,0,0,13176,0
"51","R_1DUUrZ8HTqOO0Gc","dec 3_2",0,4,74,2.7,0,1,"Not Sure",1,1702,0,1,0,"Moderate","Liberal",0,0,0,13960,0
"52","R_1Dxb0OYWd0cgeir","jan 8_4",1,4,44,4,0,1,"No",2,1374,2,1,0,"Conservative","Conservative",1,1,0,10340,0
"53","R_1EcZKZ7Ryy5a6ck","dec 16_1",0,2,38,4.3,1,2,"No",4,679,0,0,0,"Moderate","Conservative",0,0,0,10175,0
"54","R_1EhCiwc6oMQApB7","dec 11_1",0,4,26,4.5,2,1,"Yes",3,862,-3,0,0,"Liberal","Conservative",0,0,0,13250,0
"55","R_1eIVGzuYlnt6KcQ","feb 6_3",0,5,49,3.3,0,1,"Yes",3,1264,0,1,0,"Moderate","Conservative",0,0,0,10694,0
"56","R_1eQMI9hktnRt4Qh","dec 11_1",0,2,57,3.2,1,3,"Yes",1,1696,-2,0,0,"Liberal","Conservative",0,0,0,13316,0
"57","R_1eQpupfGNnrGSDV","dec 3_1",0,1,42,5,0,0,"No",1,1200,3,0,0,"Conservative","Neutral",0,0,0,13909,0
"58","R_1exxk5vl3KWHk5H","jan 13_1",1,6,20,1.4,0,0,"No",1,929,0,1,0,"Moderate","Neutral",0,1,0,12013,0
