"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search"
"1","dec 10_1",1,5,42,3.1,1,2,"No",4,887,0,1,"R_2WBVeIzFjglraMH",0,"Moderate","Conservative",0,1,0
"2","dec 10_1",0,1,28,4.6,1,0,"No",1,716,-3,0,"R_32LMe7pFMVuGANr",0,"Liberal","Conservative",0,0,0
"3","dec 10_1",0,3,31,3.1,1,3,"No",4,895,0,1,"R_1IN14iyFoK1YZ3K",0,"Moderate","Conservative",0,0,0
"4","dec 10_1",0,3,19,4.2,1,3,"Yes",1,510,0,0,"R_tYxheuFpfPXXfLr",0,"Moderate","Conservative",0,0,0
"5","dec 10_1",0,6,55,3.4,2,1,"Yes",3,1295,2,1,"R_3sjFUO0NVSWXUs1",0,"Conservative","Conservative",1,0,0
"6","dec 10_1",0,1,50,4.1,0,1,"Yes",4,1703,0,1,"R_1FtBptxS90yaz4U",0,"Moderate","Conservative",0,0,0
"7","dec 10_1",0,2,38,4.1,3,0,"Yes",4,3146,1,0,"R_2dXPAD2lYkfk0Ql",0,"Conservative","Conservative",1,0,0
"8","dec 10_1",0,3,58,3.5,3,1,"Yes",3,930,2,0,"R_1JQKLx06rqtSpq8",0,"Conservative","Conservative",1,0,0
"9","dec 10_1",0,6,62,3.5,1,2,"No",1,2014,2,0,"R_2aPu0sWNuiKSex0",0,"Conservative","Conservative",1,0,0
"10","dec 10_1",0,3,35,4.3,0,1,"No",2,632,-2,0,"R_1NE0KnfyNENLRkT",0,"Liberal","Conservative",0,0,0
"11","dec 10_1",0,1,18,3.6,0,2,"No",0,1010,0,0,"R_UaKruaLjrTkNkkN",0,"Moderate","Conservative",0,0,0
"12","dec 10_1",1,7,50,4.2,0,2,"Yes",2,2377,1,0,"R_302xfwESdHIBFnu",0,"Conservative","Conservative",1,1,0
"13","dec 10_1",0,1,19,3.7,0,2,"No",1,821,-1,0,"R_e4XeHI74u9KW385",0,"Liberal","Conservative",0,0,0
"14","dec 10_1",0,4,20,3.6,1,3,"No",2,806,2,0,"R_3Hp0Wi6D5c4l8cB",0,"Conservative","Conservative",1,0,0
"15","dec 10_1",1,7,56,3.7,0,3,"Yes",1,1370,2,1,"R_3Jl13PriSS20Zlr",0,"Conservative","Conservative",1,1,0
"16","dec 10_1",0,3,44,4.3,1,2,"Yes",4,858,0,0,"R_3Kx8ek6ApdnfDk2",0,"Moderate","Conservative",0,0,0
"17","dec 10_1",0,1,32,4,2,3,"Yes",3,1065,-2,0,"R_2ciMrvTAVqvow4A",0,"Liberal","Conservative",0,0,0
"18","dec 10_1",0,4,30,3.2,0,3,"Yes",1,729,0,0,"R_29tc6sub7D8fzpk",0,"Moderate","Conservative",0,0,0
"19","dec 10_1",0,1,36,4.6,0,2,"No",1,950,-2,0,"R_3Nx4HxUUcqqwlq5",0,"Liberal","Conservative",0,0,0
"20","dec 10_1",0,3,32,4.8,1,3,"Yes",3,1472,0,0,"R_3nkMc0JWRefHE6b",0,"Moderate","Conservative",0,0,0
