"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search","Article"
"1","dec 10_3",1,7,38,4,2,1,"Yes",5,802,3,1,"R_2q9R6u8K2BXRY7x",1,"Conservative","Neutral",0,1,1,"3"
"2","dec 10_3",1,6,48,4.1,1,0,"No",1,856,-2,0,"R_1diUDicMB6Aqjff",1,"Liberal","Neutral",0,1,1,"3"
"3","dec 10_3",0,4,22,3.1,3,4,"No",2,1202,-1,0,"R_32QLlD5z4DHBQjg",1,"Liberal","Neutral",0,0,1,"3"
"4","dec 10_3",0,4,59,2.9,1,3,"No",2,1751,0,0,"R_3GDRTcUkFjqfDEJ",1,"Moderate","Neutral",0,0,1,"3"
"5","dec 10_3",1,5,32,5,0,2,"No",1,1308,-2,0,"R_3GAQGUDXbFU8SpX",1,"Liberal","Neutral",0,1,1,"3"
"6","dec 10_3",1,6,21,4.6,1,1,"No",1,1370,0,0,"R_2fdtrr8u8YLdRdk",1,"Moderate","Neutral",0,1,1,"3"
"7","dec 10_3",0,5,21,3.6,1,0,"No",2,1537,-1,0,"R_2WHIAZDIbmIjv12",1,"Liberal","Neutral",0,0,1,"3"
"8","dec 10_3",1,7,18,3.8,1,4,"No",1,849,-1,0,"R_29nyMVMppo9GnQh",1,"Liberal","Neutral",0,1,1,"3"
"9","dec 10_3",1,6,32,4.2,0,3,"No",1,3058,0,0,"R_3JzTerbOLHcFbe9",1,"Moderate","Neutral",0,1,1,"3"
"10","dec 10_3",1,6,44,5,1,0,"No",1,1931,0,0,"R_1FsxZM5wT1jKyS9",1,"Moderate","Neutral",0,1,1,"3"
"11","dec 10_3",1,7,37,3.7,1,0,"No",5,1584,-2,0,"R_3m1OpUNaNxAR8Sy",1,"Liberal","Neutral",0,1,1,"3"
"12","dec 10_3",1,5,18,3.8,3,2,"No",1,611,NA,0,"R_5goOUYk8k21FxL3",1,NA,"Neutral",NA,1,1,"3"
"13","dec 10_3",1,7,39,3.2,0,3,"Not Sure",1,784,0,1,"R_2TNoCVkMu9hpjcF",1,"Moderate","Neutral",0,1,1,"3"
"14","dec 10_3",1,7,37,3.1,1,3,"No",1,1680,-3,1,"R_1lttRm9Hg0IEi9s",1,"Liberal","Neutral",0,1,1,"3"
"15","dec 10_3",1,7,47,4.4,1,2,"No",3,1969,-2,0,"R_3fio69LlDkA5dYn",1,"Liberal","Neutral",0,1,1,"3"
