"","ResponseId","Article_day","X1","Susc_FN","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Treat_Search","True_Dummy","X","Search_Online"
"1","R_0BznfS2dAmc9FU5","Jun 10_3","484","0",4,1,39,1,0,1,"0","20.2833333333333","2.8",0,0,2974,0
"2","R_0JVjIUcs7rA6R8Z","Jun 1_1","401","0",2,4,36,1,1,0,"0","30.5166666666667","4.6",0,0,2536,0
"3","R_10HkoYCQ3c0fIYy","Jun 10_3","489","0",4,4,71,0,1,0,"1","39.5666666666667","4.7",0,0,2991,0
"4","R_10OdTei5GBHdMmk","Jun 10_1","469","0",3,3,35,1,2,0,"0","60","3.8",0,0,3052,0
"5","R_10PiVE2TjyE3yLY","Jun 15_3","508","1",7,4,30,0,2,0,"1","60","3.9",0,1,3103,0
"6","R_10rt15OLib0Xubw","Jun 3_1","581","1",5,2,20,0,1,NA,"0","60","4.4",0,1,2669,0
"7","R_10Zc3wxCTRXpJ6s","Jun 8_3","675","1",7,5,45,0,1,1,"1","26.6","4.5",0,1,2813,1
"8","R_115fCkCrp7DHJOx","Jun 22_3","538","0",4,1,47,0,0,0,"0","24.05","3.6",0,0,3431,0
"9","R_11hZIh3IbWquCW4","Jun 22_3","533","1",7,5,35,0,3,0,"0","15.3","4.5",0,1,3419,0
"10","R_12AbOmHcSLCSoRF","Jun 22_3","528","0",4,3,66,0,2,0,"0","12.3166666666667","1.6",0,0,3390,0
"11","R_12Fr9I3WYkk0b7x","May 28_3","773","0",4,1,20,1,0,0,"0","9.2","4.6",0,0,2404,0
"12","R_12JC8j3kkjHStYz","Jun 3_3","608","0",3,3,21,1,0,0,"0","24.9","4.5",0,0,2634,0
"13","R_12PWov92dkSiZN2","Jun 1_3","427","0",3,1,22,0,1,1,"0","26.3666666666667","3.6",0,0,2540,0
"14","R_1BWTUqr8FtB9EY8","Jun 15_3","518","0",4,4,75,0,3,0,"0","23.8","3.8",0,0,3168,0
"15","R_1C1MxVZymHzXSHm","Jun 3_1","583","0",3,4,67,0,1,0,"1","29.5","3.1",0,0,2679,0
"16","R_1CBodPjPMCtANT8","Jun 1_3","423","0",1,1,40,1,0,0,"0","38.15","4",0,0,2532,0
"17","R_1CqhO9KfUAhlh17","May 28_1","712","0",3,1,20,1,2,0,"0","10.4833333333333","3.8",0,0,2402,0
"18","R_1CruVbyz22SCZvn","Jun 3_1","579","0",2,1,65,1,0,1,"0","37.2166666666667","3.7",0,0,2655,0
"19","R_1CxS7PavFqK0Gxc","Jun 10_1","452","0",4,1,60,0,1,0,"0","22.4166666666667","2.6",0,0,2998,0
"20","R_1CxvR78Bt8gYWQK","Jun 22_3","546","0",1,2,45,0,1,0,"0","19.2333333333333","3.4",0,0,3460,0
"21","R_1cYZ4vSZ5tmLr29","May 28_1","716","0",4,3,22,1,0,0,"0","11.2666666666667","3.7",0,0,2416,0
"22","R_1DBdDegsP0SoC0P","May 28_2","735","1",6,1,72,1,0,0,"1","50.3833333333333","3.1",0,1,2374,0
"23","R_1ddbVPxKyaEGVag","Jun 10_3","493","1",6,4,40,0,2,1,"1","14.85","4.4",0,1,3011,1
"24","R_1DGPTdYVwG1kTDA","May 28_2","756","0",2,2,57,1,1,0,"0","60","5",0,0,2475,0
"25","R_1doT3kCBvgYB3VC","Jun 8_3","672","1",7,4,33,0,3,0,"0","60","4.9",0,1,2792,1
"26","R_1dp1E4KfWIjp8H3","Jun 8_1","662","0",1,3,53,0,3,0,"0","16.6333333333333","3.6",0,0,2906,0
"27","R_1DP80ERtos2o3hc","Jun 3_1","586","0",4,3,22,0,1,0,"0","16.0333333333333","4.3",0,0,2692,0
"28","R_1DPjhQy8xC6pdTO","Jun 10_1","459","1",6,1,67,0,0,1,"1","45.3","5",0,1,3018,0
"29","R_1dtbbD81ZtMu7Pp","Jun 1_3","416","1",5,1,18,1,2,0,"0","16.2","3.4",0,1,2512,0
"30","R_1dv0YaciyG6zuFj","Jun 3_3","630","0",4,2,71,0,1,1,"0","60","3.4",0,0,2742,0
"31","R_1Ed3ASpawEbs1bg","Jun 10_1","474","0",5,4,41,1,2,0,"0","23.9","3.7",0,0,3068,0
"32","R_1EWfroGKcMBjncC","Jun 3_1","599","0",4,1,60,0,0,1,"0","47.6","2.6",0,0,2736,0
"33","R_1F2mUYc8avebrHJ","Jun 8_3","676","0",3,3,25,1,1,0,"0","26.8333333333333","4.1",0,0,2821,0
"34","R_1FeWJ1uJN1FweGQ","Jun 1_3","442","0",6,4,26,0,1,1,"0","11.1166666666667","3.6",0,0,2611,0
"35","R_1FOLhNxExeROkPf","Jun 22_3","549","0",4,3,22,1,0,0,"0","21.8666666666667","3.9",0,0,3476,0
"36","R_1g8wU1W9Nr9XjOm","Jun 8_1","649","0",3,1,18,1,1,0,"0","15.2166666666667","3.4",0,0,2843,0
"37","R_1gGhVPQKJ5g2PBP","Jun 10_1","471","0",4,3,35,1,1,0,"0","13.6833333333333","2.4",0,0,3059,0
"38","R_1GIH7L3ZC81DK2e","Jun 3_3","632","1",6,3,72,1,1,0,"0","58.5666666666667","2.2",0,1,2753,0
"39","R_1gjpGgTCO8zYaPH","Jun 10_3","501","1",5,2,47,0,0,1,"0","29.7166666666667","4",0,1,3064,0
"40","R_1H7tp9dzQWglj84","May 28_2","757","0",5,2,44,1,0,0,"0","39.5166666666667","3.2",0,0,2476,0
"41","R_1hKoiFEGkiaGieA","Jun 8_1","639","0",5,1,73,0,0,0,"0","19.0166666666667","2.7",0,0,2794,0
"42","R_1hzijqmh6N7g8Vy","Jun 15_3","505","1",7,5,41,0,3,0,"1","27.25","4",0,1,3089,1
"43","R_1i2Ry4bDV14yo4A","May 28_1","715","0",2,1,20,1,3,0,"0","12.9833333333333","4.6",0,0,2411,1
