"","ResponseId","Article_day","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Ideology_Score","Treat_Search","True_Dummy","Article","X","Search_Online"
"1","R_005XxEohuDdbwXf","Jun 10_5","848","0","FM",4,2,66,0,0,0,"1","12.6333333333333","2.1","0",0,0,"5",2964,0
"2","R_00SaRikWKjLtVTj","May 28_4","1436","0","FM",2,3,49,0,3,0,"1","23.3","4","0",0,0,"4",2490,0
"3","R_0AOIWNMOlJuB6x3","Jun 8_5","1393","0","T",6,3,30,0,3,0,"0","10.2833333333333","4","-2",0,1,"5",2826,0
"4","R_0CCGrq9vrtjvPs5","Jun 1_5","756","0","CND",4,4,55,1,0,0,"0","22.2","3.8","0",0,0,"5",2520,0
"5","R_0Gwokl5e8QuBd05","Jun 1_4","746","0","T",6,3,54,0,1,0,"1","19.8833333333333","5","-3",0,1,"4",2571,0
"6","R_0kzhjnZ7tNefqFj","May 28_5","1465","0","T",7,3,45,0,1,0,"1","16.65","4.8","1",0,1,"5",2493,0
"7","R_0lcNuHhDjClPpIJ","Jun 17_5","1138","0","T",6,1,35,0,0,0,"1","14.6666666666667","4.5","0",0,1,"5",3306,0
"8","R_0uH8sqJcpUdOf73","May 28_4","1433","0","CND",5,1,67,1,1,0,"0","54.45","1.8","0",0,0,"4",2473,0
"9","R_0VTBq3VBzig0sVP","Jun 15_4","958","0","CND",4,3,46,0,1,0,"1","19.6","4","-2",0,0,"4",3158,0
"10","R_0wUtQmpZoHnqgyR","Jun 8_5","1397","0","FM",6,4,21,0,2,0,"0","13.0166666666667","3","-1",0,0,"5",2853,0
"11","R_110fdpggGOo3WvN","Jun 10_5","862","0","T",5,1,44,0,0,0,"0","16.3166666666667","3.8","-1",0,1,"5",3040,0
"12","R_1114fEhZfDxoLEv","Jun 17_5","1147","0","FM",3,2,31,1,1,0,"0","9.5","3.8","0",0,0,"5",3366,0
"13","R_111rL7ybwmlVPJE","Jun 8_5","1390","0","T",6,3,30,0,3,0,"0","29.8666666666667","3.5","-2",0,1,"5",2807,0
"14","R_11d4Z3Vu5sZEeed","Jun 10_5","842","0","CND",4,5,67,0,2,0,"0","13.1666666666667","3.3","0",0,0,"5",2948,0
"15","R_11hzdGp7ulHou7R","Jun 3_4","1293","0","CND",4,2,72,1,2,0,"0","60","2.2","3",0,0,"4",2649,0
"16","R_123DHFG08Is9emH","Jun 1_4","749","0","T",4,1,26,0,0,0,"0","13.15","4.5","1",0,1,"4",2584,0
"17","R_129BGtIv1GnzkQ8","Jun 15_5","983","0","CND",3,3,37,0,0,0,"0","28.9166666666667","3.1","-2",0,0,"5",3164,0
"18","R_12fNwsFX4wkNTBN","May 28_4","1430","0","CND",2,2,49,0,1,0,"0","35.7","4.2","-3",0,0,"4",2450,0
"19","R_12heqO5rJ3f5xxK","Jun 8_5","1398","0","T",7,4,70,1,0,0,"1","50.7666666666667","4.7","-1",0,1,"5",2860,0
"20","R_12hFYgCugPczJR6","Jun 15_5","977","0","CND",7,1,57,0,0,0,"0","20.15","2.2","0",0,0,"5",3124,0
"21","R_1cXI7Y9bZdhYqqe","Jun 3_5","1350","0","CND",4,1,69,0,1,0,"0","40.8166666666667","4.6","0",0,0,"5",2747,0
"22","R_1d0tlB6vwL2RhHP","Jun 10_4","819","0","T",5,2,69,0,0,0,"0","37.5","4","0",0,1,"4",2985,0
"23","R_1DCJ7OKbzdileW8","Jun 1_5","759","0","T",5,1,18,1,3,0,"0","22.2666666666667","2.8","1",0,1,"5",2530,0
"24","R_1dcPhAfK5SYEY7C","Jun 1_4","738","0","FM",2,3,58,0,2,0,"1","18.5166666666667","3.8","2",0,0,"4",2525,1
"25","R_1dH8a36P58F0Nml","Jun 10_4","804","0","T",6,1,62,0,0,0,"1","24.5","2.5","0",0,1,"4",2938,0
"26","R_1diOqYtCQzYbp1S","Jun 22_5","1245","0","T",7,4,45,0,3,1,"0","13.2166666666667","4.7","-2",0,1,"5",3403,1
"27","R_1dNc4v35br0CK3W","Jun 8_4","1359","0","T",7,1,48,1,0,0,"0","29.2666666666667","3.1","1",0,1,"4",2793,0
"28","R_1DP6u0Ysapej67b","Jun 22_5","1254","0","CND",4,1,69,0,0,NA,"0","20.1","2.7",NA,0,0,"5",3450,0
"29","R_1DSdq4CoflvcVgq","Jun 17_4","1119","0","CND",4,1,39,1,1,0,"0","12.9166666666667","3.6","3",0,0,"4",3365,0
"30","R_1E6GxUkY98N1T6n","May 28_4","1437","0","FM",3,5,38,0,3,0,"0","49.3833333333333","4.5","0",0,0,"4",2495,0
"31","R_1EchQOvm59JfdLc","Jun 22_5","1247","0","T",7,4,41,0,2,0,"1","28.0833333333333","5","0",0,1,"5",3411,0
