ResponseId,Ideology_Score
R_2xXl0cCgOnoljGO,0
R_3JkOa4HTwtdYEHv,1
R_1ML1yHeaNRNZmMw,1
R_yk084j3S4m8ubLj,-1
R_3Giyk6KiUaZqTWn,0
R_0JVjIUcs7rA6R8Z,-2
R_1o5rbjFXr8U2RXi,1
R_PO3OaDyiYRAL0lP,2
R_1jldEk0h0MM7dqo,-1
R_31i7lQZlIvQpo1i,2
R_1pArYJugXWt2p6j,-1
R_1IYlWsahZkmENH0,3
R_3dRF53pKvDklAzA,2
R_3RsvTUEcdkpa5aC,1
R_3G6AnCBE4RtpbA8,-2
R_1Pel06o0nrH9ATK,0
R_2YJUxOiSphH7MEa,3
R_31TT23zwAdT9tDU,-2
R_3CD8Df9sZcpvE49,0
R_1M4FKrqVOTIjKTr,0
R_1dtbbD81ZtMu7Pp,-2
R_2SCvbQVV0UKelSB,0
R_1jv4wMYuc70NrmJ,1
R_3OpQdxwPNkmf77I,3
R_21oKGBp2PfnLzG6,2
R_2UaAGVuEXQRzOiz,0
R_3PXjipdWUkak5k9,0
R_1CBodPjPMCtANT8,0
R_3nkkymdrKhUDz2b,0
R_20Pzcmzi67CNorj,0
R_Z1BQDmQUpX0Pcgp,-2
R_12PWov92dkSiZN2,2
R_DH9dZol1UWK0Pap,3
R_1IQwcIEUgUNYP51,2
R_1IjajgcAMwTfElX,0
R_2PiqsHvcudgsDRj,-2
R_1rqR90DP0Nj7aus,0
R_2TtaXOjWpxd761t,-2
R_vk8mcVCnqNYeBQl,0
R_AGS8YC1YZ4V7S6d,0
R_sGobJE4PqP8NeM1,3
R_24vJUM6YRExnJBy,-1
R_3Dp7UOmpTzPVUJk,1
R_2DYxPLR29FY1M3i,0
R_3NQJbaDUibUS4fl,0
R_2rHj0IXRZGZm5cr,0
R_1FeWJ1uJN1FweGQ,1
R_zdqCK4TJDQmfKW5,-2
R_3HRNpP8mc9xL4ys,0
R_3CBCkHZgwNcK0XR,0
R_3PuBpYRvfKQbhKF,-1
R_AoDJpO4lJxRsQHD,-3
R_RCYIwGhlp5ytKKZ,-1
R_2q8xe9r8kidRbHV,2
R_DwvTwBHPg8SIMBX,-3
R_3kCdEkeX5LvVbee,-1
R_1CxS7PavFqK0Gxc,-1
R_DdXw5MoXLMQyUSd,0
R_1jdHlOwZT2Mkg5H,3
R_STbvrIALUQFn2mZ,-2
R_OfkB3iMsXqXjV3X,-2
R_DUi8Q5tir1wuNcl,2
R_7V3Yh42JrjYCQBX,1
R_1DPjhQy8xC6pdTO,1
R_3shRo1iZnRFpAjc,0
R_2B9gzZaWBRMK1vi,0
R_3fIQFIxcreorMOq,0
R_3j38ZeGdvDGdZmh,1
R_1LHjUE5TjDfTEvu,0
R_3CNKV3AxKXzdVrY,0
R_3PnPIDgvBKKqiQy,1
R_YXk30W4BeTBtByp,-2
R_1KvCgz07XZwjNjE,2
R_10OdTei5GBHdMmk,0
R_2AHjwSqxvbfWYqg,3
R_1gGhVPQKJ5g2PBP,0
R_2q3fO1QOmtw4NIn,-1
R_3m8Xoz7qFWBFLU8,3
R_1Ed3ASpawEbs1bg,0
R_23WdzdMt9h5ufti,1
R_2RQjWBPP2L9PCX7,0
R_bQpLHy1jE3Y97UJ,1
R_VQk4pfUpICgx6nf,-2
R_XnYSUMsRqcpuzMB,-2
R_1lyE4s653hURJMN,0
R_2DTTz3RIPKAZ9Zi,-3
R_1r00pMlftmCnNdS,-3
R_2t4hr6RB8aK6g6Q,-2
R_0BznfS2dAmc9FU5,2
R_1j7iB6lvsAfvyAR,-2
R_2q3mJY76qYEeEZE,NA
R_2zhGyA5s89YMHBL,0
R_21cxUu5E2e0CiBr,-2
R_10HkoYCQ3c0fIYy,0
R_eeyCzA8RHelVngJ,2
R_SNw6KCtfaoqcyUp,2
R_1o5ayvnsqOJe1DS,0
R_1ddbVPxKyaEGVag,2
R_2zGR9mPFXMf2e8k,2
R_pQUewQ6gn2jkBZ7,0
R_2pQ3z7bEvan2r5k,0
R_3OqBnRKBKX8AWtj,-1
R_25sycceSSnGb58K,-2
R_OIiFirfGPf1cvGV,-1
R_1Q58YdUpjMHtWQD,-1
R_1gjpGgTCO8zYaPH,2
R_2QK6A64Luxf9dDu,0
R_6kZcghLrrmPp7yN,2
R_24FWA34ndmONE5E,3
R_1hzijqmh6N7g8Vy,-3
R_3Rr6CsRkCmbBs5b,-2
R_2xKMErsRYaTKpyh,2
R_10PiVE2TjyE3yLY,-2
R_Dvo0EMpfgPn7kQN,-2
R_3gZubr2CuYOgi8O,0
R_2WPtl8vw4bSSydJ,2
R_1LT0mHNzFM8pyox,NA
R_yPxwUTAMzV1egRr,2
R_3LdOFeMvr4fFU3w,-2
R_1INneo0p3CBqQoU,0
R_2xFC1JYVmdyoAuH,1
R_UcMKuOWRXYS4kO5,-1
R_1BWTUqr8FtB9EY8,0
R_1l3q1I81Scco6uS,-2
R_2BzEjjaC6N7FNIu,0
R_2WBZwBP6PGvOck9,1
R_2YEzOJgqkT4CYaq,3
R_3HYYoor4iA7uhoQ,1
R_TplFcRPMeKtIEYp,-1
R_3L6BKdwY217LW03,-2
R_2odXhMZbrsKbJip,3
R_1INqJHBiJsSewxl,0
R_12AbOmHcSLCSoRF,2
R_31gEc8Grp9nG4Em,2
R_2YEdXJu4fobQd65,1
R_xEhFJPtWHYaWB3j,-1
R_80um6mVPfnAFMT7,NA
R_11hZIh3IbWquCW4,3
R_3ehlIHdqAUcWao9,2
R_30059xsIalwMoB1,1
R_2aPmC7YsaSzR8vU,-2
R_DAi0lextAZvAqul,3
R_115fCkCrp7DHJOx,1
R_2BgpbCdG9hZU6x6,1
R_2y8YDg02ze3WwAM,1
R_DvMlnf1XN7FpFlf,1
R_1pzF8Vcu8ntAe0H,0
R_2qdDVjuwi7lqZGc,-3
R_cu6Dan95a1gV997,2
R_pbL0OPzvXfUf5AZ,-1
R_1CxvR78Bt8gYWQK,-1
R_3e2Efv033f8SWT3,0
R_2U8YFNCYlHeWwWq,-2
R_1FOLhNxExeROkPf,0
R_vjWT4I1cCQa1ExX,-2
R_25AVxOTUcmBrvwd,3
R_1N3Ut25FQPHnmlg,3
R_UaxKmz3ySOqzZ73,3
R_1QxwPOY6mHCAXLX,0
R_2rOz7nIUNPWtm49,2
R_bqMIqvBTFKUwkeZ,-1
R_eEdC4G5GQYO5aAp,-3
R_3R2ig0MNSDElciP,0
