"","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search","True_Dummy","Article"
"1","1","1","True",6,2,60,1,1,0,"1","16.25","2","Jun 1_4","R_cIlfnCdcnY3wj2V","3",1,1,"4"
"2","2","1","True",3,3,34,1,2,0,"1","17.7","4.5","Jun 1_4","R_BJo03PjqQwv9p5L","2",1,1,"4"
"3","3","0","Misl/False",4,3,58,0,2,0,"1","18.5166666666667","3.8","Jun 1_4","R_1dcPhAfK5SYEY7C","2",1,0,"4"
"4","4","1","True",7,1,20,0,1,0,"1","10.5333333333333","4","Jun 1_4","R_3DoTLxEARX4qh8a","-1",1,1,"4"
"5","5","1","True",4,5,45,1,3,NA,"0","11.5","4.1","Jun 1_4","R_b4lpSSNp3ZwPPnb",NA,1,1,"4"
"6","6","1","True",7,1,25,0,1,0,"1","23.6333333333333","5","Jun 1_4","R_ekXVMUaAyvvcTGV","-2",1,1,"4"
"7","7","1","True",7,1,65,0,0,0,"1","41.5166666666667","4.5","Jun 1_4","R_3lYVy8y4wpiOfb6","0",1,1,"4"
"8","8","1","True",7,4,35,0,2,0,"0","18.1","3.8","Jun 1_4","R_2c7T5zoPo2TKw3b","0",1,1,"4"
"9","9","0","CND",5,1,71,1,2,0,"1","60","2.6","Jun 1_4","R_3hgzHKoiP4e8fVU","0",1,0,"4"
"10","10","1","True",7,3,45,1,2,0,"0","26.3833333333333","5","Jun 1_4","R_1Ii5Hnua1tRauZY","0",1,1,"4"
"11","11","1","True",7,3,54,0,1,0,"1","19.8833333333333","5","Jun 1_4","R_0Gwokl5e8QuBd05","-3",1,1,"4"
"12","12","1","True",6,2,42,0,0,0,"1","48.7666666666667","4.2","Jun 1_4","R_27ezl8FA2R0Zf9Q","1",1,1,"4"
"13","13","1","True",5,4,27,0,1,0,"1","10.35","4","Jun 1_4","R_31LfdoLGlScfDCn","-1",1,1,"4"
"14","14","0","CND",7,1,26,0,0,0,"0","13.15","4.5","Jun 1_4","R_123DHFG08Is9emH","1",1,0,"4"
"15","15","1","True",5,1,20,0,1,0,"0","12.85","3.8","Jun 1_4","R_1HUEYXDw5s3m60p","-1",1,1,"4"
"16","16","1","True",6,2,38,0,1,0,"1","60","4.7","Jun 1_4","R_2PvSeyxm8YWyPdV","-3",1,1,"4"
"17","17","0","CND",4,2,72,0,1,0,"1","10.0666666666667","1.8","Jun 1_4","R_yIpObJmskm6j3yx","3",1,0,"4"
"18","18","1","True",6,1,20,0,1,0,"1","15.2333333333333","3.8","Jun 1_4","R_eP45YvZvGfOnaA9","0",1,1,"4"
"19","19","1","True",5,3,65,0,0,0,"1","24","4.6","Jun 1_4","R_pSfr6ZMoHmJJNy9","-2",1,1,"4"
"20","20","1","True",6,3,38,0,3,0,"0","16.8666666666667","5","Jun 1_5","R_3Jmyh8hLIjP4GC6","-2",1,1,"5"
"21","21","1","True",5,4,55,1,0,0,"0","22.2","3.8","Jun 1_5","R_0CCGrq9vrtjvPs5","0",1,1,"5"
"22","22","1","True",6,5,54,1,3,0,"0","24.4166666666667","3.8","Jun 1_5","R_W1fKLPlD4zRnOgh","-2",1,1,"5"
"23","23","1","True",6,4,42,1,1,0,"0","31.65","2.8","Jun 1_5","R_3G21Z1wzZ2sTr4S","0",1,1,"5"
"24","24","1","True",5,1,18,1,3,0,"0","22.2666666666667","2.8","Jun 1_5","R_1DCJ7OKbzdileW8","1",1,1,"5"
"25","25","1","True",7,1,29,0,1,0,"0","23.2333333333333","3.7","Jun 1_5","R_cZMC06msZhkrPpf","-2",1,1,"5"
"26","26","0","CND",4,1,43,1,0,0,"0","38.3666666666667","3.8","Jun 1_5","R_C3Nat0vSIKaExq1","2",1,0,"5"
"27","27","1","True",7,3,46,1,1,0,"0","41.2","4.8","Jun 1_5","R_2fDMoFimsmUeZET","-2",1,1,"5"
"28","28","1","True",6,3,29,1,2,0,"0","60","3.6","Jun 1_5","R_3PS5VYYYHAOLX3F","0",1,1,"5"
"29","29","1","True",6,4,49,0,1,0,"0","60","4.5","Jun 1_5","R_AECIYnYzIdFAXSx","-3",1,1,"5"
"30","30","0","Misl/False",4,2,60,0,0,0,"0","20.3","1.8","Jun 1_5","R_1GHaBzZQ85eqk4w","3",1,0,"5"
"31","31","1","True",7,3,47,0,0,0,"0","55.0666666666667","4.6","Jun 1_5","R_BKaCoZ5E0LJDDS9","-2",1,1,"5"
