Article_Total_Num,Feed,Day,URL,Headline,Day_Num,Article_Num,Article_day
1,Con_LQ,7/19/21,thefederalistpapers.org/us/az-state-senator-demands-biden-electors-recalled-new-election-held-shocking-audit-revelations,"AZ State Senator Demands Biden Electors Be Recalled, New Election Be Held After Shocking Audit Revelations",1,1,Day_1_1
2,Lib_LQ,7/19/21,occupydemocrats.com/2021/07/17/miserable-trump-throws-fit-because-a-british-golf-tournament-isnt-held-at-his-course/,Miserable Trump throws fit because a British golf tournament isn’t held at his course,1,2,Day_1_2
3,Unc_LQ,7/19/21,www.zerohedge.com/covid-19/worrying-me-quite-bit-mrna-vaccine-inventor-shares-viral-thread-showing-covid-surge-most,"""This Is Worrying Me Quite A Bit"": mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries",1,3,Day_1_3
4,Con_Main,7/19/21,www.washingtontimes.com/news/2021/jul/19/arizona-election-audit-will-show-trump-won-majorit/,"Majority of Arizona Republicans believe election audit will show Trump won, poll shows",1,4,Day_1_4
5,Lib_Main,7/19/21,www.nbcnews.com/news/olympics/member-u-s-women-s-gymnastics-team-tests-positive-covid-n1274334,"Kara Eaker, U.S. women's gymnastics alternate, tests positive for Covid days before Tokyo Olympics",1,5,Day_1_5
6,Con_LQ,7/20/21,www.dailywire.com/news/know-your-history-coward-ufc-star-calls-out-colin-kaepernick-for-support-of-fidel-castro,"‘Know Your History, Coward’: UFC Star Calls Out Colin Kaepernick For Support Of Fidel Castro",2,1,Day_2_1
7,Lib_LQ,7/20/21,crooksandliars.com/2021/07/critical-race-theory-bans,Bans On Critical Race Theory Will Have A Chilling Effect On Educators,2,2,Day_2_2
8,Unc_LQ,7/20/21,ijr.com/texas-democrats-dc-trip-expected-cost-1-5-million/,Texas Democrats' DC Trip To Block Voting Bill Expected To Cost Around $1.5 Million,2,3,Day_2_3
9,Con_Main,7/20/21,www.foxnews.com/politics/sixth-texas-dem-comes-down-with-covid-19-and-is-isolating-report,Sixth Texas Dem comes down with COVID-19 and is isolating: report,2,4,Day_2_4
10,Lib_Main,7/20/21,www.cbsnews.com/news/twitter-suspend-marjorie-taylor-greene-covid-19-vaccine-misinformation/,Twitter suspends Rep. Marjorie Taylor Greene for spreading COVID-19 misinformation,2,5,Day_2_5
11,Con_LQ,7/21/21,www.thegatewaypundit.com/2021/07/democrats-add-funding-civilian-climate-corps-infrastructure-bill/,Democrats Add Funding Of ‘Civilian Climate Corps’ To Infrastructure Bill,3,1,Day_3_1
12,Lib_LQ,7/21/21,www.palmerreport.com/analysis/looks-like-new-york-prosecutors-have-a-witness-directly-incriminating-donald-trump/40236/,Looks like New York prosecutors have a witness directly incriminating Donald Trump,3,2,Day_3_2
13,Unc_LQ,7/21/21,themindunleashed.com/2021/07/jeff-bezos-thanks-exploited-amazon-workers-and-customers-for-paying.html,Jeff Bezos Thanks Amazon Workers And Customers For Paying For His Flight To Space,3,3,Day_3_3
14,Con_Main,7/21/21,www.newsmax.com/newsfront/karoline-leavitt-congress-campaign-new-hampshire/2021/07/20/id/1029267/,23-Year-Old Ex-Trump Staffer Running for Congress in New Hampshire,3,4,Day_3_4
15,Lib_Main,7/21/21,www.cbsnews.com/news/tokyo-olympics-sweden-beats-us-womens-soccer-2021-07-21/,"U.S. stunned by Sweden 3-0 in women's soccer at Olympics: ""Not the start we wanted""",3,5,Day_3_5
16,Con_LQ,7/22/21,thepoliticalinsider.com/gop-reps-demand-explanation-for-why-capitol-protesters-are-being-jailed-when-blm-protesters-were-not/,GOP Reps. Demand Explanation For Why Capitol Protesters Are Being Jailed When BLM Protesters Were Not,4,1,Day_4_1
17,Lib_LQ,7/22/21,bipartisanreport.com/2021/07/21/liz-cheney-emasculates-kevin-mccarthy-for-his-jan-6-nonsense/,Liz Cheney Emasculates Kevin McCarthy For His Jan 6 Nonsense,4,2,Day_4_2
18,Unc_LQ,7/22/21,gnews.org/1414267/,“Zero COVID” Catastrophe: Participating Nations See New Records Across the Board,4,3,Day_4_3
19,Con_Main,7/22/21,nypost.com/2021/07/21/video-shows-would-be-la-robbery-victim-shoot-his-assailants/,Video shows would-be LA robbery victim shoot his assailants,4,4,Day_4_4
20,Lib_Main,7/22/21,www.cbsnews.com/news/tarrant-city-council-tommy-bryant-n-word-no-apology/,Alabama city leader who used n-word in council meeting says he won't apologize and might run for mayor,4,5,Day_4_5
21,Con_LQ,7/25/21,www.wnd.com/2021/07/enthusiasm-trumps-rally-az-dwarfs-president-bidens-town-hall-just-days-earlier/,Enthusiasm for Trump's rally in Arizona dwarfs President Biden's town hall just days earlier,5,1,Day_5_1
22,Lib_LQ,7/25/21,occupydemocrats.com/2021/07/20/rand-paul-is-left-speechless-after-dr-fauci-tears-into-him-for-lying-in-senate-hearing/,Rand Paul is left speechless after Dr. Fauci tears into him for lying in Senate hearing,5,2,Day_5_2
23,Unc_LQ,7/25/21,www.zerohedge.com/political/chicago-chamber-commerce-rages-average-unemployed-illinoisan-parent-earns-35hour-sitting,Chicago Chamber Of Commerce Rages As Average Unemployed Illinoisan Parent Earns $35/Hour Sitting On The Couch,5,3,Day_5_3
