"","Article_day","X","ResponseId","Day","Article_Num","Category","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_False","FC_True","FC_CND","Education_Score","Income_Score","Q_Ideology","Dig_Lit_Score","Ideology_Score","True_Dummy","Treatment","Article_Lean","Dummy_Ideology","Ideo_Congruence","FC_Eval"
"1","Day_1_2",1443,"R_1lbmIBPO0dpwTtU","Day_1",2,"True",7,4,76,0,0,5,0,4,1,"Liberal",53,-2,1,1,"Liberal","Liberal",1,"T"
"2","Day_1_2",11,"R_1ILDrpPAAn0CdBx","Day_1",2,"True",7,4,45,1,0,5,0,2,1,"Liberal",63,-2,1,1,"Liberal","Liberal",1,"T"
"3","Day_1_2",1453,"R_2D1ELT0pRLJHNh9","Day_1",2,"True",7,4,34,0,0,5,0,4,2,"Extremely Liberal",59,-3,1,1,"Liberal","Liberal",1,"T"
"4","Day_1_2",1431,"R_10pkUNEtcV6OMCU","Day_1",2,"True",7,4,35,1,0,5,0,2,1,"Slightly Liberal",41,-1,1,1,"Liberal","Liberal",1,"T"
"5","Day_1_2",769,"R_cUtE2g9RhTXd2Gl","Day_1",2,"True",5,3,32,1,0,5,0,4,2,"Liberal",32,-2,1,1,"Liberal","Liberal",1,"T"
"6","Day_1_2",736,"R_2AWldDyzSgWa5Ti","Day_1",2,"True",4,4,21,1,0,5,0,3,1,"Moderate: Middle of the road",46,0,1,1,"Liberal","Moderate",0,"T"
"7","Day_1_2",35,"R_3hfIgiMxT4QVOM6","Day_1",2,"True",6,4,51,0,0,5,0,4,1,"Moderate: Middle of the road",62,0,1,1,"Liberal","Moderate",0,"T"
"8","Day_1_2",1447,"R_23TttM2XMS0oGth","Day_1",2,"Misl",5,3,40,1,0,5,0,4,2,"Moderate: Middle of the road",57,0,0,1,"Liberal","Moderate",0,"T"
"9","Day_1_2",28,"R_2RP4ieLcvxMjWJz","Day_1",2,"True",7,4,32,1,0,5,0,4,1,"Liberal",60,-2,1,1,"Liberal","Liberal",1,"T"
"10","Day_1_2",717,"R_11aKu0pnwMoF1XB","Day_1",2,"True",7,4,56,0,0,5,0,2,1,"Extremely Liberal",53,-3,1,1,"Liberal","Liberal",1,"T"
"11","Day_1_2",1446,"R_20M3irK9yP7zOGl","Day_1",2,"True",5,3,29,0,0,5,0,4,1,"Liberal",64,-2,1,1,"Liberal","Liberal",1,"T"
"12","Day_1_2",1488,"R_PNwajSELAD6DGZX","Day_1",2,"Misl",5,3,34,0,0,5,0,3,1,"Slightly Liberal",59,-1,0,1,"Liberal","Liberal",1,"T"
