"","ResponseId","Article_day","Category","True_Dummy","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_Eval","Dummy_Ideology","Ideo_Congruence","Income_Score","Education_Score","Dig_Lit_Score","Total_Links","avg_score","Unrel_contain","Total_Rel_85","Total_Unrel_60","Article_Lean"
"1","R_0djyHVCIolfEwAF","Day_4_1","True",1,5,3,34,0,"No Mode","Moderate",0,1,5,45,10,88.9,1,0,1,"Conservative"
"2","R_0djyHVCIolfEwAF","Day_4_2","True",1,6,4,34,0,"True","Moderate",0,1,5,45,11,89.7272727272727,0,0,0,"Liberal"
"3","R_0djyHVCIolfEwAF","Day_4_3","True",1,6,4,34,0,"FM","Moderate",0,1,5,45,9,83.7777777777778,0,0,0,"Neutral"
"4","R_0ezfVwtgkE9kvgB","Day_4_1","Misl",0,7,2,41,0,"No Mode","Liberal",0,1,3,63,10,95.75,0,1,0,"Conservative"
"5","R_0ezfVwtgkE9kvgB","Day_4_4","True",1,7,4,41,0,"True","Liberal",0,1,3,63,7,89.8571428571429,0,0,0,"Neutral"
"6","R_0ezfVwtgkE9kvgB","Day_4_5","True",1,7,4,41,0,"True","Liberal",0,1,3,63,8,91.5625,0,1,0,"Neutral"
"7","R_0ilMeEkp8f8eRJ7","Day_11_1","True",1,7,4,47,0,"FM","Conservative",1,2,2,66,4,49.125,1,0,3,"Conservative"
"8","R_0ilMeEkp8f8eRJ7","Day_11_3","True",1,6,4,47,0,"FM","Conservative",1,2,2,66,8,60.625,1,0,4,"Conservative"
"9","R_0ilMeEkp8f8eRJ7","Day_11_5","True",1,7,4,47,0,"True","Conservative",0,2,2,66,19,89.4210526315789,1,0,2,"Neutral"
"10","R_0Jmt30ZudZuGso1","Day_8_1","True",1,5,3,29,1,"True","Conservative",1,4,5,64,28,93.4107142857143,0,0,0,"Conservative"
"11","R_0Jmt30ZudZuGso1","Day_8_5","True",1,7,4,29,1,"No Mode","Conservative",0,4,5,64,20,87.175,0,0,0,"Neutral"
"12","R_0keCk9coMMwU5l7","Day_10_1","Misl",0,4,2,43,0,"True","Liberal",0,1,3,52,13,92.4230769230769,0,0,0,"Conservative"
"13","R_0keCk9coMMwU5l7","Day_10_3","Misl",0,3,1,43,0,"FM","Liberal",0,1,3,52,9,75.1666666666667,0,0,0,"Conservative"
"14","R_0keCk9coMMwU5l7","Day_10_5","True",1,7,4,43,0,"True","Liberal",0,1,3,52,6,95.8333333333333,0,1,0,"Neutral"
"15","R_0qxXxT2096WCgOB","Day_6_1","True",1,6,3,33,0,"FM","Conservative",1,2,4,44,4,21.125,1,0,4,"Conservative"
"16","R_0qxXxT2096WCgOB","Day_6_2","True",1,6,3,33,0,"True","Conservative",0,2,4,44,3,92.5,0,0,0,"Liberal"
"17","R_0qxXxT2096WCgOB","Day_6_3","True",1,6,3,33,0,"No Mode","Conservative",0,2,4,44,3,77.1666666666667,0,0,0,"Neutral"
"18","R_10CmDSU4DD5D9Xf","Day_11_1","True",1,5,3,27,0,"FM","Liberal",0,1,2,60,5,90.4,0,0,0,"Conservative"
"19","R_10CmDSU4DD5D9Xf","Day_11_2","True",1,7,4,27,0,"True","Liberal",1,1,2,60,18,95.6944444444444,0,0,0,"Liberal"
"20","R_10CmDSU4DD5D9Xf","Day_11_4","True",1,7,4,27,0,"True","Liberal",0,1,2,60,17,91.7352941176471,0,0,0,"Neutral"
"21","R_10pkUNEtcV6OMCU","Day_1_1","Coul",0,5,3,35,1,"FM","Liberal",0,1,2,41,9,91.0555555555556,1,0,1,"Conservative"
"22","R_10pkUNEtcV6OMCU","Day_1_2","True",1,7,4,35,1,"True","Liberal",1,1,2,41,6,94.0833333333333,0,0,0,"Liberal"
"23","R_10pkUNEtcV6OMCU","Day_1_3","True",1,6,4,35,1,"FM","Liberal",0,1,2,41,2,96.25,0,1,0,"Neutral"
"24","R_110X7dYcxCvE3Hy","Day_5_2","True",1,7,4,39,0,"FM","Moderate",0,2,2,52,18,92.75,0,0,0,"Liberal"
"25","R_110X7dYcxCvE3Hy","Day_5_4","True",1,7,4,39,0,"FM","Moderate",0,2,2,52,7,86.6428571428571,0,0,0,"Conservative"
"26","R_110X7dYcxCvE3Hy","Day_5_5","True",1,7,4,39,0,"True","Moderate",0,2,2,52,10,95,0,0,0,"Neutral"
"27","R_110ZUSS1THz3gx5","Day_11_1","Misl",0,1,1,23,1,"FM","Moderate",0,3,3,58,24,93.3125,1,0,1,"Conservative"
