"","T_Dummy","Ordinal_4","Ordinal_7","Treatment_1","Treatment_2","Treatment_3","Age","Ideo_Congruence","Education_Score","Q_Gender","Income_Score","Article_day","ResponseId","Article_Num","Final_FC"
"1",1,4,7,0,0,0,49,0,3,1,1,"Day1_3","R_1o5RwSlN3w5jEkT","3","FM"
"2",0,2,3,1,0,0,38,0,3,1,0,"Day1_3","R_z9hhFBTVGct80Lf","3","FM"
"3",0,3,4,0,0,0,30,0,1,0,0,"Day1_3","R_1KpVqBO0esVz3sW","3","FM"
"4",0,3,4,0,0,0,37,0,4,0,1,"Day1_3","R_27j6ELIGRmRMxOy","3","FM"
"5",0,3,4,0,1,0,37,0,1,0,1,"Day1_3","R_r8TqoYB1Zab5hC1","3","FM"
"6",0,2,3,1,0,0,70,0,1,0,0,"Day1_3","R_TpT9asbY1dqilz3","3","FM"
"7",0,2,1,0,1,0,44,0,2,1,1,"Day1_3","R_3hAq02rvGCIi0h8","3","FM"
"8",0,1,1,0,0,0,51,0,3,1,2,"Day1_3","R_qFoOVoxiVE36Oit","3","FM"
"9",0,4,7,1,0,0,33,0,1,1,1,"Day1_3","R_2t9hP1EHO49dRIn","3","FM"
"10",1,3,6,0,0,0,79,0,1,1,0,"Day1_3","R_W0yMXvnGX8kB2vv","3","FM"
"11",0,1,1,0,1,0,77,0,4,0,1,"Day1_3","R_117vLOiUxzuOXtO","3","FM"
"12",0,1,2,0,1,0,72,0,1,0,2,"Day1_3","R_T63eEB6YJQEECNb","3","FM"
"13",0,1,1,0,0,1,53,0,4,0,0,"Day1_3","R_PFpVOSL7PWIyeLT","3","FM"
"14",1,4,7,0,0,1,55,0,1,1,0,"Day1_3","R_2dRACJ1pnLYp1ZW","3","FM"
"15",1,4,7,0,0,1,45,0,3,0,2,"Day1_3","R_2zuo2BubX0I2Dop","3","FM"
"16",0,2,2,1,0,0,68,0,1,0,0,"Day1_3","R_1ohegLd4hbQxR6t","3","FM"
"17",0,1,1,0,1,0,59,0,3,0,2,"Day1_3","R_2eQ27RRUZIvMF7W","3","FM"
"18",1,4,7,0,1,0,67,0,2,0,0,"Day1_3","R_25QiZBkRkxxKTDL","3","FM"
"19",0,3,5,0,0,1,70,0,1,0,1,"Day1_3","R_3rPauB5asCv7jn2","3","FM"
"20",1,3,6,0,0,0,48,0,4,1,2,"Day1_3","R_3jTBi4lwGdIOAr1","3","FM"
"21",1,3,7,0,1,0,45,0,5,1,2,"Day1_3","R_3MxoUnsgthVTY7l","3","FM"
"22",0,3,4,0,1,0,65,0,3,1,3,"Day1_3","R_8J15bGnVGmbLjrP","3","FM"
"23",0,2,4,1,0,0,30,0,1,0,0,"Day1_3","R_2YLLU7UwOqHIaTx","3","FM"
"24",1,4,7,1,0,0,71,0,1,1,0,"Day1_3","R_6MfRBOg1Tlabrln","3","FM"
"25",0,4,7,0,0,0,46,0,1,0,0,"Day1_3","R_2tKiN9XwI7W80eS","3","FM"
"26",1,3,5,0,0,0,79,0,2,0,1,"Day1_3","R_2zijJdGPbqdzzRp","3","FM"
"27",0,2,1,0,0,0,34,0,1,1,1,"Day1_3","R_276WRalqWyZ5Mu5","3","FM"
"28",0,2,3,0,1,0,81,0,3,0,1,"Day1_3","R_qOuuPaSpGQvC3lv","3","FM"
"29",0,1,2,0,0,1,69,0,1,0,0,"Day1_3","R_2sU7Fa6ofqsT0Rf","3","FM"
"30",0,2,4,0,0,0,75,0,3,0,1,"Day1_3","R_12ajWAhHBCKiMi9","3","FM"
"31",0,1,1,0,0,1,62,0,1,0,0,"Day1_3","R_11daRPlYXwBpgfy","3","FM"
"32",0,2,3,0,0,1,36,0,2,0,1,"Day1_3","R_1JRBaDtLrbv7WEs","3","FM"
"33",0,3,4,1,0,0,74,0,1,0,1,"Day1_3","R_23TPvfuLuK1fyZC","3","FM"
"34",0,1,1,0,0,0,78,0,1,1,1,"Day1_3","R_3JgYKz6t1rMqnGz","3","FM"
"35",0,3,4,0,0,1,67,0,1,0,1,"Day1_3","R_3hsCqhpMC7psxOX","3","FM"
"36",0,3,4,0,0,1,42,0,3,1,2,"Day1_3","R_1IQJfkbxsJnMzuM","3","FM"
"37",0,2,4,0,1,0,43,0,1,1,0,"Day1_3","R_3fpD0xa7PZZCWdv","3","FM"
"38",0,1,1,1,0,0,81,0,4,1,3,"Day1_3","R_3efcACZZxO1Tycc","3","FM"
"39",0,2,2,1,0,0,34,0,2,1,0,"Day1_3","R_2frZNzwUURFpIyM","3","FM"
"40",1,3,7,0,0,0,35,0,2,0,0,"Day1_3","R_1QxTORZHBrV4cZi","3","FM"
"41",1,4,6,0,0,0,90,0,1,0,0,"Day1_3","R_2CDRHm6lPvABN6E","3","FM"
"42",1,4,7,0,0,0,61,0,2,0,0,"Day1_3","R_vvLYj2pkDwoWKm5","3","FM"
"43",0,3,5,0,0,0,69,0,1,1,0,"Day1_3","R_Bso6hvqwmDtD6WB","3","FM"
"44",0,1,2,0,0,0,59,0,2,0,1,"Day1_3","R_20NBwd7Ic4PKIE7","3","FM"
"45",0,3,4,0,0,0,72,0,1,0,0,"Day1_3","R_2bKqbfc09vKZVIu","3","FM"
"46",0,3,5,0,0,1,36,0,3,1,1,"Day1_3","R_1DMCoupR5uJyztr","3","FM"
"47",0,3,4,0,0,0,73,0,1,1,0,"Day1_3","R_1gecLGfyenzMSLc","3","FM"
"48",0,1,1,0,0,1,68,0,1,0,0,"Day1_3","R_3j2jW5kkteGmPSt","3","FM"
"49",0,1,1,0,0,1,48,0,3,0,0,"Day1_3","R_DDiFfd4EpxKalqN","3","FM"
"50",0,2,4,1,0,0,92,0,3,0,0,"Day1_3","R_2UXaKjZHHOD1ROd","3","FM"
"51",1,4,6,0,0,0,61,0,1,0,0,"Day1_3","R_Q5sieUNlwVgZ2Jr","3","FM"
"52",0,2,3,0,0,1,38,0,4,1,1,"Day1_3","R_29uhlqoPm5BvICb","3","FM"
"53",0,1,1,0,1,0,60,0,1,0,0,"Day1_3","R_3iKIEnhl63ypt7C","3","FM"
"54",1,3,6,0,0,1,59,0,1,1,1,"Day1_3","R_3niM037BdoFmnFf","3","FM"
"55",1,3,5,0,0,0,75,0,1,0,0,"Day1_3","R_XppTRcn7Z0XVte1","3","FM"
"56",1,4,7,0,0,0,75,0,3,1,1,"Day1_3","R_1QcKAnXJIeGVz3Y","3","FM"
"57",0,3,4,0,1,0,51,0,1,1,0,"Day1_3","R_3L5b699Eno2DBXx","3","FM"
"58",1,4,7,0,1,0,25,0,4,0,3,"Day1_3","R_Y3mSVs8z0Peshtn","3","FM"
"59",0,2,3,0,1,0,47,0,3,0,2,"Day1_3","R_10GjHC4LxQaymnL","3","FM"
"60",0,2,3,1,0,0,29,0,4,0,1,"Day1_3","R_1eUDEORcXconZvo","3","FM"
"61",0,1,2,0,0,0,78,0,3,1,1,"Day1_3","R_3QPoHcuBJpMcJM2","3","FM"
"62",1,3,6,1,0,0,30,0,3,1,0,"Day1_3","R_3FUTRFXhZu6guQi","3","FM"
"63",0,3,5,0,0,0,27,0,3,0,1,"Day1_3","R_33xQsJ1or0ifqV9","3","FM"
"64",0,1,1,0,0,1,75,0,2,0,0,"Day1_3","R_1QoSVdx6dFJvvYm","3","FM"
"65",0,1,1,0,1,0,34,0,2,1,0,"Day1_3","R_qUz3f78bHpovVAZ","3","FM"
"66",1,3,3,0,0,1,59,0,1,0,0,"Day1_3","R_4OQ1t3w5C9gsld7","3","FM"
"67",1,4,7,0,0,1,35,0,4,1,2,"Day1_3","R_ZknyNqlKASTPIbf","3","FM"
"68",0,1,1,0,0,1,62,0,3,0,1,"Day1_3","R_zVg0pZYvbG7Cok9","3","FM"
"69",0,1,1,0,1,0,62,0,1,0,0,"Day1_3","R_1JLXj9boEzK5Cd4","3","FM"
"70",0,1,1,0,1,0,76,0,1,0,0,"Day1_3","R_2EbqskmJds8YDFb","3","FM"
