"","ResponseId","Ideology_Score"
"1","Response ID",0
"2","{""ImportId"":""_recordId""}",0
"3","R_300liKjhGgLV4aQ",0
"4","R_1flvk9czB0OMEWe",0
"5","R_3e5pdfOfBgOdpqs",0
"6","R_3Nxkhto7O04gcJ2",0
"7","R_1joztzisTTBjY4T",0
"8","R_2A0R00E6wfML7Rd",0
"9","R_3J3ocRCcklHDd3Y",0
"10","R_2YE3ZzedW6Usr7k",0
"11","R_9tdmwmnyXagJzZn",0
"12","R_307TwnQlG8PrnE1",0
"13","R_3rYYnATrN9m3nmv",0
"14","R_qKqG3JAhma6w1GN",0
"15","R_2QVOZE0L8HVMBb7",0
"16","R_55T0yMCcSK0mo4p",0
"17","R_xrsQzish00Fn3JT",0
"18","R_2PARaOd3IFNgnMC",0
"19","R_0lBwK1xMfGYj2bD",0
"20","R_3kn7QDoBBojdW6l",0
"21","R_x9m47vyNGwczGlr",0
"22","R_1dFwkzckMobqokQ",0
"23","R_3pmqzIlB7ACKvG4",0
"24","R_85KLXkJcxw8yMkV",0
"25","R_3NKdQwRNosCrPGm",0
"26","R_2YVTWvQm8ciUvBz",0
"27","R_TduuzdljmJpCzC1",0
"28","R_1HcwvOhGvzFW83F",0
"29","R_ymYhEbgfR1uVQZP",0
"30","R_2Qh1cYX3bgeeeDQ",0
"31","R_3P5XdRWzvFxjx4n",0
"32","R_3fqLEZpWs1QX2ac",0
"33","R_tFGT2HrsEWPsg93",0
"34","R_28SxwNE8Fh8isRv",0
"35","R_4UvfTQswcRHDstP",0
"36","R_1IZBDmrgm7P0VQp",0
"37","R_3jW0tvHblDL2JVq",0
"38","R_2rUAmPBkBJogtuS",0
"39","R_BJRs682XgNuYILf",0
"40","R_2yfQEfK7FqOcA0O",0
"41","R_ALjeOjk5PtGB05P",0
"42","R_29hlVnhP4YrBWTv",0
"43","R_3m1qw8zUD5PRka1",0
"44","R_2WSwXf7iraQLX1b",0
"45","R_2Sp2mV0DDCNYXlm",0
"46","R_Z4bAshJf3kSZdkZ",0
"47","R_dnx0QmgHGTAPn5D",0
"48","R_1g8wUvZvB31qIHm",0
"49","R_29Ux64ccT2FKNO1",0
"50","R_1LRxJ51doVqZxVZ",-2
"51","R_CagkcsQ5FgTtsIx",0
"52","R_20P77ook2XDdbF2",0
"53","R_3kbKH6MLutV0oZd",0
"54","R_DC8Ce3llCLQyWu5",0
"55","R_5q1SmBpLUnp8iOJ",0
"56","R_1IpijjFHbG4kkvb",2
"57","R_W2OcmFjEA1DAAYV",2
"58","R_2VqHtSeIt9BnYpP",0
"59","R_2QKz1TeMmHd2fZw",0
"60","R_3lLWLYZL7oU41AG",0
"61","R_3LiQrWdy9cFpUbx",2
"62","R_27Ws9zatkuPgpOy",0
"63","R_25SX0qeg6T3OYT4",-2
"64","R_8Igt60kLRO6ydXP",0
"65","R_3qpuC7zXDCnYteq",0
"66","R_3kjkbHN4mbdkZB1",0
"67","R_2qq4SweEXcjh3vg",0
"68","R_1isd7MYrvAh8Vw7",0
"69","R_1CvYsLM6FIlqdVz",0
"70","R_3K6I2f4Ci0vqYsF",0
"71","R_2cpDK12SW2RNRBv",3
"72","R_8ffDL2j0AEtahjz",0
"73","R_Xvb2Jq9G8lGOhjP",-2
"74","R_1rHeN1VReqnDFMo",0
"75","R_2PA3knfU79owp5D",0
"76","R_SVLtVGIsLxQKkA9",0
"77","R_3j1ir7JbQG319dL",0
"78","R_1pQjf5XhbvOsy7v",2
"79","R_2V9nn5b7lFnehBU",-1
"80","R_8AZPjdibqLPFJrX",0
"81","R_31jc0UsyQo2ZFHD",-1
"82","R_3j9z61chTgrEl3q",0
"83","R_1mkMwrVI0ZSPLOq",-3
