"","T_Dummy","Ordinal_4","Ordinal_7","Treatment_1","Treatment_2","Treatment_3","Age","Ideo_Congruence","Education_Score","Q_Gender","Income_Score","Article_day","ResponseId","Article_Num","Final_FC"
"1",0,2,4,0,0,0,50,0,1,0,1,"Day1_1","R_1oEV16iMAdX6tMC","1","True"
"2",0,2,2,0,1,0,75,0,3,1,1,"Day1_1","R_5chLzbWKFZbhtOF","1","True"
"3",0,3,4,0,0,1,35,0,1,0,0,"Day1_1","R_3es3cLll3Vl6v9E","1","True"
"4",0,2,3,1,0,0,38,0,2,0,0,"Day1_1","R_Utp33mK2ZYnYiNb","1","True"
"5",0,2,3,0,0,1,75,0,2,0,0,"Day1_1","R_1QoSVdx6dFJvvYm","1","True"
"6",1,4,7,1,0,0,75,0,1,1,1,"Day1_1","R_wRcyp1DSmwjZ2rD","1","True"
"7",0,2,2,0,0,0,81,0,1,0,0,"Day1_1","R_1rqym4B1sKzvv9C","1","True"
"8",1,1,4,0,0,1,46,0,3,0,1,"Day1_1","R_2SwVucazJO3Xa3L","1","True"
"9",0,3,4,1,0,0,30,0,1,0,0,"Day1_1","R_2YLLU7UwOqHIaTx","1","True"
"10",0,2,4,0,0,0,66,0,3,0,0,"Day1_1","R_3EyZu5XGLK9IG0h","1","True"
"11",0,2,4,0,0,1,57,0,1,0,0,"Day1_1","R_1KcGcHsDmlmUmaR","1","True"
"12",0,2,2,0,0,0,70,0,1,0,0,"Day1_1","R_3NIFdK8ehcL7sIe","1","True"
"13",0,2,4,0,0,0,74,0,4,1,1,"Day1_1","R_2XpOboWv4f9AdN9","1","True"
"14",0,3,5,0,0,0,73,0,1,1,0,"Day1_1","R_1mqFvAU4YiQlHA4","1","True"
"15",0,1,3,0,0,1,71,0,2,0,0,"Day1_1","R_1NrkzgaZeVayAQE","1","True"
"16",0,2,3,0,0,0,81,0,3,0,0,"Day1_1","R_1IAFLKlr66WRw6V","1","True"
"17",1,4,7,0,0,0,49,0,3,1,1,"Day1_1","R_1o5RwSlN3w5jEkT","1","True"
"18",1,3,6,0,0,0,68,0,2,0,1,"Day1_1","R_3oH1ru4p1WkvTyG","1","True"
"19",0,3,4,0,1,0,79,0,3,1,0,"Day1_1","R_1FywvuWTYiilPw8","1","True"
"20",0,3,5,0,1,0,35,0,3,0,1,"Day1_1","R_1QJWxFCDVjWEl4n","1","True"
"21",0,2,3,1,0,0,27,0,2,0,0,"Day1_1","R_1E42nKdZ8A2DlYk","1","True"
"22",0,2,4,0,1,0,43,0,1,1,0,"Day1_1","R_3fpD0xa7PZZCWdv","1","True"
"23",0,3,5,1,0,0,71,0,1,1,0,"Day1_1","R_279erVDGEqezsHY","1","True"
"24",0,3,4,1,0,0,38,0,2,0,1,"Day1_1","R_ONAPYd9HaobDuaB","1","True"
"25",0,3,4,0,0,0,40,0,3,0,1,"Day1_1","R_1ONopdDQdvHpfbT","1","True"
"26",1,4,6,1,0,0,23,0,1,0,0,"Day1_1","R_7OmwqheLdrW8cHD","1","True"
"27",0,3,4,0,0,1,78,0,3,1,2,"Day1_1","R_z8Cjg0CTEepMvpD","1","True"
"28",1,3,5,1,0,0,42,0,1,0,1,"Day1_1","R_31BGpVXWRIGpMek","1","True"
"29",0,3,4,0,0,1,86,0,3,0,0,"Day1_1","R_1pyUKEy0Fbyf2oS","1","True"
"30",1,3,4,0,1,0,97,0,2,0,0,"Day1_1","R_zSENiFYmV0tB1Yd","1","True"
"31",0,2,4,0,0,1,73,0,1,0,1,"Day1_1","R_5jpZFnx2VqPl3J7","1","True"
"32",1,4,7,0,0,1,22,0,1,0,1,"Day1_1","R_T6nOSTqfrGRAOv7","1","True"
"33",0,3,4,1,0,0,47,0,3,0,2,"Day1_1","R_1NgcWIfCmUt6gzE","1","True"
"34",1,4,6,0,0,1,44,0,3,0,2,"Day1_1","R_1er6sattZxTdSi5","1","True"
"35",1,3,5,1,0,0,54,0,3,1,3,"Day1_1","R_1kUrUtaV4ltn6Wf","1","True"
"36",0,3,4,1,0,0,70,0,1,0,0,"Day1_1","R_TpT9asbY1dqilz3","1","True"
"37",1,4,7,0,0,1,63,0,3,0,2,"Day1_1","R_eUKcx7LnYswChLb","1","True"
"38",0,3,5,0,0,0,50,0,3,0,2,"Day1_1","R_3I5eD9IMUxfeZUC","1","True"
"39",0,3,4,0,0,1,73,0,4,1,2,"Day1_1","R_3Empkys2fTQaFY6","1","True"
"40",1,3,5,0,0,1,69,0,3,1,1,"Day1_1","R_1IbB5cgPFU9Kepu","1","True"
"41",0,2,3,0,1,0,76,0,2,1,2,"Day1_1","R_2CNWu7hZGse1GcG","1","True"
"42",1,3,4,0,0,0,78,0,1,1,0,"Day1_1","R_xy1WdK1SzS3KRVv","1","True"
"43",1,3,6,0,1,0,43,0,1,0,0,"Day1_1","R_24GICpsXSK6674a","1","True"
"44",1,4,7,1,0,0,38,0,3,1,0,"Day1_1","R_z9hhFBTVGct80Lf","1","True"
