"","T_Dummy","Ordinal_4","Ordinal_7","Treatment_1","Treatment_2","Treatment_3","Age","Ideo_Congruence","Education_Score","Q_Gender","Income_Score","Article_day","ResponseId","Article_Num","Final_FC"
"1",0,2,3,0,1,0,43,0,1,1,0,"Day1_5","R_3fpD0xa7PZZCWdv","5","True"
"2",1,4,7,0,0,1,44,0,4,1,2,"Day1_5","R_2X1lvnQ4sfKUu6f","5","True"
"3",1,4,6,0,0,0,70,0,4,0,0,"Day1_5","R_1jP2MSaqpWQfM1a","5","True"
"4",1,4,7,1,0,0,47,0,4,0,1,"Day1_5","R_1Hizdjbh1JUDZDr","5","True"
"5",1,4,7,0,0,1,38,0,4,0,1,"Day1_5","R_2S2eOUqpXDR6Bfi","5","True"
"6",1,4,7,1,0,0,42,0,1,0,0,"Day1_5","R_2EsLtywAVEO2mXw","5","True"
"7",0,1,1,1,0,0,74,0,2,1,0,"Day1_5","R_1LZoKn0l7KAhHNm","5","True"
"8",0,3,4,0,0,0,34,0,0,0,0,"Day1_5","R_qWQFJUmz13h2Y93","5","True"
"9",1,4,7,1,0,0,74,0,4,0,0,"Day1_5","R_abpIm5oNGp88EA9","5","True"
"10",1,4,7,1,0,0,67,0,3,0,3,"Day1_5","R_1Lqg76yaJ00oqzr","5","True"
"11",1,4,7,0,0,0,74,0,5,1,1,"Day1_5","R_aXVP5zRu3VRFwdP","5","True"
"12",1,3,6,0,1,0,25,0,1,1,0,"Day1_5","R_xyDDOkvRzDIsZON","5","True"
"13",1,4,7,0,0,1,82,0,1,0,1,"Day1_5","R_1ClLpGkjJYJ0d5Z","5","True"
"14",1,4,7,1,0,0,38,0,3,1,1,"Day1_5","R_3qatXOUI1xqSWex","5","True"
"15",0,3,4,0,0,1,82,0,3,0,0,"Day1_5","R_29lSdBRNwNYygvv","5","True"
"16",1,4,7,1,0,0,33,0,1,0,1,"Day1_5","R_RFaVHhus9eVuDEl","5","True"
"17",0,2,4,0,0,1,38,0,1,0,0,"Day1_5","R_1jxePynihvkaJHo","5","True"
"18",0,3,3,0,0,0,70,0,3,1,1,"Day1_5","R_3e5kUdT43EG6SwN","5","True"
"19",1,4,7,0,0,1,52,0,3,1,0,"Day1_5","R_1l3vXMhLdnbmuXd","5","True"
"20",1,4,7,1,0,0,76,0,2,1,1,"Day1_5","R_RRDjtSujGHXy7cZ","5","True"
"21",0,1,1,0,0,1,51,0,1,1,0,"Day1_5","R_XLCawMVQpWckpB7","5","True"
"22",0,1,4,0,0,0,50,0,1,0,0,"Day1_5","R_2pVUckgLMyQSDTz","5","True"
"23",1,4,7,0,0,0,77,0,3,0,1,"Day1_5","R_27HvSBpVrlhBpto","5","True"
"24",1,3,5,0,0,1,48,0,1,0,0,"Day1_5","R_Au6gpq0WnI2Hj8Z","5","True"
"25",1,3,5,0,0,1,73,0,1,1,0,"Day1_5","R_ZEJeKXscMxdePXH","5","True"
"26",1,4,5,0,0,1,48,0,3,0,2,"Day1_5","R_3MlibKWLAWg0S9m","5","True"
"27",0,2,2,0,0,1,57,0,2,0,0,"Day1_5","R_2RaDOK5WXxthTM9","5","True"
"28",1,4,7,0,0,0,74,0,1,0,1,"Day1_5","R_2zPhDcc9BHfC66A","5","True"
"29",0,2,3,0,1,0,76,0,3,1,0,"Day1_5","R_dd9x2tSNuKbFZZv","5","True"
"30",0,2,4,0,1,0,72,0,2,0,0,"Day1_5","R_1FzVBrO2HVQSpx4","5","True"
"31",0,4,6,0,0,1,85,0,3,1,1,"Day1_5","R_ZxA1lzAfqADWsc9","5","True"
"32",1,4,7,0,1,0,49,0,4,1,3,"Day1_5","R_sdtXCI5h6M9Cach","5","True"
"33",0,2,4,0,0,0,79,0,1,1,0,"Day1_5","R_W0yMXvnGX8kB2vv","5","True"
"34",0,1,1,1,0,0,70,0,1,1,0,"Day1_5","R_3efURtfZYJoXDTg","5","True"
"35",1,4,6,1,0,0,66,0,4,0,3,"Day1_5","R_VKMnZjjNc4E7IeB","5","True"
"36",0,2,3,0,0,0,75,0,1,0,2,"Day1_5","R_3lzxBX5gx5eqgCn","5","True"
"37",1,4,7,0,1,0,46,0,4,1,3,"Day1_5","R_1OPLy1seOkMMO2R","5","True"
"38",1,3,4,0,0,0,78,0,1,1,0,"Day1_5","R_xy1WdK1SzS3KRVv","5","True"
"39",0,3,6,0,1,0,91,0,1,0,0,"Day1_5","R_3fj8ny2ha7b58YB","5","True"
"40",1,3,6,0,0,0,49,0,3,0,3,"Day1_5","R_cAaUaeKwCFgrLSF","5","True"
"41",1,4,7,0,1,0,73,0,2,0,3,"Day1_5","R_3J8Xab6waGw9eIG","5","True"
"42",0,3,3,0,1,0,48,0,3,0,0,"Day1_5","R_XnXUaWVMriHgdeV","5","True"
"43",1,4,7,0,1,0,79,0,3,1,1,"Day1_5","R_2scoIZJvjuVULKR","5","True"
"44",1,3,5,0,1,0,66,0,1,0,0,"Day1_5","R_2sSkY7E0yovWhFM","5","True"
"45",1,4,7,0,0,1,28,0,1,1,0,"Day1_5","R_1MPS1hmJGbT4NM0","5","True"
"46",0,3,4,0,1,0,84,0,1,0,0,"Day1_5","R_1F9sXIYIpPMclrv","5","True"
"47",0,3,4,0,0,1,78,0,1,0,0,"Day1_5","R_2950poamcNeJtS1","5","True"
"48",1,4,7,0,0,1,40,0,3,1,1,"Day1_5","R_3iwDCxCFOG0GfDt","5","True"
"49",0,3,4,0,1,0,61,0,2,0,0,"Day1_5","R_2rINduJcRkTBrRH","5","True"
"50",1,4,5,1,0,0,54,0,2,0,1,"Day1_5","R_UQF0LEReYw2EjCx","5","True"
"51",0,2,5,0,0,0,74,0,2,0,0,"Day1_5","R_vxxTUSPLj9muG9r","5","True"
"52",1,4,7,0,0,1,43,0,4,1,1,"Day1_5","R_1Q5e0KDWaY759c8","5","True"
"53",1,4,7,1,0,0,35,0,2,1,0,"Day1_5","R_2ZCCaAuBZOYGfge","5","True"
"54",0,3,4,0,0,1,72,0,3,1,2,"Day1_5","R_2akNaXCJTis817e","5","True"
"55",1,4,6,0,1,0,45,0,3,0,3,"Day1_5","R_30ppBRvoiG2ZaD0","5","True"
"56",1,4,7,0,0,0,50,0,3,0,2,"Day1_5","R_3I5eD9IMUxfeZUC","5","True"
"57",1,4,6,0,0,0,67,0,1,0,0,"Day1_5","R_pJyM79iUFSbTwHv","5","True"
"58",1,3,5,1,0,0,82,0,3,1,1,"Day1_5","R_31ZtVwXnF9OeaZu","5","True"
"59",0,1,1,0,0,1,40,0,2,1,1,"Day1_5","R_3Jg7XfkB76mkhT2","5","True"
"60",1,3,5,1,0,0,74,0,4,0,0,"Day1_5","R_337qSmgypDFhrPm","5","True"
"61",1,4,7,0,0,0,81,0,3,1,0,"Day1_5","R_1QbdMpUOm3B8uDh","5","True"
"62",1,4,7,0,0,0,51,0,1,0,0,"Day1_5","R_3fqLwG80lSjUuBn","5","True"
"63",1,4,7,0,0,0,61,0,3,0,1,"Day1_5","R_2PziTIft01RdayA","5","True"
"64",1,4,7,0,0,0,82,0,4,0,0,"Day1_5","R_qW93IhHQ3guRLMJ","5","True"
"65",0,1,1,0,0,0,46,0,1,0,0,"Day1_5","R_2tKiN9XwI7W80eS","5","True"
"66",0,4,7,1,0,0,21,0,1,0,2,"Day1_5","R_U9GnxzkYvDJEefT","5","True"
"67",0,2,4,0,0,0,61,0,2,0,0,"Day1_5","R_vvLYj2pkDwoWKm5","5","True"
"68",1,4,6,0,0,1,69,0,2,0,0,"Day1_5","R_4GEAi78F3RCs7y9","5","True"
"69",0,3,5,1,0,0,37,0,1,0,0,"Day1_5","R_6KDwO14ix8kvOWB","5","True"
"70",1,4,6,0,1,0,79,0,3,1,1,"Day1_5","R_2v7Ha3BkGK3u3Es","5","True"
"71",0,1,1,0,0,1,38,0,2,0,0,"Day1_5","R_2QT0kOGaQ9Ee3r8","5","True"
"72",1,3,7,1,0,0,47,0,3,0,1,"Day1_5","R_1r7lYOfIwlsDBSv","5","True"
"73",0,2,4,0,0,0,66,0,1,0,0,"Day1_5","R_UFQDRJOazkKlpjb","5","True"
"74",1,4,7,0,1,0,40,0,1,1,3,"Day1_5","R_2QFH2CJAXY47Rsl","5","True"
"75",1,4,5,0,0,0,90,0,1,0,0,"Day1_5","R_2CDRHm6lPvABN6E","5","True"
"76",0,3,4,0,1,0,36,0,3,0,0,"Day1_5","R_1OlhLhhJi0vu0ux","5","True"
"77",1,4,6,1,0,0,44,0,3,0,0,"Day1_5","R_1NELe9OgehYEV7w","5","True"
"78",1,4,7,1,0,0,76,0,4,0,3,"Day1_5","R_1DIP5NS5W8672Bu","5","True"
"79",0,4,5,0,0,0,62,0,2,0,0,"Day1_5","R_2RX6XbQNCMPjaov","5","True"
"80",1,3,5,1,0,0,36,0,4,0,2,"Day1_5","R_riO2dcvhlfWf7up","5","True"
"81",0,2,3,0,1,0,69,0,2,1,0,"Day1_5","R_2ToPiP9cidaLZAZ","5","True"
"82",1,4,6,0,0,1,40,0,3,1,3,"Day1_5","R_1JVASYt7sk78Qa9","5","True"
"83",1,4,7,0,0,0,37,0,2,0,1,"Day1_5","R_3kEU2yfZdcpR7ZF","5","True"
"84",1,4,7,0,0,1,82,0,4,0,1,"Day1_5","R_3FQ0AoKyer8ihNG","5","True"
"85",1,3,5,0,1,0,42,0,1,1,0,"Day1_5","R_2aOUT6goH0nx2lL","5","True"
"86",0,3,4,1,0,0,72,0,5,0,2,"Day1_5","R_3pgsl8cUdCGrRDg","5","True"
"87",1,4,7,0,1,0,55,0,0,0,0,"Day1_5","R_1Q4W46dApLdqr44","5","True"
"88",1,4,7,0,1,0,42,0,4,0,1,"Day1_5","R_qUXjXPsVNHJyw7L","5","True"
"89",1,4,7,0,1,0,73,0,3,1,0,"Day1_5","R_1gpikTgWOsDJGVw","5","True"
"90",0,2,5,1,0,0,61,0,2,0,1,"Day1_5","R_1iqvDSlGlkoFgnv","5","True"
"91",0,3,4,0,0,0,77,0,1,1,1,"Day1_5","R_x5EVFpkxjxJe1RD","5","True"
"92",1,4,7,1,0,0,42,0,1,0,1,"Day1_5","R_3eeRZqERO2S7w7h","5","True"
"93",1,4,6,0,0,0,78,0,3,1,1,"Day1_5","R_3QPoHcuBJpMcJM2","5","True"
"94",1,4,6,0,0,1,34,0,3,1,3,"Day1_5","R_tJwDrPbiJO4nHKF","5","True"
"95",1,3,4,0,0,1,81,0,5,0,2,"Day1_5","R_2bPEQ5B5TYuELHx","5","True"
"96",1,3,6,0,0,1,45,0,4,1,3,"Day1_5","R_33pS6PQ1ls7gJUq","5","True"
"97",1,3,5,0,0,1,63,0,3,1,1,"Day1_5","R_2AG4NlyzYV9v6wx","5","True"
"98",1,4,7,0,0,1,55,0,2,0,0,"Day1_5","R_1i9RCYNpBcR2Ri7","5","True"
"99",0,3,4,1,0,0,44,0,1,0,0,"Day1_5","R_3EtJ5evy9q27niE","5","True"
"100",1,3,5,0,1,0,28,0,3,1,1,"Day1_5","R_1lac7GWxVOsF8de","5","True"
"101",0,3,4,0,0,0,80,0,3,1,1,"Day1_5","R_1UnjNgFTfPWsIhj","5","True"
"102",1,3,6,0,0,0,73,0,1,1,1,"Day1_5","R_2TI4pIn6aMhO3Yz","5","True"
"103",0,3,4,0,0,1,72,0,2,0,0,"Day1_5","R_2fJXIcDZzrKrSXN","5","True"
"104",1,4,6,0,0,1,54,0,3,1,1,"Day1_5","R_2V2tZbBfRqsrMfv","5","True"
"105",1,4,7,1,0,0,55,0,1,1,1,"Day1_5","R_2c6Fy0VZEeCL4Gu","5","True"
"106",1,3,5,0,0,1,51,0,3,1,0,"Day1_5","R_2nUBljFi184V2nL","5","True"
"107",0,2,4,0,1,0,43,0,1,0,0,"Day1_5","R_24GICpsXSK6674a","5","True"
"108",0,2,3,0,0,1,26,0,2,0,0,"Day1_5","R_1F2llRz6YfZhyFY","5","True"
"109",0,3,4,1,0,0,48,0,1,1,1,"Day1_5","R_3Nyq1XGDZP9C1ir","5","True"
"110",0,3,5,1,0,0,74,0,2,1,1,"Day1_5","R_9ny2xiHwqeh6BhL","5","True"
"111",1,3,5,1,0,0,44,0,3,0,2,"Day1_5","R_12M8nnCLlf3OgNh","5","True"
"112",0,2,5,0,0,1,49,0,2,0,0,"Day1_5","R_2WA5NbAxzXciHvu","5","True"
"113",1,4,7,0,0,0,35,0,1,0,0,"Day1_5","R_2rjOvT3AABEA2DP","5","True"
"114",1,4,7,1,0,0,71,0,1,1,0,"Day1_5","R_6MfRBOg1Tlabrln","5","True"
"115",1,3,5,1,0,0,81,0,1,1,0,"Day1_5","R_2WB9UQ4tHRxS8T3","5","True"
"116",0,2,3,0,0,0,38,0,0,1,0,"Day1_5","R_2zdMLyBOM4Yyt17","5","True"
"117",1,3,6,0,0,0,60,0,3,0,0,"Day1_5","R_QoaRQGXPfFw3fWN","5","True"
