"","ResponseId","Day","Article_Num","Category","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_False","FC_True","FC_CND","Education_Score","Income_Score","Q_Ideology","Dig_Lit_Score","Ideology_Score","True_Dummy","Article_day","FC_Eval","Treatment"
"1","R_10pkUNEtcV6OMCU","Day_1","1","Coul",5,3,35,1,4,1,0,2,1,"Slightly Liberal",41,-1,0,"Day_1_1","FM",1
"2","R_11aKu0pnwMoF1XB","Day_1","3","Misl",3,2,56,0,3,0,2,2,1,"Extremely Liberal",53,-3,0,"Day_1_3","FM",1
"3","R_12u7hC5r2XVRlBD","Day_1","3","True",6,4,42,1,3,0,2,4,3,"Liberal",49,-2,1,"Day_1_3","FM",1
"4","R_1CpxCDhB1y1Fdps","Day_1","4","True",5,3,35,0,4,1,0,4,2,"Slightly Conservative",50,1,1,"Day_1_4","FM",1
"5","R_1Cr6QLqQcjGmEWV","Day_1","1","True",5,3,53,0,4,1,0,4,2,"Liberal",57,-2,1,"Day_1_1","FM",1
"6","R_1DFFHZYvfjimmAl","Day_1","5","True",7,4,36,0,0,5,0,4,3,"Liberal",57,-2,1,"Day_1_5","True",1
"7","R_1f9gtWqvqX7DD4y","Day_1","1","Misl",2,2,31,1,4,1,0,4,2,"Liberal",65,-2,0,"Day_1_1","FM",1
"8","R_1fjF8uhJM4Mkvek","Day_1","5","True",7,4,27,0,0,5,0,2,1,"Extremely Liberal",58,-3,1,"Day_1_5","True",1
"9","R_1Gv8iAs1HEqGuUe","Day_1","4","True",7,4,35,1,4,1,0,4,2,"Extremely Liberal",66,-3,1,"Day_1_4","FM",1
"10","R_1ia3Pcd1mcqX7ID","Day_1","5","True",6,4,42,1,0,5,0,5,3,"Liberal",45,-2,1,"Day_1_5","True",1
"11","R_1ILDrpPAAn0CdBx","Day_1","2","True",7,4,45,1,0,5,0,2,1,"Liberal",63,-2,1,"Day_1_2","True",1
"12","R_1Iowj4KY95icjDS","Day_1","5","True",7,4,33,0,0,5,0,4,1,"Moderate: Middle of the road",66,0,1,"Day_1_5","True",1
"13","R_1lbmIBPO0dpwTtU","Day_1","4","Misl",1,1,76,0,4,1,0,4,1,"Liberal",53,-2,0,"Day_1_4","FM",1
"14","R_1M650C4SP13LBzM","Day_1","2","True",6,4,28,1,0,5,0,4,2,"Moderate: Middle of the road",49,0,1,"Day_1_2","True",1
"15","R_1o4FTl5RChDyGzY","Day_1","1","Misl",2,1,58,0,4,1,0,5,2,"Liberal",64,-2,0,"Day_1_1","FM",1
"16","R_20M3irK9yP7zOGl","Day_1","4","Misl",3,2,29,0,4,1,0,4,1,"Liberal",64,-2,0,"Day_1_4","FM",1
"17","R_23TttM2XMS0oGth","Day_1","5","True",6,3,40,1,0,5,0,4,2,"Moderate: Middle of the road",57,0,1,"Day_1_5","True",1
"18","R_24d72uJHVnyQYtL","Day_1","1","True",6,4,67,0,4,1,0,3,2,"Liberal",42,-2,1,"Day_1_1","FM",1
"19","R_28LGm9yGG0Iqu3d","Day_1","4","Misl",1,1,41,1,4,1,0,2,2,"Slightly Liberal",62,-1,0,"Day_1_4","FM",1
"20","R_29bRUJw7avEFWPS","Day_1","1","True",7,3,44,1,4,1,0,2,1,"Conservative",44,2,1,"Day_1_1","FM",1
"21","R_2AWldDyzSgWa5Ti","Day_1","5","True",6,4,21,1,0,5,0,3,1,"Moderate: Middle of the road",46,0,1,"Day_1_5","True",1
"22","R_2CP0ViI1UUoKy8a","Day_1","2","True",6,4,39,1,0,5,0,4,1,"Slightly Conservative",47,1,1,"Day_1_2","True",1
"23","R_2D1ELT0pRLJHNh9","Day_1","3","True",6,4,34,0,3,0,2,4,2,"Extremely Liberal",59,-3,1,"Day_1_3","FM",1
"24","R_2dNoaZl9MnI4t0A","Day_1","5","True",7,4,33,1,0,5,0,3,2,"Extremely Liberal",64,-3,1,"Day_1_5","True",1
"25","R_2DUE1D5mL08oFSR","Day_1","5","True",7,4,55,1,0,5,0,4,3,"Liberal",54,-2,1,"Day_1_5","True",1
"26","R_2Eu812Bc6IVYhl8","Day_1","2","True",6,4,44,1,0,5,0,4,2,"Slightly Conservative",56,1,1,"Day_1_2","True",1
"27","R_2PpsctGRoIizGAS","Day_1","1","Misl",1,1,39,1,4,1,0,4,1,"Liberal",66,-2,0,"Day_1_1","FM",1
"28","R_2RP4ieLcvxMjWJz","Day_1","2","True",7,4,32,1,0,5,0,4,1,"Liberal",60,-2,1,"Day_1_2","True",1
"29","R_2w67UkK5xJ0YRY2","Day_1","3","Misl",2,2,26,1,3,0,2,2,2,"Slightly Liberal",63,-1,0,"Day_1_3","FM",1
"30","R_2y8dRM3TUWjSPIo","Day_1","4","Misl",1,1,20,0,4,1,0,2,4,"Liberal",49,-2,0,"Day_1_4","FM",1
"31","R_2zwiC5XznI1GQNC","Day_1","4","True",7,4,61,1,4,1,0,2,1,"Moderate: Middle of the road",47,0,1,"Day_1_4","FM",1
"32","R_31BoFE303TrI20I","Day_1","1","True",5,3,33,1,4,1,0,3,3,"Extremely Conservative",64,3,1,"Day_1_1","FM",1
"33","R_339mYCdr4LLvelb","Day_1","2","True",7,4,37,1,0,5,0,4,2,"Liberal",52,-2,1,"Day_1_2","True",1
"34","R_3GoZZFWEtYePuGA","Day_1","3","True",6,4,37,0,3,0,2,3,1,"Conservative",58,2,1,"Day_1_3","FM",1
"35","R_3hfIgiMxT4QVOM6","Day_1","2","True",6,4,51,0,0,5,0,4,1,"Moderate: Middle of the road",62,0,1,"Day_1_2","True",1
"36","R_3Hk79B6qEfqWKaD","Day_1","4","Misl",6,3,54,0,4,1,0,3,1,"Slightly Liberal",55,-1,0,"Day_1_4","FM",1
"37","R_3JfnfLnikoja6E7","Day_1","2","True",6,3,38,1,0,5,0,2,2,"Slightly Liberal",53,-1,1,"Day_1_2","True",1
"38","R_3jUIXOwW8rtLv6O","Day_1","5","True",7,4,38,1,0,5,0,4,1,"Liberal",47,-2,1,"Day_1_5","True",1
"39","R_3KT6q7Vntwvmg8Z","Day_1","1","True",7,3,33,1,4,1,0,5,2,"Slightly Conservative",51,1,1,"Day_1_1","FM",1
"40","R_3LXaF7Z7z740d2k","Day_1","3","Misl",2,2,26,1,3,0,2,2,1,"Moderate: Middle of the road",57,0,0,"Day_1_3","FM",1
"41","R_3MycWKTJGEI3fkc","Day_1","5","True",7,4,44,1,0,5,0,2,1,"Extremely Liberal",66,-3,1,"Day_1_5","True",1
"42","R_3n78jZ6Hp7o3yov","Day_1","1","Coul",4,2,30,0,4,1,0,5,2,"Extremely Liberal",53,-3,0,"Day_1_1","FM",1
"43","R_3PhjRWT2oK9dOnT","Day_1","5","True",7,4,35,1,0,5,0,4,2,"Slightly Liberal",57,-1,1,"Day_1_5","True",1
"44","R_3rNwNy8LbfAkgSp","Day_1","1","Coul",4,3,29,1,4,1,0,4,2,"Moderate: Middle of the road",50,0,0,"Day_1_1","FM",1
"45","R_3yN8a8E0y6lUIqB","Day_1","4","Misl",1,1,39,0,4,1,0,2,1,"Liberal",64,-2,0,"Day_1_4","FM",1
"46","R_5ovNt0RyjDe4zhD","Day_1","2","True",5,3,37,1,0,5,0,5,2,"Conservative",50,2,1,"Day_1_2","True",1
"47","R_6DmNQwfWiHVl65r","Day_1","1","Coul",5,3,71,0,4,1,0,3,1,"Extremely Conservative",40,3,0,"Day_1_1","FM",1
"48","R_6gSAhAKCKeijlQZ","Day_1","2","True",6,4,39,0,0,5,0,2,2,"Liberal",50,-2,1,"Day_1_2","True",1
"49","R_6nuIDDUiCc5XdIt","Day_1","3","True",7,4,53,0,3,0,2,3,1,"Moderate: Middle of the road",54,0,1,"Day_1_3","FM",1
"50","R_7QHn8x3eLhtGWTn","Day_1","3","Misl",3,3,33,1,3,0,2,4,2,"Slightly Conservative",57,1,0,"Day_1_3","FM",1
"51","R_9HwEYi8riTtKTW9","Day_1","3","True",7,4,28,1,3,0,2,2,2,"Extremely Conservative",51,3,1,"Day_1_3","FM",1
"52","R_9XKvVtMFjqSITeN","Day_1","4","Misl",4,3,36,0,4,1,0,3,2,"Moderate: Middle of the road",52,0,0,"Day_1_4","FM",1
"53","R_bqJ3HoBP0lqi7CN","Day_1","4","True",5,3,30,0,4,1,0,4,1,"Slightly Conservative",65,1,1,"Day_1_4","FM",1
"54","R_cUtE2g9RhTXd2Gl","Day_1","1","True",3,3,32,1,4,1,0,4,2,"Liberal",32,-2,1,"Day_1_1","FM",1
"55","R_ekCSZIaDtRtLlaV","Day_1","1","Misl",2,1,55,0,4,1,0,5,2,"Conservative",50,2,0,"Day_1_1","FM",1
"56","R_ONBQ9F4K4eiEEff","Day_1","1","True",7,4,33,0,4,1,0,2,2,"Conservative",55,2,1,"Day_1_1","FM",1
"57","R_pKKq0lDl8CMtWb7","Day_1","1","Misl",4,2,33,0,4,1,0,4,2,"Conservative",41,2,0,"Day_1_1","FM",1
"58","R_PNwajSELAD6DGZX","Day_1","5","True",5,4,34,0,0,5,0,3,1,"Slightly Liberal",59,-1,1,"Day_1_5","True",1
"59","R_Wie14Y6yLeam4mt","Day_1","3","Misl",6,2,33,0,3,0,2,4,2,"Liberal",59,-2,0,"Day_1_3","FM",1
"60","R_xFbsJFVOxgmNrEZ","Day_1","4","True",5,4,31,1,4,1,0,4,1,"Liberal",48,-2,1,"Day_1_4","FM",1
"61","R_XilsxctsD6UhvsR","Day_1","4","True",7,4,37,0,4,1,0,5,2,"Extremely Liberal",61,-3,1,"Day_1_4","FM",1
"62","R_Xj4sI7wBqGSbsC5","Day_1","5","True",7,4,48,1,0,5,0,4,3,"Conservative",52,2,1,"Day_1_5","True",1
"63","R_XSwBTXOS8VVvbEt","Day_1","3","Coul",4,2,37,1,3,0,2,2,1,"Moderate: Middle of the road",62,0,0,"Day_1_3","FM",1
"64","R_yx69bWSwS7KJTDb","Day_1","1","Misl",3,2,25,1,4,1,0,5,1,"Slightly Conservative",40,1,0,"Day_1_1","FM",1
"65","R_1Cj5aD3DeplrphD","Day_2","4","True",6,3,24,0,0,5,0,4,3,"Extremely Liberal",35,-3,1,"Day_2_4","True",1
"66","R_1CvhikLP9b0BabF","Day_2","1","Misl",2,2,78,1,0,3,2,5,1,"Liberal",63,-2,0,"Day_2_1","True",1
"67","R_1DT3Z2M9eYLz8EA","Day_2","3","True",6,3,34,0,0,5,0,2,1,"Extremely Conservative",39,3,1,"Day_2_3","True",1
"68","R_1fk3ExEYy98Dd5W","Day_2","4","True",7,4,49,0,0,5,0,2,1,"Moderate: Middle of the road",64,0,1,"Day_2_4","True",1
"69","R_1Fx1FS7pNIi2tM0","Day_2","5","True",7,4,28,0,0,5,0,4,2,"Extremely Liberal",61,-3,1,"Day_2_5","True",1
"70","R_1gdA9KHqlU0feQe","Day_2","2","True",6,4,38,0,1,2,2,5,4,"Slightly Conservative",50,1,1,"Day_2_2","No Mode",1
"71","R_1gqmetqopOvHTrs","Day_2","1","True",7,4,24,0,0,3,2,5,2,"Liberal",39,-2,1,"Day_2_1","True",1
"72","R_1i2Uvli3z2hveS0","Day_2","3","True",6,4,51,1,0,5,0,2,3,"Conservative",57,2,1,"Day_2_3","True",1
"73","R_1jTwujkDJcWOuJ9","Day_2","3","True",6,4,30,0,0,5,0,2,1,"Slightly Liberal",42,-1,1,"Day_2_3","True",1
"74","R_1Kj0mB7e9PCtQX3","Day_2","4","Misl",4,3,23,0,0,5,0,4,2,"Liberal",48,-2,0,"Day_2_4","True",1
"75","R_1kUlPx0wPT4a318","Day_2","5","Misl",2,2,33,0,0,5,0,2,2,"Liberal",46,-2,0,"Day_2_5","True",1
"76","R_1LILFPxJgeTHEjN","Day_2","5","True",7,4,24,0,0,5,0,4,1,"Moderate: Middle of the road",51,0,1,"Day_2_5","True",1
"77","R_1NemMqPXtrSyVNA","Day_2","3","True",5,3,46,0,0,5,0,3,1,"Extremely Conservative",66,3,1,"Day_2_3","True",1
"78","R_1oGE2EZlwEJ5j3C","Day_2","4","True",7,4,50,1,0,5,0,5,2,"Slightly Conservative",47,1,1,"Day_2_4","True",1
"79","R_1OjDqsL2fvTS69j","Day_2","1","True",7,4,32,1,0,3,2,2,2,"Moderate: Middle of the road",65,0,1,"Day_2_1","True",1
"80","R_1Om5ZzGMhQrEzrH","Day_2","4","True",7,4,34,0,0,5,0,4,2,"Extremely Conservative",56,3,1,"Day_2_4","True",1
"81","R_1omTJuin6jHMofe","Day_2","4","True",5,3,30,0,0,5,0,2,2,"Slightly Conservative",51,1,1,"Day_2_4","True",1
"82","R_1onfSS7KfVeslc4","Day_2","1","True",5,3,32,0,0,3,2,5,2,"Liberal",49,-2,1,"Day_2_1","True",1
"83","R_1opr0g18stv7lnc","Day_2","1","True",7,4,38,0,0,3,2,5,3,"Moderate: Middle of the road",55,0,1,"Day_2_1","True",1
"84","R_1OuvYQcWMWhNkWb","Day_2","3","Misl",4,3,26,1,0,5,0,4,2,"Moderate: Middle of the road",62,0,0,"Day_2_3","True",1
"85","R_1pLhDXrhjzjv5ri","Day_2","3","True",7,4,35,1,0,5,0,4,1,"Extremely Liberal",52,-3,1,"Day_2_3","True",1
"86","R_1r7cR30Xtht5cE3","Day_2","4","True",7,4,28,1,0,5,0,4,3,"Moderate: Middle of the road",47,0,1,"Day_2_4","True",1
"87","R_20lE0jJypRbEHMl","Day_2","1","True",6,4,40,1,0,3,2,5,4,"Conservative",60,2,1,"Day_2_1","True",1
"88","R_2aeJ77AX8SGMlee","Day_2","3","True",4,3,30,0,0,5,0,5,3,"Liberal",60,-2,1,"Day_2_3","True",1
"89","R_2AGOMczWkpXdIuv","Day_2","3","Misl",3,2,25,1,0,5,0,4,1,"Liberal",53,-2,0,"Day_2_3","True",1
"90","R_2aY1PQBOu1TjQkh","Day_2","3","True",7,4,25,1,0,5,0,4,1,"Liberal",58,-2,1,"Day_2_3","True",1
"91","R_2bJFrRvDIEYqXmV","Day_2","2","True",6,4,54,0,1,2,2,4,2,"Conservative",59,2,1,"Day_2_2","No Mode",1
"92","R_2bNTayyvcTyhWs9","Day_2","1","True",6,4,30,0,0,3,2,2,1,"Haven't thought much about it",61,0,1,"Day_2_1","True",1
"93","R_2cjeT6tVBH5nS0p","Day_2","4","True",7,4,62,0,0,5,0,5,2,"Slightly Conservative",59,1,1,"Day_2_4","True",1
"94","R_2Cku34Y51gF59JO","Day_2","5","True",7,4,30,1,0,5,0,4,4,"Extremely Liberal",66,-3,1,"Day_2_5","True",1
"95","R_2CNiYAIzRBoP2YU","Day_2","1","True",6,4,49,1,0,3,2,4,1,"Liberal",37,-2,1,"Day_2_1","True",1
"96","R_2DOA72g9p5XtHdL","Day_2","4","True",5,3,30,0,0,5,0,4,2,"Extremely Liberal",49,-3,1,"Day_2_4","True",1
"97","R_2f7m2zeNOv6FYZb","Day_2","2","True",7,4,55,1,1,2,2,5,4,"Liberal",66,-2,1,"Day_2_2","No Mode",1
"98","R_2fE6FNom8DE1qg9","Day_2","4","Coul",3,2,26,0,0,5,0,4,2,"Extremely Liberal",32,-3,0,"Day_2_4","True",1
"99","R_2lgNTFGh3T1RjXj","Day_2","3","True",7,4,48,0,0,5,0,3,2,"Conservative",50,2,1,"Day_2_3","True",1
"100","R_2rjP0bogMm4reXy","Day_2","4","True",7,4,46,1,0,5,0,5,3,"Moderate: Middle of the road",64,0,1,"Day_2_4","True",1
"101","R_2rUQt9FZNUc5emd","Day_2","4","True",7,4,50,1,0,5,0,3,1,"Extremely Liberal",59,-3,1,"Day_2_4","True",1
"102","R_2s0ypB7FWIPyXXz","Day_2","1","True",7,4,57,1,0,3,2,1,1,"Extremely Liberal",66,-3,1,"Day_2_1","True",1
"103","R_2s4rmMJg4bynpHr","Day_2","5","True",5,3,33,0,0,5,0,2,2,"Slightly Liberal",42,-1,1,"Day_2_5","True",1
"104","R_2SkKkDSlE3dzhsl","Day_2","2","True",5,3,36,0,1,2,2,3,3,"Slightly Conservative",53,1,1,"Day_2_2","No Mode",1
"105","R_2uTzn88sGYQ8xaG","Day_2","4","Coul",4,3,39,1,0,5,0,3,2,"Moderate: Middle of the road",54,0,0,"Day_2_4","True",1
"106","R_2V8TRsWlzoUJk46","Day_2","4","True",6,4,56,1,0,5,0,3,1,"Moderate: Middle of the road",45,0,1,"Day_2_4","True",1
"107","R_2WHyX9imlk9gHdK","Day_2","5","True",7,4,43,1,0,5,0,2,2,"Extremely Liberal",61,-3,1,"Day_2_5","True",1
"108","R_2wi3DfP8avDjFMs","Day_2","5","True",7,4,26,0,0,5,0,4,2,"Slightly Liberal",65,-1,1,"Day_2_5","True",1
"109","R_2wLa23pXyAGRHke","Day_2","2","True",5,3,38,1,1,2,2,4,2,"Slightly Liberal",60,-1,1,"Day_2_2","No Mode",1
"110","R_2Wv4LjXvIU9TLYr","Day_2","3","True",5,4,23,0,0,5,0,2,2,"Liberal",52,-2,1,"Day_2_3","True",1
"111","R_2Y3q0elXezfzBmd","Day_2","2","Coul",7,1,62,1,1,2,2,3,2,"Extremely Liberal",62,-3,0,"Day_2_2","No Mode",1
"112","R_2ygt9tUdlraHmZX","Day_2","4","True",5,3,37,0,0,5,0,3,1,"Moderate: Middle of the road",46,0,1,"Day_2_4","True",1
"113","R_2ylPedm36LhrZgn","Day_2","2","True",5,4,27,0,1,2,2,5,1,"Extremely Liberal",45,-3,1,"Day_2_2","No Mode",1
"114","R_2ZIapulYBGqBq3t","Day_2","4","True",6,4,27,1,0,5,0,2,1,"Moderate: Middle of the road",65,0,1,"Day_2_4","True",1
"115","R_31nF3nQOR3YRlNh","Day_2","1","Misl",5,3,43,0,0,3,2,4,2,"Slightly Conservative",48,1,0,"Day_2_1","True",1
"116","R_31T0X2XWVXxmKBZ","Day_2","3","Misl",4,2,26,0,0,5,0,4,2,"Conservative",65,2,0,"Day_2_3","True",1
"117","R_33anZHkz2WkkjH4","Day_2","2","True",6,4,35,0,1,2,2,5,2,"Extremely Liberal",58,-3,1,"Day_2_2","No Mode",1
"118","R_3CPA7SnlMPCdDEp","Day_2","1","True",5,3,49,0,0,3,2,2,2,"Conservative",43,2,1,"Day_2_1","True",1
"119","R_3EVTjsbULziKrAE","Day_2","4","True",6,4,33,0,0,5,0,3,2,"Slightly Conservative",47,1,1,"Day_2_4","True",1
"120","R_3FJNMSHgucjEFrB","Day_2","5","True",6,4,43,1,0,5,0,2,1,"Moderate: Middle of the road",66,0,1,"Day_2_5","True",1
"121","R_3fT4sRw2qoaLvQ3","Day_2","1","True",6,3,33,0,0,3,2,4,3,"Slightly Conservative",60,1,1,"Day_2_1","True",1
"122","R_3FV8Lpk7xFqMu8Q","Day_2","2","True",4,3,24,0,1,2,2,4,3,"Liberal",57,-2,1,"Day_2_2","No Mode",1
"123","R_3g17B38hKlUkya7","Day_2","3","True",7,4,28,0,0,5,0,4,4,"Extremely Liberal",54,-3,1,"Day_2_3","True",1
"124","R_3Gq702q8P8g1Yav","Day_2","3","True",7,4,39,1,0,5,0,6,3,"Liberal",41,-2,1,"Day_2_3","True",1
"125","R_3gUTYLxEuI90E13","Day_2","3","True",6,3,68,0,0,5,0,3,2,"Conservative",62,2,1,"Day_2_3","True",1
"126","R_3gXeaHxIlFRKL2I","Day_2","3","True",5,4,35,0,0,5,0,4,2,"Conservative",44,2,1,"Day_2_3","True",1
"127","R_3JkNREhr4Z56QZF","Day_2","1","True",7,4,31,1,0,3,2,5,2,"Liberal",45,-2,1,"Day_2_1","True",1
