,date,article_type,article_number,mode,robust_mode,FC1,FC2,FC3,FC4,FC5,FC6,FC1_likert,FC2_likert,FC3_likert,FC4_likert,FC5_likert,FC6_likert
0,May 28,1,200,FM,True,f,f,f,c,f,c,2,2,3,3,2,2
1,May 28,2,201,FM,True,c,t,f,f,f,f,3,5,3,2,1,2
2,May 28,3,202,FM,True,f,t,f,t,f,f,4,5,5,6,4,3
3,May 28,4,203,T,True,t,t,t,t,t,t,7,6,7,6,6,7
4,May 28,5,204,T,True,t,t,t,t,t,t,7,6,7,7,7,7
5,Jun 1,1,205,FM,True,f,f,f,t,f,t,3,5,5,5,5,6
6,Jun 1,2,206,CND,,c,f,c,c,c,f,4,4,4,4,6,2
7,Jun 1,3,207,FM,True,f,f,f,t,f,f,1,3,2,3,1,2
8,Jun 1,4,208,T,True,t,t,t,t,t,t,6,6,5,6,7,6
9,Jun 1,5,209,T,True,t,t,t,c,t,t,6,7,6,5,7,6
10,Jun 3,1,210,FM,True,f,f,f,f,f,t,3,4,1,4,4,6
11,Jun 3,2,211,T,True,c,t,t,t,f,t,5,6,6,4,5,7
12,Jun 3,3,212,FM,True,c,f,f,c,f,f,2,4,1,2,3,1
13,Jun 3,4,213,T,False,f,t,t,t,c,f,4,6,6,6,4,1
14,Jun 3,5,214,T,True,t,t,t,t,t,t,6,7,6,7,6,7
15,Jun 8,1,215,FM,True,f,f,t,f,f,f,5,2,4,2,2,1
16,Jun 8,2,216,No Mode!,,f,t,f,t,t,f,5,6,1,6,5,2
17,Jun 8,3,217,FM,True,f,f,f,f,f,f,2,1,1,1,1,1
18,Jun 8,4,218,T,True,t,c,t,t,t,t,6,6,6,7,4,6
19,Jun 8,5,219,T,True,t,t,t,t,t,t,7,7,6,7,6,7
20,Jun 10,1,220,FM,True,f,f,f,t,f,f,4,5,3,4,3,1
21,Jun 10,2,221,T,True,t,t,t,f,t,t,6,5,5,5,7,6
22,Jun 10,3,222,FM,True,c,f,f,f,f,f,3,5,2,2,2,2
23,Jun 10,4,223,T,True,t,t,t,t,t,f,6,7,6,5,7,2
24,Jun 10,5,224,T,True,t,t,c,t,t,t,7,7,4,5,7,6
25,Jun 15,1,225,T,True,t,t,t,t,t,,2,6,5,6,6,
26,Jun 15,2,226,T,True,t,t,t,t,t,,5,6,5,7,5,
27,Jun 15,3,227,FM,True,f,f,f,t,c,,2,6,3,7,3,
28,Jun 15,4,228,T,True,t,t,t,t,t,,5,7,4,6,6,
29,Jun 15,5,229,T,True,t,t,t,t,t,,7,6,5,7,6,
30,Jun 17,1,230,T,False,f,t,t,t,f,,4,6,5,6,2,
31,Jun 17,2,231,T,True,t,t,t,t,t,,5,6,5,7,6,
32,Jun 17,3,232,T,True,c,t,f,t,t,,4,6,5,6,5,
33,Jun 17,4,233,T,True,t,t,t,t,t,,5,7,6,7,6,
34,Jun 17,5,234,T,True,t,t,t,t,t,,6,6,5,7,6,
35,Jun 22,1,235,T,True,t,t,t,t,f,c,6,6,5,5,2,4
36,Jun 22,2,236,T,True,t,t,t,t,f,t,7,6,6,5,1,5
37,Jun 22,3,237,FM,True,f,c,f,f,f,f,1,3,1,1,1,1
38,Jun 22,4,238,T,True,t,t,t,t,t,t,7,6,6,6,6,4
39,Jun 22,5,239,T,True,t,t,t,t,t,c,7,7,7,6,6,4
