,Response_id,Article_day
0,R_Ck0LOwrXY9BBpLz,Day_1_2
1,R_Ck0LOwrXY9BBpLz,Day_1_2
2,R_Ck0LOwrXY9BBpLz,Day_1_2
3,R_Ck0LOwrXY9BBpLz,Day_1_2
4,R_Ck0LOwrXY9BBpLz,Day_1_2
5,R_Ck0LOwrXY9BBpLz,Day_1_2
6,R_Ck0LOwrXY9BBpLz,Day_1_5
7,R_Ck0LOwrXY9BBpLz,Day_1_3
8,R_1pFr2EgT5XEN885,Day_1_1
9,R_1pFr2EgT5XEN885,Day_1_3
10,R_1pFr2EgT5XEN885,Day_1_4
11,R_12i5eDf0NB2NI5K,Day_1_1
12,R_12i5eDf0NB2NI5K,Day_1_4
13,R_12i5eDf0NB2NI5K,Day_1_5
14,R_rcFF25UIWNrCLEB,Day_1_3
15,R_rcFF25UIWNrCLEB,Day_1_5
16,R_rcFF25UIWNrCLEB,Day_1_2
17,R_rcFF25UIWNrCLEB,Day_1_2
18,R_rcFF25UIWNrCLEB,Day_1_2
19,R_22t2HIeTMqiaiCa,Day_1_2
20,R_22t2HIeTMqiaiCa,Day_1_2
21,R_22t2HIeTMqiaiCa,Day_1_2
22,R_22t2HIeTMqiaiCa,Day_1_2
23,R_22t2HIeTMqiaiCa,Day_1_2
24,R_22t2HIeTMqiaiCa,Day_1_2
25,R_22t2HIeTMqiaiCa,Day_1_1
26,R_22t2HIeTMqiaiCa,Day_1_4
27,R_22KXG1ASfl9xfEz,Day_1_5
28,R_22KXG1ASfl9xfEz,Day_1_5
29,R_22KXG1ASfl9xfEz,Day_1_2
30,R_22KXG1ASfl9xfEz,Day_1_3
31,R_22KXG1ASfl9xfEz,Day_1_3
32,R_velIFfia1bfFV8l,Day_1_5
33,R_velIFfia1bfFV8l,Day_1_3
34,R_velIFfia1bfFV8l,Day_1_2
35,R_velIFfia1bfFV8l,Day_1_2
36,R_velIFfia1bfFV8l,Day_1_2
37,R_1EgtX4AKhOHU7SY,Day_1_2
38,R_1EgtX4AKhOHU7SY,Day_1_2
39,R_1EgtX4AKhOHU7SY,Day_1_2
40,R_1EgtX4AKhOHU7SY,Day_1_3
41,R_1EgtX4AKhOHU7SY,Day_1_5
42,R_3dVS8YYhX51iWDb,Day_1_4
43,R_3dVS8YYhX51iWDb,Day_1_2
44,R_3dVS8YYhX51iWDb,Day_1_2
45,R_3dVS8YYhX51iWDb,Day_1_2
46,R_1mJc44O1JoTUv3O,Day_1_3
47,R_1mJc44O1JoTUv3O,Day_1_5
48,R_1mJc44O1JoTUv3O,Day_1_4
49,R_2sUe8vdpMzWQ6V4,Day_1_2
50,R_2sUe8vdpMzWQ6V4,Day_1_2
51,R_2sUe8vdpMzWQ6V4,Day_1_2
52,R_2sUe8vdpMzWQ6V4,Day_1_5
