"","Article_day","Headline","Article_lean","average_cosine_similarity_liberals","average_cosine_similarity_conservatives","average_cosine_similarity_moderates","average_cosine_similarity_everyone","average_characters_in_search_query_liberals","average_characters_in_search_query_conservatives","average_characters_in_search_query_moderates","average_characters_in_search_query_everyone","most_popular_word_liberals","most_popular_word_conservatives","most_popular_word_moderates","most_popular_word_everyone","proportion_searches_with_popular_word_liberals","proportion_searches_with_popular_word_conservatives","proportion_searches_with_popular_word_moderates","proportion_searches_with_popular_word_everyone","most_popular_search_query_liberals","most_popular_search_query_conservatives","most_popular_search_query_moderates","most_popular_search_query_everyone","proportion_searches_with_popular_query_liberals","proportion_searches_with_popular_query_conservatives","proportion_searches_with_popular_query_moderates","proportion_searches_with_popular_query_everyone","total_num_searches_liberals","total_num_searches_conservatives","total_num_searches_moderates","total_num_searches_everyone"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Day_1_1","AZ State Senator Demands Biden Electors Be Recalled, New Election Be Held After Shocking Audit Revelations","Conservative","0.222787419466134","0.130255461829159","0.475308641975309","0.20360062375827","38.1304347826087","41","72.8333333333333","43.7173913043478","arizona | election","arizona","az | biden | demands | electors | senator | state","arizona","0.521739130434783","0.588235294117647","0.833333333333333","0.5","arizona election recount | arizona electors | arizona recount | az state senator calls for new election","az state senator","az state senator demands biden electors be recalled | az state senator demands biden electors be recalled%2c new election be held after shocking audit revelations","az state senator demands biden electors be recalled%2c new election be held after shocking audit revelations","0.0869565217391304","0.117647058823529","0.333333333333333","0.0652173913043478","23","17","6","46"
"3","Day_5_1","Enthusiasm for Trump's rally in Arizona dwarfs President Biden's town hall just days earlier","Conservative","0.250909505784037","0.299040724856727","0.503852169481336","0.262064295903068","43.2142857142857","53.3076923076923","30.8","44.3666666666667","biden","rally","biden","biden","0.642857142857143","0.846153846153846","1","0.6","president biden town hall july 25","enthusiasm for trump%27s rally in arizona dwarfs president biden%27s town hall just days earlier","joe biden empty town hall | joe biden why empty town hall","enthusiasm for trump%27s rally in arizona dwarfs president biden%27s town hall just days earlier | president biden town hall july 25","0.0952380952380952","0.153846153846154","0.4","0.0666666666666667","42","13","5","60"
"4","Day_6_1","Ashli Babbitt's Mom: Nancy Pelosi Orchestrated the Killing of My Daughter","Conservative","0.306822229195703","0.269287207624537","0.294817722972882","0.297724992638786","34.3333333333333","46.625","55.6","45.1052631578947","ashli","ashli","ashli","ashli","0.916666666666667","0.75","0.8","0.815789473684211","ashli babbits death  | ashli babbitt | ashli babbitt pelosi | ashli babbitt%27s mom | ashli babbitt%27s mom nancy pelosi | ashli babbitt%27s mom%3a nancy pelosi orchestrated the killing of my daughter | how did nancy pelosi cause ashli babbitts death | is nancy pelosi somehow responsible for the death of ashli babbitt | nancy pelosi ashli babbitt | who killed ashli babbitt | who killed ashli babbitt%3f | who rejected the national guard jan 6","ashli babbitt%27s mom%3a nancy pelosi orchestrated the killing of my daughter","ashli babbitt%27s mom blames pelosi for riot","ashli babbitt%27s mom%3a nancy pelosi orchestrated the killing of my daughter","0.0833333333333333","0.125","0.2","0.105263157894737","12","16","10","38"
"5","Day_11_1","Foreign News Media Laughs at Joe Biden: He 'Needs a Retirement Home and a Warm Bowl of Soup'","Conservative","0.285112223806556","0.252415862022007","0.266033131364934","0.260535884198593","33.2058823529412","54.1428571428571","41.0833333333333","42.4054054054054","biden","biden","biden","biden","0.823529411764706","0.714285714285714","0.916666666666667","0.797297297297297","rita panahi joe biden","foreign news media laughs at joe biden: he %27needs a retirement home and a warm bowl of soup%27","foreign media laughs at biden | foreign news media laughs at joe biden | foreign news media laughs at joe biden%3a he %27needs a retirement home and a warm bowl of soup%27","foreign news media laughs at joe biden%3a he %27needs a retirement home and a warm bowl of soup%27","0.147058823529412","0.142857142857143","0.166666666666667","0.0810810810810811","34","28","12","74"
"6","Day_12_1","Indictment shows it was Hillary who colluded with Russia","Conservative","0.284586282047673","0.255408641984879","0.309101008930346","0.284020726869086","31.4117647058824","40.4444444444444","39.25","36.3333333333333","russia","hillary","hillary","hillary","0.705882352941177","0.777777777777778","0.9375","0.666666666666667","did hillary clinton collude with russia","did hillary clinton collude with russia 2016 election | did sources say hilary colluded with russia%3f | hillary clinton aide collusion with russia | hillary clinton culluded with russia evidence | hillary clinton dachenko inditement | hillary clinton pee tape | indictment shows it was hillary who colluded with russia | ndictment shows it was hillary who colluded with russia | pee tape","durham investigation hillary clinton | hillary clinton collusion russia","did hillary clinton collude with russia | durham investigation hillary clinton | hillary clinton collusion russia | indictment shows it was hillary who colluded with russia | pee tape","0.117647058823529","0.111111111111111","0.125","0.0476190476190476","17","9","16","42"
"7","Day_3_2","Looks like New York prosecutors have a witness directly incriminating Donald Trump","Liberal","0.31395770195201","0.286846893094027","0.320448989219249","0.330064333392078","37.5714285714286","50.2857142857143","46","41.9166666666667","trump","trump","trump","trump","0.80952380952381","0.857142857142857","0.875","0.833333333333333","jennifer weisselberg and trump","new york prosecutors have a witness directly incriminating donald trump"," allen weisselberg trump incriminate | allen weisselberg trump incriminate | jennifer weisselberg | jennifer weisselberg incrimination trump | jennifer weisselberg trump incriminate | looks like new york prosecutors have a witness directly incriminating donald trump | new york prosecutors have a witness directly incriminating donald trump | will jennifer weisslberg testify against trump","new york prosecutors have a witness directly incriminating donald trump","0.142857142857143","0.285714285714286","0.125","0.111111111111111","21","7","8","36"
"8","Day_5_2","Rand Paul is left speechless after Dr. Fauci tears into him for lying in Senate hearing","Liberal","0.388248280130841","0.262794263518901","0.447590502652082","0.408135908066947","35.5833333333333","65","29.9090909090909","36.2631578947368","fauci","paul","paul | rand","paul","0.916666666666667","1","0.909090909090909","0.868421052631579","rand paul dr fauci","%e2%80%9cthat is correct and senator paul you do not know what you are talking about quite frankly and i want to say that officially%2c%e2%80%9d said fauci%2c | dr. fauci rand paul | rand paul dr fauci","rand paul is left speechless","rand paul dr fauci","0.125","0.333333333333333","0.363636363636364","0.131578947368421","24","3","11","38"
"9","Day_1_3","""This Is Worrying Me Quite A Bit"": mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries","Neutral","0.203725970668905","0.204365172793489","0.32840982984914","0.212064245093609","41.6585365853659","41.2222222222222","55.4","44.7692307692308","malone","covid","countries | covid","covid","0.48780487804878","0.555555555555556","0.733333333333333","0.492307692307692","dr. robert malone","countries not vaccinated for covid see decrease | covid mrna vaccine inventor worried  | dr. robert malone covid surge | dr. robert malone covid surge worries | dr. robert malone worried about mrna vaccine | mrna inventor worried about vaccinated countries | robert malone is worried | the highest vaccination rate countries having the most outbreaks | vaccinated countries see increase in covid","covid surge in most vaccinated countries","dr. robert malone","0.121951219512195","0.111111111111111","0.266666666666667","0.0923076923076923","41","9","15","65"
"10","Day_4_3","“Zero COVID” Catastrophe: Participating Nations See New Records Across the Board","Neutral","0.395380554223578","0.170985083728603","0.414786328380877","0.31680861538211","41.46875","41.25","60.3333333333333","45.9047619047619","zero","zero","zero","zero","0.875","0.75","0.866666666666667","0.841269841269841","zero covid strategy","zero covid catastrophe | zero covid%e2%80%9d catastrophe%3a participating nations see new records across the board","zero covid%e2%80%9d catastrophe%3a participating nations see new records across the board","zero covid%e2%80%9d catastrophe%3a participating nations see new records across the board","0.15625","0.1875","0.333333333333333","0.142857142857143","32","16","15","63"
