Panel,DV_Measure,Type_News,Effect,CI_Upper,CI_Lower,P_Value,Standard_Error,Proportion,Number_low_quality_links,Article_Rating
A,NA,NA,NA,NA,NA,NA,NA,0.89,Zero,True
A,NA,NA,NA,NA,NA,NA,NA,0.72,Zero,FM
A,NA,NA,NA,NA,NA,NA,NA,0.11,One or more,True
A,NA,NA,NA,NA,NA,NA,NA,0.28,One or more,FM
B,Rate as True,NA,0.215383806184039,0.38145911471715,0.049308497650928,0.201250267740245,0.134428042113604,NA,NA,NA
B,Ordinal Scale (4),NA,0.160502558101841,0.315615218342753,0.00538989786092945,0.0433838988637978,0.0727254147381418,NA,NA,NA
B,Ordinal Scale (7),NA,0.0948560493478187,0.245724851851177,-0.056012753155539,0.0142541371978073,0.0388373296852481,NA,NA,NA
C,Ordinal (7),Only Very Reliable News,-0.059,0.165,-0.2831,0.605911496999615,0.208111289101872,NA,NA,NA
C,Ordinal (4),Only Very Reliable News,0.0349,0.2755,-0.2057,0.769887669038191,0.114056268571813,NA,NA,NA
C,True (Dummy),Only Very Reliable News,0.0197,0.3004,-0.2611,0.887927094625137,0.0672537563941538,NA,NA,NA
C,Ordinal (7),Some Unreliable News,0.1156,0.3218,-0.0906,0.261515875070273,0.183873016658533,NA,NA,NA
C,Ordinal (4),Some Unreliable News,0.1984,0.4087,-0.012,0.0695835970386559,0.100487109410659,NA,NA,NA
C,True (Dummy),Some Unreliable News,0.2296,0.4216,0.0376,0.0225737407587825,0.04532720138336,NA,NA,NA
D,Ordinal (7),0-25%,0.0946,0.3034,-0.1143,0.360090420568989,0.186917902356697,NA,NA,NA
D,Ordinal (4),0-25%,0.1827,0.3824,-0.017,0.0768216466057255,0.0958591603746157,NA,NA,NA
D,True (Dummy),0-25%,0.2426,0.428,0.0572,0.0142907351809009,0.044088079587927,NA,NA,NA
D,Ordinal (7),25-50%,0.1544,0.4172,-0.1084,0.236543083415467,0.233696865686539,NA,NA,NA
D,Ordinal (4),25-50%,0.1373,0.3783,-0.1038,0.251574352819108,0.11276070871747,NA,NA,NA
D,True (Dummy),25-50%,0.2403,0.4693,0.0114,0.0411865882953484,0.0539376141537832,NA,NA,NA
D,Ordinal (7),50-75%,-0.1495,0.0585,-0.3574,0.162756611622235,0.193926234860339,NA,NA,NA
D,Ordinal (4),50-75%,-0.1038,0.0915,-0.299,0.293757984169557,0.0944387629944178,NA,NA,NA
D,True (Dummy),50-75%,0.0129,0.2647,-0.239,0.915501596397662,0.0584433130063562,NA,NA,NA
D,Ordinal (7),75-100%,-0.0237,0.2155,-0.2629,0.840642733499981,0.218210281266974,NA,NA,NA
D,Ordinal (4),75-100%,0.0479,0.2954,-0.1996,0.840642733499981,0.218210281266974,NA,NA,NA
D,True (Dummy),75-100%,0.1484,0.3466,-0.0498,0.840642733499981,0.218210281266974,NA,NA,NA
