Panel,Article_Type,Study,Effect,CI_Upper,CI_Lower,P_Value,Standard_Error
A,True,Study 1,0.282707348106037,0.387382333589023,0.178032362623052,0,0.0573
A,"False/
Misleading",Study 1,0.161540278391255,0.38712397257755,-0.06404341579504,0.1539,0.1061
A,True,Study 2,0.190869996692031,0.266422240929964,0.115317752454097,0,0.0381
A,"False/
Misleading",Study 2,0.242574257425741,0.368057099197791,0.117091415653692,4e-4,0.0616
A,True,Study 3,0.261679079214624,0.325861186797488,0.19749697163176,0,0.0323
A,"False/
Misleading",Study 3,0.232179226069247,0.383522692314947,0.080835759823546,0.0038,0.0743
A,True,Study 4,0.204225352112677,0.318985541396577,0.0894651628287779,0.0012,0.0556
A,"False/
Misleading",Study 4,0.261658031088084,0.430178750425865,0.0931373117503024,0.0054,0.0773
A,True,Study 5,0.557663954961173,0.692955678421878,0.422372231500468,0,0.0694
A,"False/
Misleading",Study 5,0.17917273514927,0.447570555327776,-0.089225085029235,0.2013,0.1344
B,"True
Low Quality",Study 1,0.314976151172522,0.492749804944667,0.137202497400376,0.0026,0.0875
B,"True
Mainstream",Study 1,0.258095600302536,0.395179524741898,0.121011675863173,0.0013,0.0686
B,"False/
Misleading",Study 1,0.161540278391255,0.38712397257755,-0.06404341579504,0.1539,0.1061
B,"True
Low Quality",Study 2,0.356702619414486,0.471894968647477,0.241510270181495,0,0.057
B,"True
Mainstream",Study 2,0.0660869565217396,0.151911712926719,-0.0197377998832398,0.1285,0.0428
B,"False/
Misleading",Study 2,0.242574257425741,0.368057099197791,0.117091415653692,4e-4,0.0616
B,"True
Low Quality",Study 3,0.432128514056225,0.520145606577684,0.344111421534766,0,0.0435
B,"True
Mainstream",Study 3,0.137507314218841,0.214570358350098,0.0604442700875851,7e-4,0.0385
B,"False/
Misleading",Study 3,0.232179226069247,0.383522692314947,0.080835759823546,0.0038,0.0743
B,"True
Low Quality",Study 4,0.37984496124031,0.583114282762417,0.176575639718202,0.0026,0.0881
B,"True
Mainstream",Study 4,0.103982300884956,0.231464475367202,-0.0234998735972899,0.1026,0.0598
B,"False/
Misleading",Study 4,0.261658031088084,0.430178750425865,0.0931373117503024,0.0054,0.0773
B,"True
Low Quality",Study 5,0.755328030674536,0.955648214448323,0.555007846900749,0,0.0952
B,"True
Mainstream",Study 5,0.402307571230221,0.574753288237803,0.229861854222639,1e-4,0.0841
B,"False/
Misleading",Study 5,0.17917273514927,0.447570555327776,-0.089225085029235,0.2013,0.1344
C,"True
Low Quality",Between,0.466921808713097,0.608925205387207,0.324918412038986,0,0.072
C,"True
Mainstream",Between,0.304064099653234,0.410379132438661,0.197749066867806,0,0.0545
C,"False/
Misleading",Between,0.161182329486056,0.319353105844122,0.00301155312799045,0.0547,0.0805
C,"True
Low Quality",Within,0.392359871474477,0.46988225612613,0.314837486822825,0,0.0386
C,"True
Mainstream",Within,0.101904271744725,0.162018753261936,0.0417897902275137,0.0012,0.0301
C,"False/
Misleading",Within,0.24137931034482701,0.331081916105229,0.151676704584426,0,0.0445
