"","Study","Group","Effect","CI_Upper","CI_Lower","P_Value","Standard_Error"
"1","Study 1","Pre-Treatment",2.50574365834685,2.65635107061079,2.3551362460829,0,0.103897
"2","Study 1","Post-Treatment",2.85779113326498,3.00948168962966,2.70610057690029,0,0.085816
"3","Study 2","Pre-Treatment",2.6188904066314,2.77740095661706,2.46037985664574,0,0.131253
"4","Study 2","Post-Treatment",2.5207320712449,2.68155342325292,2.35991071923689,0,0.137948
"5","Study 3","Pre-Treatment",2.78121932598975,2.9317610583798,2.63067759359969,0,0.079401
"6","Study 3","Post-Treatment",2.7639476566062,2.9197633260819,2.6081319871305,0,0.076714
"7","Study 4","Pre-Treatment",2.52035611610869,2.79158266784997,2.24912956436741,0,0.081955
"8","Study 4","Post-Treatment",2.61490102795005,2.8729631034891,2.35683895241099,0,0.080777
"9","Study 5","Pre-Treatment",2.74227382079836,2.91079826823774,2.57374937335899,0,0.077287
"10","Study 5","Post-Treatment",3.01545789131847,3.21964115567432,2.81127462696261,0,0.076736
