Panel,DV_Measure,Type_News,Effect,CI_Upper,CI_Lower,P_Value,Standard_Error,Proportion,Number_low_quality_links,Article_Rating
A,NA,NA,NA,NA,NA,NA,NA,0.85,Zero,True
A,NA,NA,NA,NA,NA,NA,NA,0.62,Zero,FM
A,NA,NA,NA,NA,NA,NA,NA,0.15,One or more,True
A,NA,NA,NA,NA,NA,NA,NA,0.38,One or more,FM
B,Rate as True,NA,0.215383806184039,0.38145911471715,0.049308497650928,0.201250267740245,0.134428042113604,NA,NA,NA
B,Ordinal Scale (4),NA,0.160502558101841,0.315615218342753,0.00538989786092945,0.0433838988637978,0.0727254147381418,NA,NA,NA
B,Ordinal Scale (7),NA,0.0948560493478187,0.245724851851177,-0.056012753155539,0.0142541371978073,0.0388373296852481,NA,NA,NA
C,Ordinal (7),Only Very Reliable News,-0.0937,0.2055,-0.3929,0.535250924529249,0.273682523019952,NA,NA,NA
C,Ordinal (4),Only Very Reliable News,0.0303,0.2877,-0.2271,0.810748064139371,0.121054247064886,NA,NA,NA
C,True (Dummy),Only Very Reliable News,-0.0139,0.286,-0.3138,0.926476593191657,0.0726987547478755,NA,NA,NA
C,Ordinal (7),Some Unreliable News,0.1498,0.3081,-0.0085,0.0794370103151942,0.149030452794264,NA,NA,NA
C,Ordinal (4),Some Unreliable News,0.2018,0.3693,0.0343,0.0291401671467462,0.0834179282593876,NA,NA,NA
C,True (Dummy),Some Unreliable News,0.2879,0.4681,0.1076,0.00353461716776214,0.0425470119750999,NA,NA,NA
D,Ordinal (7),0-25%,0.0499,0.2159,-0.1161,0.563064268614927,0.156997928663029,NA,NA,NA
D,Ordinal (4),0-25%,0.1117,0.2688,-0.0454,0.174742696545429,0.0776414535449043,NA,NA,NA
D,True (Dummy),0-25%,0.1906,0.349,0.0322,0.0240944718581427,0.0381129666899063,NA,NA,NA
D,Ordinal (7),25-50%,0.2116,0.477,-0.0537,0.122985885719225,0.244008872037129,NA,NA,NA
D,Ordinal (4),25-50%,0.244,0.4901,-0.0022,0.0570334746801201,0.117749655354658,NA,NA,NA
D,True (Dummy),25-50%,0.3449,0.598,0.0918,0.0116386246554547,0.0608440986849146,NA,NA,NA
D,Ordinal (7),50-75%,-0.1017,0.0769,-0.2804,0.252464565151172,0.161934888670563,NA,NA,NA
D,Ordinal (4),50-75%,-0.0784,0.0797,-0.2366,0.305653392425444,0.0730556740446827,NA,NA,NA
D,True (Dummy),50-75%,0.0246,0.2266,-0.1774,0.800673292114021,0.0468930797407151,NA,NA,NA
D,Ordinal (7),75-100%,-0.0742,0.1795,-0.3279,0.556935760578155,0.232385708756319,NA,NA,NA
D,Ordinal (4),75-100%,0.0129,0.2612,-0.2355,0.556935760578155,0.232385708756319,NA,NA,NA
D,True (Dummy),75-100%,0.0918,0.3208,-0.1372,0.556935760578155,0.232385708756319,NA,NA,NA
