"","Coef","Low_Conf","Upp_Conf","Measure","Type_News","P_Value","Standard_Error"
"2",0.0946,-0.1143,0.3034,"Ordinal (7)","0-25%","0.360090420568989","0.186917902356697"
"3",0.1827,-0.017,0.3824,"Ordinal (4)","0-25%","0.0768216466057255","0.0958591603746157"
"4",0.2426,0.0572,0.428,"True (Dummy)","0-25%","0.0142907351809009","0.044088079587927"
"5",0.1544,-0.1084,0.4172,"Ordinal (7)","25-50%","0.236543083415467","0.233696865686539"
"6",0.1373,-0.1038,0.3783,"Ordinal (4)","25-50%","0.251574352819108","0.11276070871747"
"7",0.2403,0.0114,0.4693,"True (Dummy)","25-50%","0.0411865882953484","0.0539376141537832"
"8",-0.1495,-0.3574,0.0585,"Ordinal (7)","50-75%","0.162756611622235","0.193926234860339"
"9",-0.1038,-0.299,0.0915,"Ordinal (4)","50-75%","0.293757984169557","0.0944387629944178"
"10",0.0129,-0.239,0.2647,"True (Dummy)","50-75%","0.915501596397662","0.0584433130063562"
"11",-0.0237,-0.2629,0.2155,"Ordinal (7)","75-100%","0.840642733499981","0.218210281266974"
"12",0.0479,-0.1996,0.2954,"Ordinal (4)","75-100%","0.840642733499981","0.218210281266974"
"13",0.1484,-0.0498,0.3466,"True (Dummy)","75-100%","0.840642733499981","0.218210281266974"
