"","Coef_names","Coefficients","CI_Upper","CI_Lower","P_Value","Standard_Error"
"1","Study 1",0.314976151172522,0.492749804944667,0.137202497400376,"0.0026","0.0875"
"2","Study 1",0.258095600302536,0.395179524741898,0.121011675863173,"0.0013","0.0686"
"3","Study 1",0.161540278391255,0.38712397257755,-0.06404341579504,"0.1539","0.1061"
"4","Study 2",0.356702619414486,0.471894968647477,0.241510270181495,"0","0.057"
"5","Study 2",0.0660869565217396,0.151911712926719,-0.0197377998832398,"0.1285","0.0428"
"6","Study 2",0.242574257425741,0.368057099197791,0.117091415653692,"4e-04","0.0616"
"7","Study 3",0.432128514056225,0.520145606577684,0.344111421534766,"0","0.0435"
"8","Study 3",0.137507314218841,0.214570358350098,0.0604442700875851,"7e-04","0.0385"
"9","Study 3",0.232179226069247,0.383522692314947,0.080835759823546,"0.0038","0.0743"
"10","Study 4",0.37984496124031,0.583114282762417,0.176575639718202,"0.0026","0.0881"
"11","Study 4",0.103982300884956,0.231464475367202,-0.0234998735972899,"0.1026","0.0598"
"12","Study 4",0.261658031088084,0.430178750425865,0.0931373117503024,"0.0054","0.0773"
"13",NA,0.755328030674536,0.955648214448323,0.555007846900749,"0","0.0952"
"14",NA,0.402307571230221,0.574753288237803,0.229861854222639,"1e-04","0.0841"
"15",NA,0.17917273514927,0.447570555327776,-0.089225085029235,"0.2013","0.1344"
