"","Study","Coefficients","CI_Upper","CI_Lower","P_Value","Standard_Error"
"1","Study 1",2.50574365834685,2.65635107061079,2.3551362460829,"3.78848967492718e-105","0.103896857493288"
"2","Study 1",2.85779113326498,3.00948168962966,2.70610057690029,"3.57840136270693e-133","0.0858155896518877"
"3","Study 2",2.6188904066314,2.77740095661706,2.46037985664574,"3.33797298745866e-61","0.131252832238462"
"4","Study 2",2.5207320712449,2.68155342325292,2.35991071923689,"3.78420472459292e-54","0.137948410358063"
"5","Study 3",2.78121932598975,2.9317610583798,2.63067759359969,"1.5662297444672e-173","0.0794011667221936"
"6","Study 3",2.7639476566062,2.9197633260819,2.6081319871305,"2.75435500220753e-183","0.0767136529488438"
"7","Study 4",2.52035611610869,2.79158266784997,2.24912956436741,"4.29834674736848e-147","0.0819547915325087"
"8","Study 4",2.61490102795005,2.8729631034891,2.35683895241099,"1.40830526049217e-158","0.0807772035092105"
"9","Study 5",2.74227382079836,2.91079826823774,2.57374937335899,"1.07459912540982e-180","0.077287016196401"
"10","Study 5",3.01545789131847,3.21964115567432,2.81127462696261,"1.40793309194348e-153","0.0767356375584779"
