Panel,Article_Type,Study,Effect,CI_Upper,CI_Lower,P_Value,Standard_Error
A,True,Study 1,0.0717445081169813,0.102248274655155,0.0412407415788074,1e-4,0.0166
A,"False/
Misleading",Study 1,0.0567947353054622,0.108096599041936,0.00549287156898803,0.0374,0.0243
A,True,Study 2,0.0211710221634139,0.0451397850620807,-0.002797740735253,0.0827,0.0121
A,"False/
Misleading",Study 2,0.0712871287128716,0.103693771867192,0.0388804855585516,1e-4,0.0159
A,True,Study 3,0.046716316858497,0.0698431916594759,0.0235894420575181,1e-4,0.0117
A,"False/
Misleading",Study 3,0.0661914460285131,0.10586635166522,0.0265165403918062,0.0018,0.0195
A,True,Study 4,0.0295774647887323,0.0722057650379868,-0.0130508354605223,0.165,0.0207
A,"False/
Misleading",Study 4,0.0673575129533682,0.133002264189307,0.00171276171742978,0.0451,0.0301
A,True,Study 5,0.151485352692624,0.192261070848736,0.110709634536513,0,0.0204
A,"False/
Misleading",Study 5,0.106776037913684,0.185244548679583,0.0283075271477848,0.0143,0.0388
B,"True
Low Quality",Study 1,0.105168045428361,0.158431242328888,0.0519048485278331,0.001,0.0258
B,"True
Mainstream",Study 1,0.045257266380828,0.0790342474747798,0.0114802852868763,0.0168,0.0173
B,"False/
Misleading",Study 1,0.0567947353054622,0.108096599041936,0.00549287156898803,0.0374,0.0243
B,"True
Low Quality",Study 2,0.0808936825885978,0.118248833245953,0.0435385319312425,1e-4,0.0185
B,"True
Mainstream",Study 2,-0.0237681159420289,0.00187686673902378,-0.0494130986230815,0.0686,0.0128
B,"False/
Misleading",Study 2,0.0712871287128716,0.103693771867192,0.0388804855585516,1e-4,0.0159
B,"True
Low Quality",Study 3,0.114859437751004,0.141218528124552,0.0885003473774562,0,0.013
B,"True
Mainstream",Study 3,-0.00292568753657108,0.0260431067840341,-0.0318944818571763,0.8404,0.0145
B,"False/
Misleading",Study 3,0.046716316858497,0.0698431916594758,0.0235894420575181,1e-4,0.0117
B,"True
Low Quality",Study 4,0.085271317829457,0.167532663422996,0.00300997223591824,0.0438,0.0357
B,"True
Mainstream",Study 4,-0.00221238938053096,0.0458049751684796,-0.0502297539295415,0.9231,0.0225
B,"False/
Misleading",Study 4,0.0673575129533682,0.133002264189307,0.00171276171742978,0.0451,0.0301
B,"True
Low Quality",Study 5,0.229480468597604,0.277648062066165,0.181312875129042,0,0.0227
B,"True
Mainstream",Study 5,0.0904899360951861,0.138408713995752,0.0425711581946199,8e-4,0.0231
B,"False/
Misleading",Study 5,0.106776037913684,0.185244548679583,0.0283075271477848,0.0143,0.0388
C,"True
Low Quality",Between,0.149295038203254,0.191664721041257,0.10692535536525,0,0.0212
C,"True
Mainstream",Between,0.0601453041625286,0.0877610925493632,0.0325295157756941,1e-4,0.0143
C,"False/
Misleading",Between,0.0759198748304888,0.118006033768755,0.0338337158922224,0.0013,0.0214
C,"True
Low Quality",Within,0.0963941449482325,0.120383111696189,0.0724051782002756,0,0.0119
C,"True
Mainstream",Within,-0.012094698919197,0.00845757226395521,-0.0326469701023492,0.2446,0.0103
C,"False/
Misleading",Within,0.0685449957947854,0.0939950309197087,0.0430949606698621,0,0.0126
