"","Coef_names","Coefficients","CI_Upper","CI_Lower","P_Value","Standard_Error"
"1","Study 1",0.105168045428361,0.158431242328888,0.0519048485278331,"0.001","0.0258"
"2","Study 1",0.045257266380828,0.0790342474747798,0.0114802852868763,"0.0168","0.0173"
"3","Study 1",0.0567947353054622,0.108096599041936,0.00549287156898803,"0.0374","0.0243"
"4","Study 2",0.0808936825885978,0.118248833245953,0.0435385319312425,"1e-04","0.0185"
"5","Study 2",-0.0237681159420289,0.00187686673902378,-0.0494130986230815,"0.0686","0.0128"
"6","Study 2",0.0712871287128716,0.103693771867192,0.0388804855585516,"1e-04","0.0159"
"7","Study 3",0.114859437751004,0.141218528124552,0.0885003473774562,"0","0.013"
"8","Study 3",-0.00292568753657108,0.0260431067840341,-0.0318944818571763,"0.8404","0.0145"
"9","Study 3",0.046716316858497,0.0698431916594758,0.0235894420575181,"1e-04","0.0117"
"10","Study 4",0.085271317829457,0.167532663422996,0.00300997223591824,"0.0438","0.0357"
"11","Study 4",-0.00221238938053096,0.0458049751684796,-0.0502297539295415,"0.9231","0.0225"
"12","Study 4",0.0673575129533682,0.133002264189307,0.00171276171742978,"0.0451","0.0301"
"13",NA,0.229480468597604,0.277648062066165,0.181312875129042,"0","0.0227"
"14",NA,0.0904899360951861,0.138408713995752,0.0425711581946199,"8e-04","0.0231"
"15",NA,0.106776037913684,0.185244548679583,0.0283075271477848,"0.0143","0.0388"
